make[1]: se entra en el directorio '/home/gustavo/src/papers/2024/energy/c++'
#program;length;compiler;opt;energy(J);time(s);run
bitset;512;clang++;-O2;61,37;1,978193724;0
bitset;512;clang++;-O2;60,44;1,960978935;1
bitset;512;clang++;-O2;60,62;1,968602706;2
bitset;512;clang++;-O2;60,91;1,981274884;3
bitset;512;clang++;-O2;60,65;1,965488134;4
bitset;512;clang++;-O2;60,91;1,964114366;5
bitset;512;clang++;-O2;61,36;1,967566860;6
bitset;512;clang++;-O2;60,95;1,979924450;7
bitset;512;clang++;-O2;60,64;1,967173685;8
bitset;512;clang++;-O2;60,61;1,971672855;9
bitset;512;clang++;-O2;60,92;1,974730230;10
bitset;512;clang++;-O2;61,37;1,972326637;11
bitset;512;clang++;-O2;61,35;1,972451681;12
bitset;512;clang++;-O2;61,07;1,981359462;13
bitset;512;clang++;-O2;60,28;1,963787385;14
bitset;1024;clang++;-O2;124,70;4,027303329;0
bitset;1024;clang++;-O2;123,89;4,016978389;1
bitset;1024;clang++;-O2;123,91;4,007429970;2
bitset;1024;clang++;-O2;124,32;4,026272632;3
bitset;1024;clang++;-O2;124,25;4,015303730;4
bitset;1024;clang++;-O2;124,51;3,997445427;5
bitset;1024;clang++;-O2;122,68;3,962416429;6
bitset;1024;clang++;-O2;124,27;4,027605754;7
bitset;1024;clang++;-O2;124,82;4,034296752;8
bitset;1024;clang++;-O2;124,03;4,017008355;9
bitset;1024;clang++;-O2;123,81;4,003543917;10
bitset;1024;clang++;-O2;123,86;4,011892562;11
bitset;1024;clang++;-O2;124,50;4,024589876;12
bitset;1024;clang++;-O2;124,94;4,013583062;13
bitset;1024;clang++;-O2;124,80;4,005654602;14
bitset;2048;clang++;-O2;253,03;8,183595793;0
bitset;2048;clang++;-O2;252,79;8,176933208;1
bitset;2048;clang++;-O2;254,52;8,119383515;2
bitset;2048;clang++;-O2;253,37;8,181407861;3
bitset;2048;clang++;-O2;252,20;8,135874605;4
bitset;2048;clang++;-O2;251,97;8,129456710;5
