make[1]: se entra en el directorio '/home/gustavo/src/papers/2024/energy/c++'
#program;length;compiler;opt;energy(J);time(s);run
bitset;512;clang++;-O2;62,44;1,876241465;0
bitset;512;clang++;-O2;61,25;1,860558376;1
bitset;512;clang++;-O2;61,49;1,862167954;2
bitset;512;clang++;-O2;61,56;1,863676042;3
bitset;512;clang++;-O2;61,53;1,865152010;4
bitset;512;clang++;-O2;61,17;1,855979830;5
bitset;512;clang++;-O2;61,90;1,867134936;6
bitset;512;clang++;-O2;61,37;1,858339760;7
bitset;512;clang++;-O2;61,36;1,862886787;8
bitset;512;clang++;-O2;61,15;1,857420502;9
bitset;512;clang++;-O2;61,79;1,874969608;10
bitset;512;clang++;-O2;61,25;1,860300264;11
bitset;512;clang++;-O2;61,42;1,858560994;12
bitset;512;clang++;-O2;61,83;1,860379232;13
bitset;512;clang++;-O2;63,11;1,829892538;14
bitset;1024;clang++;-O2;124,56;3,773461233;0
bitset;1024;clang++;-O2;129,10;3,770831709;1
bitset;1024;clang++;-O2;127,34;3,740765482;2
bitset;1024;clang++;-O2;127,26;3,754284706;3
bitset;1024;clang++;-O2;126,02;3,806843739;4
bitset;1024;clang++;-O2;127,47;3,728262636;5
bitset;1024;clang++;-O2;127,73;3,742904800;6
bitset;1024;clang++;-O2;124,99;3,779646202;7
bitset;1024;clang++;-O2;127,90;3,754304123;8
bitset;1024;clang++;-O2;127,90;3,741175969;9
bitset;1024;clang++;-O2;127,47;3,718104213;10
bitset;1024;clang++;-O2;125,46;3,801366043;11
bitset;1024;clang++;-O2;127,71;3,727771959;12
bitset;1024;clang++;-O2;125,69;3,844948468;13
bitset;1024;clang++;-O2;127,84;3,733013565;14
bitset;2048;clang++;-O2;253,88;7,682727128;0
bitset;2048;clang++;-O2;258,47;7,556234990;1
bitset;2048;clang++;-O2;252,65;7,735821290;2
bitset;2048;clang++;-O2;258,52;7,561807294;3
bitset;2048;clang++;-O2;257,89;7,816365131;4
bitset;2048;clang++;-O2;256,39;7,774031488;5
bitset;2048;clang++;-O2;257,71;7,796926745;6
bitset;2048;clang++;-O2;254,44;7,721929150;7
bitset;2048;clang++;-O2;261,95;7,644744316;8
bitset;2048;clang++;-O2;254,72;7,798275465;9
bitset;2048;clang++;-O2;253,61;7,717921229;10
bitset;2048;clang++;-O2;258,47;7,796387698;11
bitset;2048;clang++;-O2;256,19;7,762896880;12
bitset;2048;clang++;-O2;257,51;7,775183922;13
bitset;2048;clang++;-O2;260,68;7,645342515;14
bvector;512;clang++;-O2;62,73;1,805528246;0
bvector;512;clang++;-O2;62,24;1,796060823;1
bvector;512;clang++;-O2;61,69;1,795237635;2
bvector;512;clang++;-O2;61,68;1,795918447;3
bvector;512;clang++;-O2;62,03;1,797018854;4
bvector;512;clang++;-O2;62,17;1,837199894;5
bvector;512;clang++;-O2;61,53;1,839147855;6
bvector;512;clang++;-O2;62,45;1,834931975;7
bvector;512;clang++;-O2;61,22;1,832153513;8
bvector;512;clang++;-O2;61,17;1,830198911;9
bvector;512;clang++;-O2;61,51;1,832095865;10
bvector;512;clang++;-O2;61,19;1,831826963;11
bvector;512;clang++;-O2;61,55;1,835974865;12
bvector;512;clang++;-O2;61,72;1,835845423;13
bvector;512;clang++;-O2;61,42;1,835376657;14
bvector;1024;clang++;-O2;125,20;3,744813286;0
bvector;1024;clang++;-O2;124,93;3,740590976;1
bvector;1024;clang++;-O2;125,12;3,740084520;2
bvector;1024;clang++;-O2;125,09;3,741964092;3
bvector;1024;clang++;-O2;125,16;3,743454387;4
bvector;1024;clang++;-O2;126,21;3,761464598;5
bvector;1024;clang++;-O2;124,86;3,741422040;6
bvector;1024;clang++;-O2;125,12;3,739951732;7
bvector;1024;clang++;-O2;125,06;3,740144973;8
bvector;1024;clang++;-O2;125,15;3,742390300;9
bvector;1024;clang++;-O2;125,78;3,744935326;10
bvector;1024;clang++;-O2;125,83;3,742928756;11
bvector;1024;clang++;-O2;125,04;3,740729215;12
bvector;1024;clang++;-O2;124,37;3,747132071;13
bvector;1024;clang++;-O2;124,37;3,747716563;14
bvector;2048;clang++;-O2;257,32;7,486466770;0
bvector;2048;clang++;-O2;256,07;7,636693614;1
bvector;2048;clang++;-O2;255,26;7,656009854;2
bvector;2048;clang++;-O2;254,49;7,655241857;3
bvector;2048;clang++;-O2;259,84;7,498192324;4
bvector;2048;clang++;-O2;255,58;7,633888092;5
bvector;2048;clang++;-O2;256,88;7,481845414;6
bvector;2048;clang++;-O2;258,20;7,611050551;7
bvector;2048;clang++;-O2;263,03;7,516681758;8
bvector;2048;clang++;-O2;258,59;7,486008053;9
bvector;2048;clang++;-O2;258,41;7,488391808;10
bvector;2048;clang++;-O2;256,75;7,654821533;11
bvector;2048;clang++;-O2;259,54;7,482580497;12
bvector;2048;clang++;-O2;258,54;7,639742973;13
bvector;2048;clang++;-O2;255,58;7,652829860;14
cvector;512;clang++;-O2;18,80;0,530762001;0
cvector;512;clang++;-O2;18,51;0,529662726;1
cvector;512;clang++;-O2;19,19;0,544913338;2
cvector;512;clang++;-O2;19,01;0,531545355;3
cvector;512;clang++;-O2;19,65;0,553545790;4
cvector;512;clang++;-O2;18,43;0,540577995;5
cvector;512;clang++;-O2;19,04;0,542431830;6
cvector;512;clang++;-O2;19,07;0,535156173;7
cvector;512;clang++;-O2;19,04;0,542341190;8
cvector;512;clang++;-O2;19,09;0,530993042;9
cvector;512;clang++;-O2;18,53;0,530913414;10
cvector;512;clang++;-O2;18,64;0,532167077;11
cvector;512;clang++;-O2;19,14;0,541233701;12
cvector;512;clang++;-O2;19,17;0,532693882;13
cvector;512;clang++;-O2;19,00;0,544218139;14
cvector;1024;clang++;-O2;40,66;1,168099136;0
cvector;1024;clang++;-O2;39,74;1,126912614;1
