#compiler;opt;program;seed;length;work;energy(J);time(s)
clang++;-O2;bitset;00;512;g;51.07;1.710028886
clang++;-O2;bitset;01;512;g;51.64;1.682460582
clang++;-O2;bitset;02;512;g;51.37;1.668661964
clang++;-O2;bitset;03;512;g;51.58;1.677264672
clang++;-O2;bitset;04;512;g;51.65;1.677928664
clang++;-O2;bitset;05;512;g;51.70;1.685118942
clang++;-O2;bitset;06;512;g;50.87;1.679008441
clang++;-O2;bitset;07;512;g;51.48;1.659538222
clang++;-O2;bitset;08;512;g;51.52;1.669521530
clang++;-O2;bitset;09;512;g;51.57;1.669747944
clang++;-O2;bitset;10;512;g;51.12;1.662904423
clang++;-O2;bitset;11;512;g;51.52;1.661105161
clang++;-O2;bitset;12;512;g;51.52;1.661794099
clang++;-O2;bitset;13;512;g;51.22;1.683886237
clang++;-O2;bitset;14;512;g;51.81;1.674810064
clang++;-O2;bitset;15;512;g;51.82;1.674051137
clang++;-O2;bitset;16;512;g;51.79;1.679045711
clang++;-O2;bitset;17;512;g;52.10;1.672443381
clang++;-O2;bitset;18;512;g;51.60;1.671203013
clang++;-O2;bitset;19;512;g;51.54;1.663209023
clang++;-O2;bitset;20;512;g;51.98;1.673836896
clang++;-O2;bitset;21;512;g;51.92;1.674142847
clang++;-O2;bitset;22;512;g;51.87;1.670154985
clang++;-O2;bitset;23;512;g;51.29;1.666573190
clang++;-O2;bitset;24;512;g;51.93;1.676223316
clang++;-O2;bitset;25;512;g;51.76;1.684443880
clang++;-O2;bitset;26;512;g;51.70;1.686078133
clang++;-O2;bitset;27;512;g;52.04;1.684539478
clang++;-O2;bitset;28;512;g;52.01;1.663197912
clang++;-O2;bitset;29;512;g;51.68;1.681652121
clang++;-O2;bitset;30;512;g;51.70;1.680867125
clang++;-O2;bitset;31;512;g;51.91;1.682707033
clang++;-O2;bitset;32;512;g;52.05;1.674158296
clang++;-O2;bitset;33;512;g;52.19;1.674341819
clang++;-O2;bitset;34;512;g;52.09;1.670892142
clang++;-O2;bitset;35;512;g;51.99;1.687998473
clang++;-O2;bitset;36;512;g;51.74;1.658346876
clang++;-O2;bitset;37;512;g;51.67;1.659596601
clang++;-O2;bitset;38;512;g;51.74;1.665854577
clang++;-O2;bitset;39;512;g;51.75;1.682677278
clang++;-O2;bitset;40;512;g;51.90;1.686287826
clang++;-O2;bitset;41;512;g;51.62;1.662179870
clang++;-O2;bitset;42;512;g;51.89;1.673914822
clang++;-O2;bitset;43;512;g;51.95;1.673850080
clang++;-O2;bitset;44;512;g;52.16;1.674122008
clang++;-O2;bitset;45;512;g;52.02;1.673568554
clang++;-O2;bitset;46;512;g;51.70;1.662970757
clang++;-O2;bitset;47;512;g;51.57;1.662110750
clang++;-O2;bitset;48;512;g;51.83;1.663943455
clang++;-O2;bitset;49;512;g;51.77;1.684605913
clang++;-O2;bitset;50;512;g;51.74;1.662536286
clang++;-O2;bitset;51;512;g;52.08;1.673704388
clang++;-O2;bitset;52;512;g;51.85;1.683945098
clang++;-O2;bitset;53;512;g;51.90;1.662875589
clang++;-O2;bitset;54;512;g;51.41;1.668788600
clang++;-O2;bitset;55;512;g;51.68;1.660258368
clang++;-O2;bitset;56;512;g;51.82;1.679789720
clang++;-O2;bitset;57;512;g;52.16;1.687375098
clang++;-O2;bitset;58;512;g;51.54;1.663174088
clang++;-O2;bitset;59;512;g;52.32;1.679596910
clang++;-O2;bitset;60;512;g;51.73;1.663462857
clang++;-O2;bitset;61;512;g;51.98;1.685496045
clang++;-O2;bitset;62;512;g;52.13;1.680177165
clang++;-O2;bitset;63;512;g;51.84;1.664343162
clang++;-O2;bitset;64;512;g;51.90;1.664400069
clang++;-O2;bitset;65;512;g;52.50;1.704601543
clang++;-O2;bitset;66;512;g;52.07;1.672002647
clang++;-O2;bitset;67;512;g;51.64;1.674758688
clang++;-O2;bitset;68;512;g;52.20;1.680132591
clang++;-O2;bitset;69;512;g;51.98;1.663137599
clang++;-O2;bitset;70;512;g;53.26;1.675546491
clang++;-O2;bitset;71;512;g;52.25;1.679925856
clang++;-O2;bitset;72;512;g;51.81;1.674218429
clang++;-O2;bitset;73;512;g;52.56;1.686563782
clang++;-O2;bitset;74;512;g;51.50;1.657617943
clang++;-O2;bitset;75;512;g;51.70;1.663678581
clang++;-O2;bitset;76;512;g;52.65;1.675346447
clang++;-O2;bitset;77;512;g;52.52;1.694378557
clang++;-O2;bitset;78;512;g;52.25;1.681919090
clang++;-O2;bitset;79;512;g;51.42;1.674423833
