make[1]: se entra en el directorio '/home/gustavo/src/papers/2024/energy/c++'
#program;length;compiler;opt;energy(J);time(s);run
bitset;128;clang++;-O2;22,37;0,462966007;1720728997633
bitset;128;clang++;-O2;22,25;0,459876098;1720728998105
bitset;128;clang++;-O2;23,13;0,458839199;1720728998577
bitset;128;clang++;-O2;22,01;0,458727009;1720728999048
bitset;128;clang++;-O2;22,92;0,459709597;1720728999520
bitset;128;clang++;-O2;23,33;0,460052098;1720728999992
bitset;128;clang++;-O2;27,87;0,576843260;1720729000581
bitset;128;clang++;-O2;23,49;0,460882471;1720729001055
bitset;128;clang++;-O2;21,93;0,460138319;1720729001527
bitset;128;clang++;-O2;23,34;0,460300743;1720729002000
bitset;128;clang++;-O2;22,97;0,459718133;1720729002472
bitset;128;clang++;-O2;22,26;0,459793043;1720729002944
bitset;128;clang++;-O2;23,21;0,459983370;1720729003416
bitset;128;clang++;-O2;21,84;0,459441576;1720729003888
bitset;128;clang++;-O2;23,08;0,459922415;1720729004360
bitset;1024;clang++;-O2;182,57;3,917188342;1720729010009
bitset;1024;clang++;-O2;191,93;3,884954554;1720729013907
bitset;1024;clang++;-O2;195,15;3,898480191;1720729017818
bitset;1024;clang++;-O2;181,76;3,900152360;1720729021731
bitset;1024;clang++;-O2;192,98;3,903878950;1720729025647
bitset;1024;clang++;-O2;191,37;3,925195619;1720729029585
bitset;1024;clang++;-O2;184,47;3,911844368;1720729033509
bitset;1024;clang++;-O2;192,62;3,909453876;1720729037431
bitset;1024;clang++;-O2;192,78;3,892095359;1720729041336
bitset;1024;clang++;-O2;185,76;3,906481988;1720729045255
bitset;1024;clang++;-O2;197,46;3,892166923;1720729049159
bitset;1024;clang++;-O2;188,58;3,889798754;1720729053062
bitset;1024;clang++;-O2;190,32;3,931419350;1720729057006
bitset;1024;clang++;-O2;196,06;3,886536302;1720729060905
bitset;1024;clang++;-O2;186,71;3,924016614;1720729064841
bitset;8192;clang++;-O2;1.632,99;33,235481997;1720729099772
bitset;8192;clang++;-O2;1.585,71;32,524328166;1720729132309
bitset;8192;clang++;-O2;1.602,47;32,664404529;1720729164986
bitset;8192;clang++;-O2;1.620,46;32,640645753;1720729197639
bitset;8192;clang++;-O2;188,80;3,881420142;1720729201533
bitset;8192;clang++;-O2;191,13;3,881706679;1720729205427
bitset;8192;clang++;-O2;196,43;3,868745727;1720729209308
bitset;8192;clang++;-O2;198,93;3,870400923;1720729213190
bitset;8192;clang++;-O2;1720729217065;;
bitset;8192;clang++;-O2;188,86;3,893452799;1720729220971
bitset;8192;clang++;-O2;188,11;3,881563020;1720729224865
bitset;8192;clang++;-O2;189,07;3,904861026;1720729228782
bitset;8192;clang++;-O2;188,86;3,884494252;1720729232679
bitset;8192;clang++;-O2;187,64;3,897807964;1720729236589
bitset;8192;clang++;-O2;189,55;3,889763808;1720729240491
bvector;128;clang++;-O2;25,22;0,482423009;1720729242720
bvector;128;clang++;-O2;25,47;0,482828107;1720729243216
bvector;128;clang++;-O2;26,07;0,481834399;1720729243710
bvector;128;clang++;-O2;26,10;0,482706320;1720729244205
bvector;128;clang++;-O2;26,08;0,481980852;1720729244700
bvector;128;clang++;-O2;25,16;0,484075039;1720729245197
bvector;128;clang++;-O2;24,97;0,482089075;1720729245691
bvector;128;clang++;-O2;25,32;0,482440693;1720729246185
bvector;128;clang++;-O2;25,06;0,482459287;1720729246680
bvector;128;clang++;-O2;25,05;0,482214179;1720729247175
bvector;128;clang++;-O2;25,06;0,483035996;1720729247670
bvector;128;clang++;-O2;25,06;0,482522335;1720729248165
bvector;128;clang++;-O2;25,03;0,482472632;1720729248659
bvector;128;clang++;-O2;25,08;0,482380039;1720729249154
bvector;128;clang++;-O2;25,05;0,483517216;1720729249650
bvector;1024;clang++;-O2;202,63;4,141297519;1720729255524
bvector;1024;clang++;-O2;205,62;4,129717931;1720729259666
bvector;1024;clang++;-O2;202,01;4,145978435;1720729263824
bvector;1024;clang++;-O2;201,95;4,145931046;1720729267983
bvector;1024;clang++;-O2;206,18;4,147254070;1720729272142
bvector;1024;clang++;-O2;208,30;4,136021071;1720729276291
bvector;1024;clang++;-O2;205,00;4,133545320;1720729280437
bvector;1024;clang++;-O2;202,75;4,143658666;1720729284593
bvector;1024;clang++;-O2;204,31;4,124111837;1720729288730
bvector;1024;clang++;-O2;203,41;4,141796422;1720729292884
bvector;1024;clang++;-O2;206,15;4,122444487;1720729297019
bvector;1024;clang++;-O2;206,19;4,127948903;1720729301159
bvector;1024;clang++;-O2;207,76;4,111001304;1720729305282
bvector;1024;clang++;-O2;211,03;4,129730645;1720729309425
bvector;1024;clang++;-O2;204,01;4,144385565;1720729313582
bvector;8192;clang++;-O2;1.736,09;34,887883719;1720729350214
bvector;8192;clang++;-O2;1.742,82;34,975063919;1720729385202
bvector;8192;clang++;-O2;1.740,25;34,874158303;1720729420089
bvector;8192;clang++;-O2;1.733,97;34,763671697;1720729454865
bvector;8192;clang++;-O2;1.733,34;34,817033629;1720729489694
bvector;8192;clang++;-O2;1.745,73;34,936229741;1720729524643
bvector;8192;clang++;-O2;1.728,54;35,101006178;1720729559756
bvector;8192;clang++;-O2;1.718,18;35,050752451;1720729594820
bvector;8192;clang++;-O2;1.721,03;35,045226336;1720729629877
bvector;8192;clang++;-O2;1.719,34;35,061109743;1720729664951
bvector;8192;clang++;-O2;1.708,24;35,018201120;1720729699981
bvector;8192;clang++;-O2;1.688,03;34,877374794;1720729734871
bvector;8192;clang++;-O2;1.723,87;34,979167947;1720729769863
bvector;8192;clang++;-O2;204,33;4,128877438;1720729774004
bvector;8192;clang++;-O2;203,72;4,123390306;1720729778140
cvector;128;clang++;-O2;6,18;0,130334033;1720729779995
cvector;128;clang++;-O2;6,27;0,131251819;1720729780139
cvector;128;clang++;-O2;6,28;0,131006641;1720729780282
cvector;128;clang++;-O2;6,16;0,130541521;1720729780425
cvector;128;clang++;-O2;6,26;0,131192187;1720729780569
cvector;128;clang++;-O2;6,68;0,130471119;1720729780711
cvector;128;clang++;-O2;6,73;0,130119581;1720729780854
cvector;128;clang++;-O2;6,74;0,129756171;1720729780996
cvector;128;clang++;-O2;6,69;0,129850058;1720729781138
cvector;128;clang++;-O2;6,73;0,129964902;1720729781280
cvector;128;clang++;-O2;6,74;0,130374077;1720729781423
cvector;128;clang++;-O2;6,69;0,129813308;1720729781565
cvector;128;clang++;-O2;6,51;0,130098632;1720729781707
cvector;128;clang++;-O2;6,39;0,129749850;1720729781849
cvector;128;clang++;-O2;6,29;0,129949624;1720729781991
cvector;1024;clang++;-O2;60,82;1,237605622;1720729784949
cvector;1024;clang++;-O2;62,91;1,238825232;1720729786200
cvector;1024;clang++;-O2;59,97;1,231580322;1720729787444
cvector;1024;clang++;-O2;59,87;1,228467911;1720729788685
cvector;1024;clang++;-O2;63,17;1,233471850;1720729789930
cvector;1024;clang++;-O2;59,69;1,227259131;1720729791170
cvector;1024;clang++;-O2;59,95;1,231903577;1720729792414
cvector;1024;clang++;-O2;62,07;1,234011570;1720729793660
cvector;1024;clang++;-O2;60,97;1,227890110;1720729794900
cvector;1024;clang++;-O2;59,70;1,227315406;1720729796140
cvector;1024;clang++;-O2;60,38;1,229129178;1720729797382
cvector;1024;clang++;-O2;62,33;1,231112908;1720729798625
cvector;1024;clang++;-O2;60,04;1,236121496;1720729799874
cvector;1024;clang++;-O2;59,75;1,229791447;1720729801116
cvector;1024;clang++;-O2;62,90;1,234006210;1720729802362
cvector;8192;clang++;-O2;568,07;11,560751307;1720729815636
cvector;8192;clang++;-O2;553,18;11,517819512;1720729827166
cvector;8192;clang++;-O2;569,29;11,518760082;1720729838697
cvector;8192;clang++;-O2;577,03;11,565661401;1720729850275
cvector;8192;clang++;-O2;565,06;11,562766466;1720729861850
cvector;8192;clang++;-O2;580,88;11,518233677;1720729873381
cvector;8192;clang++;-O2;569,83;11,548092060;1720729884942
cvector;8192;clang++;-O2;554,70;11,496103727;1720729896450
cvector;8192;clang++;-O2;575,27;11,519785710;1720729907982
cvector;8192;clang++;-O2;567,27;11,508548182;1720729919503
cvector;8192;clang++;-O2;574,06;11,574400558;1720729931090
cvector;8192;clang++;-O2;573,71;11,513015919;1720729942615
cvector;8192;clang++;-O2;569,10;11,494395443;1720729954122
cvector;8192;clang++;-O2;562,11;11,459913311;1720729965595
cvector;8192;clang++;-O2;573,46;11,497361590;1720729977105
dbitset;128;clang++;-O2;20,72;0,390077959;1720729979196
dbitset;128;clang++;-O2;20,55;0,392106022;1720729979600
dbitset;128;clang++;-O2;20,60;0,392612279;1720729980005
dbitset;128;clang++;-O2;20,56;0,387607759;1720729980405
dbitset;128;clang++;-O2;20,78;0,391314843;1720729980808
dbitset;128;clang++;-O2;20,46;0,392606909;1720729981213
dbitset;128;clang++;-O2;20,65;0,390042463;1720729981615
dbitset;128;clang++;-O2;20,49;0,387472927;1720729982015
dbitset;128;clang++;-O2;20,76;0,390151246;1720729982417
dbitset;128;clang++;-O2;19,53;0,390213122;1720729982821
dbitset;128;clang++;-O2;19,51;0,390075354;1720729983223
dbitset;128;clang++;-O2;19,46;0,390114928;1720729983625
dbitset;128;clang++;-O2;19,80;0,390182865;1720729984028
dbitset;128;clang++;-O2;19,51;0,395209707;1720729984435
dbitset;128;clang++;-O2;18,14;0,390504767;1720729984839
dbitset;1024;clang++;-O2;147,08;3,082668524;1720729989643
dbitset;1024;clang++;-O2;152,68;3,082614323;1720729992738
dbitset;1024;clang++;-O2;152,23;3,082779081;1720729995834
dbitset;1024;clang++;-O2;141,35;3,082925755;1720729998929
dbitset;1024;clang++;-O2;151,97;3,082706475;1720730002024
