#program;length;compiler;opt;energy(J);time(s);run
bitset;512;clang++;-O2;47,05;1,549716399;0
bitset;512;clang++;-O2;47,51;1,542082518;1
bitset;512;clang++;-O2;46,84;1,549024705;2
bitset;512;clang++;-O2;46,90;1,549207667;3
bitset;512;clang++;-O2;47,60;1,541969015;4
bitset;512;clang++;-O2;47,48;1,542027986;5
bitset;512;clang++;-O2;46,89;1,549354452;6
bitset;512;clang++;-O2;46,75;1,549149147;7
bitset;512;clang++;-O2;46,80;1,549346266;8
bitset;512;clang++;-O2;47,26;1,541342824;9
bitset;512;clang++;-O2;46,80;1,539749476;10
bitset;512;clang++;-O2;46,50;1,540673063;11
bitset;512;clang++;-O2;47,54;1,541563346;12
bitset;512;clang++;-O2;47,02;1,549569072;13
bitset;512;clang++;-O2;46,83;1,549174886;14
bitset;1024;clang++;-O2;94,10;3,047081931;0
bitset;1024;clang++;-O2;93,68;3,094984771;1
bitset;1024;clang++;-O2;95,00;3,091802943;2
bitset;1024;clang++;-O2;93,52;3,075063313;3
bitset;1024;clang++;-O2;93,58;3,094686750;4
bitset;1024;clang++;-O2;93,89;3,094670951;5
bitset;1024;clang++;-O2;95,85;3,081218637;6
bitset;1024;clang++;-O2;94,05;3,094351935;7
bitset;1024;clang++;-O2;93,92;3,075312950;8
bitset;1024;clang++;-O2;95,00;3,095960692;9
bitset;1024;clang++;-O2;93,81;3,073377431;10
bitset;1024;clang++;-O2;95,95;3,082174715;11
bitset;1024;clang++;-O2;96,05;3,081964963;12
bitset;1024;clang++;-O2;94,01;3,094534867;13
bitset;1024;clang++;-O2;93,90;3,093995770;14
bitset;2048;clang++;-O2;191,55;6,162358467;0
bitset;2048;clang++;-O2;187,49;6,184368897;1
bitset;2048;clang++;-O2;190,69;6,165922326;2
bitset;2048;clang++;-O2;191,13;6,165044543;3
bitset;2048;clang++;-O2;187,93;6,184878034;4
bitset;2048;clang++;-O2;187,62;6,146493956;5
bitset;2048;clang++;-O2;191,12;6,164945723;6
bitset;2048;clang++;-O2;187,79;6,145838362;7
