make[1]: se entra en el directorio '/home/gustavo/src/papers/2024/energy/c++'
#program;length;compiler;opt;energy(J);time(s);run
bitset;128;clang++;-O2;16,67;0,384104922;1720726924010
bitset;128;clang++;-O2;16,31;0,384315296;1720726924407
bitset;128;clang++;-O2;16,25;0,383975891;1720726924803
bitset;128;clang++;-O2;16,33;0,384477468;1720726925200
bitset;128;clang++;-O2;16,30;0,384073273;1720726925596
bitset;128;clang++;-O2;16,32;0,384838563;1720726925994
bitset;128;clang++;-O2;16,67;0,385246826;1720726926392
bitset;128;clang++;-O2;16,25;0,383434299;1720726926788
bitset;128;clang++;-O2;16,25;0,383995448;1720726927184
bitset;128;clang++;-O2;16,72;0,384476377;1720726927581
bitset;128;clang++;-O2;16,39;0,384279889;1720726927978
bitset;128;clang++;-O2;16,35;0,384038848;1720726928374
bitset;128;clang++;-O2;16,29;0,384079314;1720726928771
bitset;128;clang++;-O2;16,34;0,384197685;1720726929168
bitset;128;clang++;-O2;16,32;0,383939423;1720726929564
bitset;1024;clang++;-O2;130,45;3,074985968;1720726934354
bitset;1024;clang++;-O2;132,78;3,060418119;1720726937427
bitset;1024;clang++;-O2;131,07;3,074758432;1720726940515
bitset;1024;clang++;-O2;130,85;3,074111684;1720726943602
bitset;1024;clang++;-O2;130,72;3,074575210;1720726946688
bitset;1024;clang++;-O2;131,69;3,075990675;1720726949777
bitset;1024;clang++;-O2;130,28;3,064652393;1720726952854
bitset;1024;clang++;-O2;131,21;3,075333448;1720726955942
bitset;1024;clang++;-O2;130,92;3,064822862;1720726959019
bitset;1024;clang++;-O2;130,13;3,074525317;1720726962106
bitset;1024;clang++;-O2;143,90;3,078316757;1720726965197
bitset;1024;clang++;-O2;147,94;3,082710438;1720726968292
bitset;1024;clang++;-O2;139,51;3,077402327;1720726971382
bitset;1024;clang++;-O2;134,31;3,077550544;1720726974472
bitset;1024;clang++;-O2;133,74;3,079609462;1720726977564
bitset;8192;clang++;-O2;1.070,19;24,504380657;1720727003769
bitset;8192;clang++;-O2;1.078,30;24,450040249;1720727028231
bitset;8192;clang++;-O2;1.079,83;24,596467106;1720727052841
bitset;8192;clang++;-O2;1720727052852;;
bitset;8192;clang++;-O2;1720727052864;;
bitset;8192;clang++;-O2;1720727052876;;
bitset;8192;clang++;-O2;1720727052888;;
bitset;8192;clang++;-O2;1720727052900;;
bitset;8192;clang++;-O2;1720727052912;;
bitset;8192;clang++;-O2;1720727052924;;
bitset;8192;clang++;-O2;1720727052935;;
bitset;8192;clang++;-O2;22,14;0,462550597;1720727052947
