#program;length;compiler;opt;energy(J);time(s);run
bitset;512;clang++;-O2;47.61;1.559899884;0
bitset;512;clang++;-O2;47.52;1.550655701;1
bitset;512;clang++;-O2;48.07;1.559990833;2
bitset;512;clang++;-O2;47.10;1.551470004;3
bitset;512;clang++;-O2;47.51;1.560528408;4
bitset;512;clang++;-O2;48.06;1.556328196;5
bitset;512;clang++;-O2;48.00;1.555228059;6
bitset;512;clang++;-O2;48.16;1.555603651;7
bitset;512;clang++;-O2;47.22;1.551453233;8
bitset;512;clang++;-O2;48.08;1.555848800;9
bitset;512;clang++;-O2;48.12;1.556115519;10
bitset;512;clang++;-O2;47.33;1.559912938;11
bitset;512;clang++;-O2;47.10;1.551141529;12
bitset;512;clang++;-O2;47.38;1.550486265;13
bitset;512;clang++;-O2;47.40;1.550381499;14
bitset;1024;clang++;-O2;95.37;3.108013372;0
bitset;1024;clang++;-O2;94.24;3.098175020;1
bitset;1024;clang++;-O2;96.23;3.106715816;2
bitset;1024;clang++;-O2;95.93;3.107111656;3
bitset;1024;clang++;-O2;95.06;3.114925223;4
bitset;1024;clang++;-O2;95.70;3.109367704;5
bitset;1024;clang++;-O2;95.63;3.109742384;6
bitset;1024;clang++;-O2;95.66;3.116165052;7
bitset;1024;clang++;-O2;95.91;3.112840766;8
bitset;1024;clang++;-O2;94.83;3.114905716;9
bitset;1024;clang++;-O2;95.98;3.106878841;10
bitset;1024;clang++;-O2;94.72;3.096054184;11
bitset;1024;clang++;-O2;94.86;3.115312036;12
bitset;1024;clang++;-O2;94.95;3.115518732;13
bitset;1024;clang++;-O2;94.80;3.114992479;14
bitset;2048;clang++;-O2;191.28;6.215739236;0
bitset;2048;clang++;-O2;189.22;6.186965351;1
bitset;2048;clang++;-O2;191.83;6.227009616;2
bitset;2048;clang++;-O2;188.56;6.188903728;3
bitset;2048;clang++;-O2;189.78;6.225289181;4
bitset;2048;clang++;-O2;189.33;6.224588751;5
bitset;2048;clang++;-O2;189.79;6.225278330;6
bitset;2048;clang++;-O2;189.69;6.224859687;7
bitset;2048;clang++;-O2;189.00;6.186227986;8
bitset;2048;clang++;-O2;189.14;6.224126868;9
bitset;2048;clang++;-O2;190.81;6.209568390;10
bitset;2048;clang++;-O2;189.34;6.188990941;11
bitset;2048;clang++;-O2;190.70;6.208517736;12
bitset;2048;clang++;-O2;187.92;6.189959752;13
bitset;2048;clang++;-O2;189.53;6.224870678;14
bvector;512;clang++;-O2;49.49;1.565246118;0
bvector;512;clang++;-O2;48.56;1.573379794;1
bvector;512;clang++;-O2;48.73;1.578129343;2
bvector;512;clang++;-O2;48.92;1.581487381;3
bvector;512;clang++;-O2;48.70;1.571359086;4
bvector;512;clang++;-O2;48.09;1.558082165;5
bvector;512;clang++;-O2;47.98;1.568793961;6
bvector;512;clang++;-O2;48.23;1.568040763;7
bvector;512;clang++;-O2;48.59;1.577023966;8
bvector;512;clang++;-O2;48.74;1.579120827;9
bvector;512;clang++;-O2;48.95;1.581583450;10
bvector;512;clang++;-O2;48.25;1.570133685;11
bvector;512;clang++;-O2;48.43;1.572306388;12
bvector;512;clang++;-O2;48.84;1.580959965;13
bvector;512;clang++;-O2;49.31;1.561614008;14
bvector;1024;clang++;-O2;96.50;3.139147998;0
bvector;1024;clang++;-O2;97.09;3.152736671;1
bvector;1024;clang++;-O2;96.90;3.153015804;2
bvector;1024;clang++;-O2;96.79;3.153541036;3
bvector;1024;clang++;-O2;96.75;3.146464786;4
bvector;1024;clang++;-O2;96.84;3.155834023;5
bvector;1024;clang++;-O2;97.73;3.158177554;6
bvector;1024;clang++;-O2;97.78;3.154223982;7
bvector;1024;clang++;-O2;97.98;3.157821048;8
bvector;1024;clang++;-O2;97.17;3.155796052;9
bvector;1024;clang++;-O2;97.18;3.152549993;10
bvector;1024;clang++;-O2;96.91;3.154495299;11
bvector;1024;clang++;-O2;97.16;3.148346754;12
bvector;1024;clang++;-O2;98.04;3.158021242;13
bvector;1024;clang++;-O2;97.68;3.156194135;14
bvector;2048;clang++;-O2;194.95;6.309447613;0
bvector;2048;clang++;-O2;193.73;6.242584012;1
bvector;2048;clang++;-O2;193.42;6.270667174;2
bvector;2048;clang++;-O2;194.56;6.310289687;3
bvector;2048;clang++;-O2;195.48;6.312135859;4
bvector;2048;clang++;-O2;193.25;6.272518394;5
bvector;2048;clang++;-O2;195.12;6.304025677;6
bvector;2048;clang++;-O2;195.15;6.307258471;7
bvector;2048;clang++;-O2;195.29;6.304895794;8
bvector;2048;clang++;-O2;195.50;6.311713449;9
bvector;2048;clang++;-O2;195.49;6.306643862;10
bvector;2048;clang++;-O2;192.23;6.275768701;11
bvector;2048;clang++;-O2;192.66;6.279210856;12
bvector;2048;clang++;-O2;193.78;6.309074356;13
bvector;2048;clang++;-O2;192.63;6.275403989;14
cvector;512;clang++;-O2;6.93;0.234925430;0
cvector;512;clang++;-O2;6.86;0.234944676;1
cvector;512;clang++;-O2;6.77;0.234915962;2
cvector;512;clang++;-O2;6.83;0.234688277;3
cvector;512;clang++;-O2;6.81;0.234923767;4
cvector;512;clang++;-O2;6.83;0.235112951;5
cvector;512;clang++;-O2;6.77;0.234725937;6
cvector;512;clang++;-O2;6.86;0.234879064;7
cvector;512;clang++;-O2;6.83;0.235089617;8
