#program;length;compiler;opt;energy(J);time(s);seed
bitset;512;clang++;-O2;47.01;1.552570111;00
bitset;512;clang++;-O2;46.08;1.558751863;01
bitset;512;clang++;-O2;46.61;1.547335469;02
bitset;512;clang++;-O2;46.64;1.553032575;03
bitset;512;clang++;-O2;46.73;1.552803106;04
bitset;512;clang++;-O2;46.03;1.546908030;05
bitset;512;clang++;-O2;46.50;1.547202861;06
bitset;512;clang++;-O2;46.96;1.557538465;07
bitset;512;clang++;-O2;46.67;1.545835245;08
bitset;512;clang++;-O2;46.84;1.552867085;09
bitset;512;clang++;-O2;46.88;1.554393117;10
bitset;512;clang++;-O2;46.25;1.545456506;11
bitset;512;clang++;-O2;45.91;1.547547034;12
bitset;512;clang++;-O2;46.79;1.553718217;13
bitset;512;clang++;-O2;46.72;1.552592493;14
bitset;512;clang++;-O2;46.91;1.547443641;15
bitset;512;clang++;-O2;46.80;1.554418084;16
bitset;512;clang++;-O2;46.40;1.548675012;17
bitset;512;clang++;-O2;46.60;1.549336387;18
bitset;512;clang++;-O2;46.85;1.552587633;19
bitset;512;clang++;-O2;46.68;1.545316475;20
bitset;512;clang++;-O2;46.88;1.558484393;21
bitset;512;clang++;-O2;46.84;1.554063822;22
bitset;512;clang++;-O2;46.87;1.555893541;23
bitset;512;clang++;-O2;46.84;1.552616006;24
bitset;512;clang++;-O2;48.18;1.552713368;25
bitset;512;clang++;-O2;46.88;1.558781347;26
bitset;512;clang++;-O2;46.84;1.558153374;27
bitset;512;clang++;-O2;46.75;1.552935684;28
bitset;512;clang++;-O2;46.84;1.553096354;29
bitset;512;clang++;-O2;46.83;1.552547688;30
bitset;512;clang++;-O2;46.77;1.552642677;31
bitset;512;clang++;-O2;46.76;1.558850037;32
bitset;512;clang++;-O2;46.70;1.552735459;33
bitset;512;clang++;-O2;46.05;1.558992953;34
bitset;512;clang++;-O2;46.92;1.557570305;35
bitset;512;clang++;-O2;46.87;1.552689444;36
bitset;512;clang++;-O2;46.83;1.559269611;37
bitset;512;clang++;-O2;46.75;1.552431572;38
bitset;512;clang++;-O2;46.86;1.558743898;39
bitset;512;clang++;-O2;46.83;1.544153802;40
bitset;512;clang++;-O2;46.72;1.553035461;41
bitset;512;clang++;-O2;47.01;1.552698430;42
bitset;512;clang++;-O2;46.41;1.543895801;43
bitset;512;clang++;-O2;46.83;1.558715684;44
bitset;512;clang++;-O2;46.82;1.559061572;45
bitset;512;clang++;-O2;46.90;1.543697080;46
bitset;512;clang++;-O2;46.84;1.556087504;47
bitset;512;clang++;-O2;46.72;1.552777188;48
bitset;512;clang++;-O2;46.83;1.558749549;49
bitset;512;clang++;-O2;46.77;1.558390016;50
bitset;512;clang++;-O2;46.77;1.558830760;51
bitset;512;clang++;-O2;46.89;1.554471373;52
bitset;512;clang++;-O2;46.85;1.559266174;53
bitset;512;clang++;-O2;46.87;1.552745729;54
bitset;512;clang++;-O2;46.91;1.559218194;55
bitset;512;clang++;-O2;46.80;1.559119750;56
bitset;512;clang++;-O2;46.89;1.552875742;57
bitset;512;clang++;-O2;46.84;1.544444416;58
bitset;512;clang++;-O2;47.05;1.558450019;59
bitset;512;clang++;-O2;46.92;1.558903496;60
bitset;512;clang++;-O2;46.91;1.553261232;61
bitset;512;clang++;-O2;47.04;1.552595328;62
bitset;512;clang++;-O2;46.99;1.556505544;63
bitset;512;clang++;-O2;46.93;1.558890292;64
bitset;512;clang++;-O2;48.12;1.552969267;65
bitset;512;clang++;-O2;47.03;1.553042053;66
bitset;512;clang++;-O2;47.02;1.552718538;67
bitset;512;clang++;-O2;47.03;1.552650641;68
bitset;512;clang++;-O2;46.94;1.544190521;69
bitset;512;clang++;-O2;46.85;1.544721564;70
bitset;512;clang++;-O2;46.52;1.543969850;71
bitset;512;clang++;-O2;46.83;1.558648640;72
bitset;512;clang++;-O2;46.98;1.553005334;73
bitset;512;clang++;-O2;47.05;1.553068993;74
bitset;512;clang++;-O2;46.68;1.543496144;75
bitset;512;clang++;-O2;48.06;1.552556285;76
bitset;512;clang++;-O2;45.90;1.559390116;77
bitset;512;clang++;-O2;46.45;1.544191343;78
bitset;512;clang++;-O2;46.92;1.558853372;79
bitset;512;clang++;-O2;46.47;1.556635818;80
bitset;512;clang++;-O2;46.53;1.544029491;81
bitset;512;clang++;-O2;46.99;1.558705957;82
bitset;512;clang++;-O2;46.92;1.559493428;83
bitset;512;clang++;-O2;46.90;1.552577525;84
bitset;512;clang++;-O2;46.34;1.559113227;85
bitset;512;clang++;-O2;46.48;1.544269679;86
bitset;512;clang++;-O2;46.82;1.552780544;87
bitset;512;clang++;-O2;46.51;1.544087339;88
bitset;512;clang++;-O2;46.79;1.558586825;89
bitset;512;clang++;-O2;46.85;1.552550614;90
bitset;512;clang++;-O2;47.59;1.552602541;91
bitset;512;clang++;-O2;46.60;1.544039419;92
bitset;512;clang++;-O2;46.36;1.558522203;93
bitset;512;clang++;-O2;46.83;1.552567295;94
bitset;512;clang++;-O2;46.91;1.552439006;95
bitset;512;clang++;-O2;46.95;1.544129978;96
bitset;512;clang++;-O2;46.55;1.544226519;97
bitset;512;clang++;-O2;46.50;1.544244983;98
bitset;512;clang++;-O2;46.28;1.553173268;99
bitset;1024;clang++;-O2;93.61;3.084611879;00
bitset;1024;clang++;-O2;94.34;3.064942723;01
bitset;1024;clang++;-O2;93.99;3.100542850;02
bitset;1024;clang++;-O2;92.07;3.109211099;03
bitset;1024;clang++;-O2;92.36;3.086882523;04
bitset;1024;clang++;-O2;93.53;3.112461182;05
bitset;1024;clang++;-O2;93.68;3.100734117;06
bitset;1024;clang++;-O2;93.54;3.113047598;07
bitset;1024;clang++;-O2;92.62;3.083051724;08
bitset;1024;clang++;-O2;93.70;3.112609380;09
bitset;1024;clang++;-O2;94.85;3.110827720;10
bitset;1024;clang++;-O2;93.46;3.113913977;11
bitset;1024;clang++;-O2;93.60;3.112804244;12
bitset;1024;clang++;-O2;92.71;3.083653719;13
bitset;1024;clang++;-O2;93.78;3.100754766;14
bitset;1024;clang++;-O2;93.53;3.114417178;15
bitset;1024;clang++;-O2;93.52;3.113539457;16
bitset;1024;clang++;-O2;93.87;3.100774634;17
bitset;1024;clang++;-O2;93.50;3.084512263;18
bitset;1024;clang++;-O2;93.03;3.078333417;19
bitset;1024;clang++;-O2;93.71;3.105195004;20
bitset;1024;clang++;-O2;93.61;3.113406849;21
bitset;1024;clang++;-O2;91.71;3.114549124;22
bitset;1024;clang++;-O2;93.62;3.112699156;23
bitset;1024;clang++;-O2;93.71;3.100723419;24
bitset;1024;clang++;-O2;93.62;3.113748700;25
bitset;1024;clang++;-O2;92.60;3.085277412;26
bitset;1024;clang++;-O2;93.60;3.090641336;27
bitset;1024;clang++;-O2;92.41;3.108154144;28
