#program;length;compiler;opt;energy(J);time(s);seed
bitset;512;clang++;-O2;59.33;1.971857153;00
bitset;512;clang++;-O2;60.19;1.970480170;01
bitset;512;clang++;-O2;60.31;1.975567517;02
bitset;512;clang++;-O2;60.32;1.975840678;03
bitset;512;clang++;-O2;59.98;1.963400540;04
bitset;512;clang++;-O2;59.99;1.956128449;05
bitset;512;clang++;-O2;59.95;1.973380090;06
bitset;512;clang++;-O2;60.43;1.959318671;07
bitset;512;clang++;-O2;60.05;1.961858889;08
bitset;512;clang++;-O2;60.22;1.962308248;09
bitset;512;clang++;-O2;60.49;1.970211398;10
bitset;512;clang++;-O2;60.28;1.966841991;11
bitset;512;clang++;-O2;59.71;1.982917614;12
bitset;512;clang++;-O2;60.43;1.966297212;13
bitset;512;clang++;-O2;60.33;1.969524274;14
bitset;512;clang++;-O2;60.12;1.981226263;15
bitset;512;clang++;-O2;60.21;1.958359598;16
bitset;512;clang++;-O2;59.58;1.976931266;17
bitset;512;clang++;-O2;60.21;1.955706371;18
bitset;512;clang++;-O2;60.18;1.964967258;19
bitset;512;clang++;-O2;59.92;1.973021088;20
bitset;512;clang++;-O2;59.76;1.955763788;21
bitset;512;clang++;-O2;60.16;1.984514438;22
bitset;512;clang++;-O2;60.05;1.979352050;23
bitset;512;clang++;-O2;60.19;1.979342963;24
bitset;512;clang++;-O2;60.03;1.957992844;25
bitset;512;clang++;-O2;59.84;1.974603225;26
bitset;512;clang++;-O2;60.22;1.966806204;27
bitset;512;clang++;-O2;60.35;1.970770533;28
bitset;512;clang++;-O2;60.11;1.977370908;29
bitset;512;clang++;-O2;59.95;1.972491409;30
bitset;512;clang++;-O2;59.13;1.963831074;31
bitset;512;clang++;-O2;60.16;1.972421389;32
bitset;512;clang++;-O2;60.20;1.962336210;33
bitset;512;clang++;-O2;60.07;1.978054105;34
bitset;512;clang++;-O2;60.12;1.956952419;35
bitset;512;clang++;-O2;60.15;1.962381225;36
bitset;512;clang++;-O2;60.44;1.966486938;37
bitset;512;clang++;-O2;60.26;1.968957896;38
bitset;512;clang++;-O2;60.26;1.953809506;39
bitset;512;clang++;-O2;60.06;1.977019221;40
bitset;512;clang++;-O2;59.91;1.974444500;41
bitset;512;clang++;-O2;60.28;1.981907106;42
bitset;512;clang++;-O2;60.33;1.967286532;43
bitset;512;clang++;-O2;60.26;1.985932878;44
bitset;512;clang++;-O2;60.04;1.977166476;45
bitset;512;clang++;-O2;60.24;1.970645048;46
bitset;512;clang++;-O2;59.98;1.969387789;47
bitset;512;clang++;-O2;59.87;1.970458600;48
bitset;512;clang++;-O2;60.17;1.979528220;49
bitset;512;clang++;-O2;59.88;1.970154001;50
bitset;512;clang++;-O2;59.78;1.974507067;51
bitset;512;clang++;-O2;60.07;1.978098317;52
bitset;512;clang++;-O2;60.40;1.971367869;53
bitset;512;clang++;-O2;60.16;1.979721421;54
bitset;512;clang++;-O2;59.44;1.974505382;55
bitset;512;clang++;-O2;60.30;1.965763596;56
bitset;512;clang++;-O2;60.22;1.972168105;57
bitset;512;clang++;-O2;59.97;1.977939170;58
bitset;512;clang++;-O2;60.20;1.961318659;59
bitset;512;clang++;-O2;59.57;1.969096474;60
bitset;512;clang++;-O2;60.05;1.963343493;61
bitset;512;clang++;-O2;60.22;1.980176421;62
bitset;512;clang++;-O2;60.29;1.969571161;63
bitset;512;clang++;-O2;59.56;1.972983358;64
bitset;512;clang++;-O2;60.31;1.970686505;65
bitset;512;clang++;-O2;61.21;1.994991969;66
bitset;512;clang++;-O2;60.17;1.979409428;67
bitset;512;clang++;-O2;60.45;1.962810977;68
bitset;512;clang++;-O2;59.78;1.970098717;69
bitset;512;clang++;-O2;60.24;1.963375131;70
bitset;512;clang++;-O2;60.10;1.975612892;71
bitset;512;clang++;-O2;60.78;1.954531414;72
bitset;512;clang++;-O2;59.92;1.969938718;73
bitset;512;clang++;-O2;59.80;1.976511482;74
bitset;512;clang++;-O2;60.02;1.958052925;75
bitset;512;clang++;-O2;60.44;1.959544723;76
bitset;512;clang++;-O2;59.96;1.960549341;77
bitset;512;clang++;-O2;60.13;1.970686206;78
bitset;512;clang++;-O2;60.38;1.962701623;79
bitset;512;clang++;-O2;59.99;1.962069933;80
bitset;512;clang++;-O2;60.65;1.962746918;81
bitset;512;clang++;-O2;60.24;1.955986614;82
bitset;512;clang++;-O2;59.91;1.972614289;83
bitset;512;clang++;-O2;60.10;1.956701600;84
bitset;512;clang++;-O2;60.01;1.978299574;85
bitset;512;clang++;-O2;60.46;1.971851904;86
bitset;512;clang++;-O2;60.21;1.960400924;87
bitset;512;clang++;-O2;59.31;1.953197272;88
bitset;512;clang++;-O2;59.53;1.970012075;89
bitset;512;clang++;-O2;60.14;1.966171529;90
bitset;512;clang++;-O2;60.46;1.961832549;91
bitset;512;clang++;-O2;60.42;1.958954631;92
bitset;512;clang++;-O2;60.11;1.969266321;93
bitset;512;clang++;-O2;60.18;1.974317702;94
bitset;512;clang++;-O2;60.02;1.958525869;95
bitset;512;clang++;-O2;60.00;1.952629780;96
bitset;512;clang++;-O2;60.61;1.968470565;97
bitset;512;clang++;-O2;60.11;1.963194665;98
bitset;512;clang++;-O2;60.07;1.974216233;99
bitset;1024;clang++;-O2;122.84;4.030715529;00
bitset;1024;clang++;-O2;122.74;3.987906395;01
bitset;1024;clang++;-O2;121.29;4.022385462;02
bitset;1024;clang++;-O2;122.23;3.984019562;03
bitset;1024;clang++;-O2;122.46;3.983621898;04
bitset;1024;clang++;-O2;121.91;4.008475817;05
bitset;1024;clang++;-O2;122.45;4.022646540;06
bitset;1024;clang++;-O2;122.45;3.989882859;07
bitset;1024;clang++;-O2;122.52;3.989829909;08
bitset;1024;clang++;-O2;120.92;4.011166134;09
bitset;1024;clang++;-O2;122.33;4.020055456;10
bitset;1024;clang++;-O2;122.26;4.021065785;11
bitset;1024;clang++;-O2;122.35;3.995536805;12
bitset;1024;clang++;-O2;122.35;4.024679940;13
bitset;1024;clang++;-O2;122.21;4.023914339;14
bitset;1024;clang++;-O2;122.05;4.018437113;15
bitset;1024;clang++;-O2;123.00;4.010859171;16
bitset;1024;clang++;-O2;122.51;4.019472658;17
bitset;1024;clang++;-O2;122.49;4.028410581;18
bitset;1024;clang++;-O2;122.04;4.009560313;19
bitset;1024;clang++;-O2;122.59;4.022611434;20
bitset;1024;clang++;-O2;122.31;3.986872563;21
bitset;1024;clang++;-O2;122.53;3.994774550;22
bitset;1024;clang++;-O2;122.62;3.992353606;23
bitset;1024;clang++;-O2;122.62;4.028492835;24
bitset;1024;clang++;-O2;122.20;4.018507935;25
bitset;1024;clang++;-O2;122.77;4.005141024;26
bitset;1024;clang++;-O2;121.42;3.974032758;27
bitset;1024;clang++;-O2;121.34;4.017786347;28
bitset;1024;clang++;-O2;122.53;4.025588919;29
bitset;1024;clang++;-O2;122.21;4.018146128;30
bitset;1024;clang++;-O2;122.09;4.024780206;31
bitset;1024;clang++;-O2;122.24;3.997573221;32
bitset;1024;clang++;-O2;121.54;4.011560792;33
bitset;1024;clang++;-O2;122.30;4.021954515;34
bitset;1024;clang++;-O2;122.15;4.015748578;35
bitset;1024;clang++;-O2;122.08;4.015014105;36
bitset;1024;clang++;-O2;121.71;4.026155958;37
bitset;1024;clang++;-O2;122.74;4.008014754;38
bitset;1024;clang++;-O2;121.97;4.021251241;39
bitset;1024;clang++;-O2;122.39;4.024275824;40
bitset;1024;clang++;-O2;122.65;3.989697843;41
bitset;1024;clang++;-O2;122.46;3.994921315;42
bitset;1024;clang++;-O2;122.22;3.976193044;43
bitset;1024;clang++;-O2;122.66;4.026290980;44
bitset;1024;clang++;-O2;122.91;3.992282112;45
bitset;1024;clang++;-O2;122.81;4.006738710;46
bitset;1024;clang++;-O2;122.57;4.021790950;47
bitset;1024;clang++;-O2;123.36;4.010575581;48
bitset;1024;clang++;-O2;122.55;3.986667190;49
bitset;1024;clang++;-O2;122.60;3.994894255;50
bitset;1024;clang++;-O2;121.17;4.003301557;51
bitset;1024;clang++;-O2;121.59;4.023962840;52
bitset;1024;clang++;-O2;122.06;4.010232199;53
bitset;1024;clang++;-O2;123.17;4.009051713;54
bitset;1024;clang++;-O2;122.44;4.025972114;55
bitset;1024;clang++;-O2;123.27;4.004045115;56
bitset;1024;clang++;-O2;122.69;3.995820636;57
bitset;1024;clang++;-O2;122.88;4.013234449;58
bitset;1024;clang++;-O2;121.97;4.013851913;59
bitset;1024;clang++;-O2;122.06;3.971214751;60
bitset;1024;clang++;-O2;122.60;4.025761270;61
bitset;1024;clang++;-O2;122.67;4.023837245;62
bitset;1024;clang++;-O2;122.89;3.997064541;63
bitset;1024;clang++;-O2;121.52;4.020121931;64
bitset;1024;clang++;-O2;123.07;4.001277353;65
bitset;1024;clang++;-O2;122.48;4.023347389;66
bitset;1024;clang++;-O2;122.42;4.024525821;67
bitset;1024;clang++;-O2;122.37;3.985349498;68
bitset;1024;clang++;-O2;122.41;4.021134864;69
bitset;1024;clang++;-O2;122.40;4.028186292;70
bitset;1024;clang++;-O2;121.94;4.008815140;71
bitset;1024;clang++;-O2;121.25;4.009609265;72
bitset;1024;clang++;-O2;122.22;4.016203488;73
bitset;1024;clang++;-O2;122.68;4.021187663;74
bitset;1024;clang++;-O2;122.05;4.006015258;75
bitset;1024;clang++;-O2;122.91;4.001895318;76
bitset;1024;clang++;-O2;122.11;4.011580238;77
bitset;1024;clang++;-O2;123.05;4.002761538;78
bitset;1024;clang++;-O2;121.89;4.007957698;79
bitset;1024;clang++;-O2;122.47;4.021370995;80
bitset;1024;clang++;-O2;123.18;4.013306574;81
bitset;1024;clang++;-O2;122.55;4.036778490;82
bitset;1024;clang++;-O2;123.40;4.013847876;83
bitset;1024;clang++;-O2;123.25;4.008700226;84
bitset;1024;clang++;-O2;123.15;4.006245188;85
