#program;length;compiler;opt;energy(J);time(s);run
bitset;512;clang++;-O2;48.52;1.414771915;0
bitset;512;clang++;-O2;48.25;1.412388653;1
bitset;512;clang++;-O2;48.73;1.424916413;2
bitset;512;clang++;-O2;48.76;1.420170320;3
bitset;512;clang++;-O2;48.99;1.427637166;4
bitset;512;clang++;-O2;48.94;1.425283481;5
bitset;512;clang++;-O2;48.87;1.415556302;6
bitset;512;clang++;-O2;47.85;1.411798107;7
bitset;512;clang++;-O2;47.80;1.411846619;8
bitset;512;clang++;-O2;47.97;1.413490145;9
bitset;512;clang++;-O2;47.98;1.414766163;10
bitset;512;clang++;-O2;47.88;1.412655293;11
bitset;512;clang++;-O2;47.68;1.411945684;12
bitset;512;clang++;-O2;48.12;1.424103262;13
bitset;512;clang++;-O2;47.86;1.421318659;14
bitset;1024;clang++;-O2;94.90;2.857023827;0
bitset;1024;clang++;-O2;94.75;2.859290971;1
bitset;1024;clang++;-O2;95.98;2.842748045;2
bitset;1024;clang++;-O2;95.68;2.842865836;3
bitset;1024;clang++;-O2;95.31;2.860197758;4
bitset;1024;clang++;-O2;95.64;2.824664053;5
bitset;1024;clang++;-O2;95.28;2.860330741;6
bitset;1024;clang++;-O2;95.90;2.859317113;7
bitset;1024;clang++;-O2;95.75;2.878032207;8
bitset;1024;clang++;-O2;95.86;2.823052056;9
bitset;1024;clang++;-O2;95.01;2.877999736;10
bitset;1024;clang++;-O2;95.80;2.823154577;11
bitset;1024;clang++;-O2;94.96;2.823765021;12
bitset;1024;clang++;-O2;95.30;2.881724235;13
bitset;1024;clang++;-O2;96.45;2.828820174;14
bitset;2048;clang++;-O2;192.65;5.654794995;0
bitset;2048;clang++;-O2;188.51;5.753090042;1
bitset;2048;clang++;-O2;192.63;5.673960744;2
bitset;2048;clang++;-O2;191.55;5.680570117;3
bitset;2048;clang++;-O2;190.51;5.682210000;4
bitset;2048;clang++;-O2;190.28;5.717078810;5
