Platform,size,GPU,PKG,seconds
cpp-bvector, 512, 6.40, 13.31, 0.27792658
cpp-bvector, 512, 6.30, 12.78, 0.28145325
cpp-bvector, 512, 6.38, 13.40, 0.27609793
cpp-bvector, 512, 6.26, 13.56, 0.27641669
cpp-bvector, 512, 6.37, 13.77, 0.27609092
cpp-bvector, 512, 6.28, 13.64, 0.27641298
cpp-bvector, 512, 6.39, 13.59, 0.27598959
cpp-bvector, 512, 6.40, 13.66, 0.27885456
cpp-bvector, 512, 6.32, 13.47, 0.27971617
cpp-bvector, 512, 6.38, 13.72, 0.28099210
cpp-bvector, 512, 6.29, 14.18, 0.27244580
cpp-bvector, 512, 6.33, 13.87, 0.28157898
cpp-bvector, 512, 6.31, 13.40, 0.28019495
cpp-bvector, 512, 6.41, 13.97, 0.27650565
cpp-bvector, 512, 6.35, 15.20, 0.27608486
cpp-bvector, 512, 6.33, 14.17, 0.27976087
cpp-bvector, 512, 6.38, 14.37, 0.27975333
cpp-bvector, 512, 6.36, 14.28, 0.27370622
cpp-bvector, 512, 6.39, 14.39, 0.27445790
cpp-bvector, 512, 6.36, 14.33, 0.27642719
cpp-bvector, 512, 6.35, 14.54, 0.27494284
cpp-bvector, 512, 6.41, 13.62, 0.27922733
cpp-bvector, 512, 6.37, 13.63, 0.27842414
cpp-bvector, 512, 6.29, 13.85, 0.27265905
cpp-bvector, 512, 6.28, 13.85, 0.27608587
cpp-bvector, 512, 6.30, 14.05, 0.27335841
cpp-bvector, 512, 6.33, 13.98, 0.28185962
cpp-bvector, 512, 6.31, 14.05, 0.27896050
cpp-bvector, 512, 6.29, 14.03, 0.27205372
cpp-bvector, 512, 6.26, 13.82, 0.27840291
cpp-bvector, 1024, 12.61, 30.14, 0.55436220
cpp-bvector, 1024, 12.62, 30.53, 0.55892620
cpp-bvector, 1024, 12.75, 29.75, 0.55565852
cpp-bvector, 1024, 11.55, 26.95, 0.54944656
cpp-bvector, 1024, 12.67, 29.04, 0.55888146
cpp-bvector, 1024, 11.60, 27.04, 0.54881170
cpp-bvector, 1024, 12.69, 28.72, 0.55873105
cpp-bvector, 1024, 11.48, 26.37, 0.54971168
cpp-bvector, 1024, 12.62, 28.58, 0.55520431
cpp-bvector, 1024, 11.53, 27.22, 0.54292330
cpp-bvector, 1024, 12.67, 29.77, 0.55899633
cpp-bvector, 1024, 11.54, 28.25, 0.55039397
cpp-bvector, 1024, 12.57, 29.95, 0.55586773
cpp-bvector, 1024, 11.58, 27.48, 0.54682341
cpp-bvector, 1024, 12.69, 29.67, 0.55210836
cpp-bvector, 1024, 11.68, 26.52, 0.54996106
cpp-bvector, 1024, 12.65, 29.30, 0.55558471
cpp-bvector, 1024, 12.57, 29.11, 0.55927911
cpp-bvector, 1024, 12.70, 28.23, 0.55552218
cpp-bvector, 1024, 12.64, 27.93, 0.55869279
cpp-bvector, 1024, 11.64, 26.29, 0.54598791
cpp-bvector, 1024, 12.59, 29.16, 0.55396627
cpp-bvector, 1024, 12.69, 28.68, 0.55970100
cpp-bvector, 1024, 12.55, 28.68, 0.55594848
cpp-bvector, 1024, 11.53, 27.05, 0.54582519
cpp-bvector, 1024, 12.61, 28.91, 0.55569287
cpp-bvector, 1024, 11.43, 26.57, 0.54557086
cpp-bvector, 1024, 12.55, 29.27, 0.55462717
cpp-bvector, 1024, 12.61, 28.71, 0.55967185
cpp-bvector, 1024, 12.64, 29.14, 0.55916229
cpp-bvector, 2048, 24.27, 57.93, 1.10624930
cpp-bvector, 2048, 24.35, 56.65, 1.10442760
cpp-bvector, 2048, 23.06, 54.53, 1.10057412
cpp-bvector, 2048, 23.01, 54.32, 1.10005296
cpp-bvector, 2048, 23.10, 55.41, 1.08782159
cpp-bvector, 2048, 23.21, 55.62, 1.08804658
cpp-bvector, 2048, 24.30, 58.39, 1.11505617
cpp-bvector, 2048, 23.10, 57.72, 1.08881122
cpp-bvector, 2048, 24.19, 58.10, 1.11545176
cpp-bvector, 2048, 24.21, 59.82, 1.11243442
cpp-bvector, 2048, 24.18, 58.76, 1.10771196
cpp-bvector, 2048, 23.03, 55.78, 1.09388614
cpp-bvector, 2048, 23.05, 53.92, 1.08879506
cpp-bvector, 2048, 23.02, 56.48, 1.08857272
cpp-bvector, 2048, 24.08, 55.35, 1.11446020
cpp-bvector, 2048, 24.00, 58.74, 1.10705189
cpp-bvector, 2048, 24.00, 58.39, 1.10629471
cpp-bvector, 2048, 23.11, 56.86, 1.08842542
cpp-bvector, 2048, 24.09, 57.29, 1.10694845
cpp-bvector, 2048, 24.03, 62.98, 1.10809563
cpp-bvector, 2048, 24.04, 56.85, 1.10697268
cpp-bvector, 2048, 23.01, 54.73, 1.08626215
cpp-bvector, 2048, 24.03, 59.76, 1.10562659
cpp-bvector, 2048, 23.05, 56.44, 1.09297179
cpp-bvector, 2048, 24.03, 56.06, 1.10624387
cpp-bvector, 2048, 23.26, 51.76, 1.09601348
cpp-bvector, 2048, 24.25, 56.57, 1.10414762
cpp-bvector, 2048, 23.38, 55.66, 1.09999482
cpp-bvector, 2048, 24.65, 60.73, 1.09446202
cpp-bvector, 2048, 24.82, 62.80, 1.10451381
