Platform,size,GPU,PKG,seconds
cpp-string, 512, 5.58, 13.48, 0.21740545
cpp-string, 512, 5.63, 13.29, 0.21466603
cpp-string, 512, 5.69, 13.74, 0.21681461
cpp-string, 512, 5.54, 13.50, 0.21802648
cpp-string, 512, 5.58, 13.74, 0.21624653
cpp-string, 512, 5.56, 13.47, 0.21468708
cpp-string, 512, 5.62, 13.79, 0.21690951
cpp-string, 512, 5.65, 13.92, 0.21750708
cpp-string, 512, 5.88, 13.54, 0.21781171
cpp-string, 512, 5.89, 13.51, 0.21821308
cpp-string, 512, 5.87, 13.85, 0.21637145
cpp-string, 512, 5.90, 13.57, 0.21817776
cpp-string, 512, 5.81, 13.47, 0.21504913
cpp-string, 512, 5.85, 13.34, 0.22592918
cpp-string, 512, 5.85, 13.33, 0.21909132
cpp-string, 512, 5.55, 13.51, 0.22743869
cpp-string, 512, 5.62, 13.55, 0.21777932
cpp-string, 512, 5.56, 13.66, 0.21693981
cpp-string, 512, 5.62, 13.89, 0.21927525
cpp-string, 512, 5.60, 13.56, 0.21793085
cpp-string, 512, 5.51, 13.79, 0.21853092
cpp-string, 512, 5.73, 14.03, 0.21916228
cpp-string, 512, 5.63, 13.82, 0.21850161
cpp-string, 512, 5.73, 14.33, 0.21866881
cpp-string, 512, 5.86, 14.27, 0.22065954
cpp-string, 512, 5.92, 14.43, 0.21821502
cpp-string, 512, 5.87, 13.78, 0.22410804
cpp-string, 512, 5.88, 14.00, 0.21713729
cpp-string, 512, 5.81, 13.61, 0.21924218
cpp-string, 512, 5.89, 13.62, 0.21980992
cpp-string, 1024, 10.40, 27.41, 0.42847877
cpp-string, 1024, 10.05, 28.24, 0.43056109
cpp-string, 1024, 9.97, 26.90, 0.43272355
cpp-string, 1024, 9.90, 25.59, 0.43596000
cpp-string, 1024, 9.94, 26.35, 0.43285706
cpp-string, 1024, 10.19, 26.35, 0.43051921
cpp-string, 1024, 10.17, 25.87, 0.44341009
cpp-string, 1024, 9.97, 26.17, 0.42441541
cpp-string, 1024, 10.09, 26.84, 0.42833068
cpp-string, 1024, 10.13, 27.11, 0.43330269
cpp-string, 1024, 10.06, 26.55, 0.42986191
cpp-string, 1024, 10.14, 26.50, 0.43334023
cpp-string, 1024, 9.98, 26.29, 0.44307719
cpp-string, 1024, 10.02, 25.67, 0.43131927
cpp-string, 1024, 10.02, 25.57, 0.43158503
cpp-string, 1024, 9.91, 25.04, 0.43217891
cpp-string, 1024, 10.06, 24.94, 0.44667624
cpp-string, 1024, 10.08, 25.37, 0.42718574
cpp-string, 1024, 10.31, 26.18, 0.43716423
cpp-string, 1024, 10.51, 25.91, 0.43672549
cpp-string, 1024, 10.55, 25.96, 0.43518754
cpp-string, 1024, 11.72, 29.69, 0.45350179
cpp-string, 1024, 10.16, 26.00, 0.43267801
cpp-string, 1024, 10.10, 26.33, 0.43316912
cpp-string, 1024, 10.09, 26.63, 0.43310411
cpp-string, 1024, 10.11, 26.54, 0.43520063
cpp-string, 1024, 10.24, 26.24, 0.43013983
cpp-string, 1024, 10.14, 25.00, 0.43502967
cpp-string, 1024, 10.10, 24.65, 0.43165384
cpp-string, 1024, 10.09, 25.62, 0.42556463
cpp-string, 2048, 20.13, 54.59, 0.85359837
cpp-string, 2048, 20.07, 53.85, 0.85961875
cpp-string, 2048, 20.23, 55.29, 0.88042061
cpp-string, 2048, 20.15, 55.10, 0.85561531
cpp-string, 2048, 19.95, 56.27, 0.87722446
cpp-string, 2048, 20.08, 57.10, 0.87066505
cpp-string, 2048, 19.98, 55.92, 0.85282103
cpp-string, 2048, 20.08, 55.29, 0.85304012
cpp-string, 2048, 19.91, 55.42, 0.85257918
cpp-string, 2048, 19.94, 54.49, 0.86223945
cpp-string, 2048, 19.84, 53.91, 0.85920710
cpp-string, 2048, 19.97, 54.68, 0.85974293
cpp-string, 2048, 18.85, 50.77, 0.84407411
cpp-string, 2048, 19.88, 54.71, 0.86315731
cpp-string, 2048, 19.97, 54.41, 0.85449186
cpp-string, 2048, 19.92, 54.82, 0.86607855
cpp-string, 2048, 19.98, 54.36, 0.85264962
cpp-string, 2048, 20.02, 53.86, 0.86141789
cpp-string, 2048, 19.88, 54.34, 0.86880834
cpp-string, 2048, 18.86, 50.86, 0.85046931
cpp-string, 2048, 19.93, 53.34, 0.86193582
cpp-string, 2048, 18.82, 50.70, 0.84375352
cpp-string, 2048, 20.08, 53.35, 0.86992476
cpp-string, 2048, 18.94, 51.37, 0.84789836
cpp-string, 2048, 19.99, 54.26, 0.86505391
cpp-string, 2048, 20.05, 53.72, 0.85891964
cpp-string, 2048, 20.04, 53.73, 0.86083290
cpp-string, 2048, 20.10, 54.74, 0.85324170
cpp-string, 2048, 20.13, 55.04, 0.86318298
cpp-string, 2048, 20.32, 57.54, 0.86204406
