Platform,size,GPU,PKG,seconds
cpp-string-hiff, 512, 16.71, 44.78, 0.70348409
cpp-string-hiff, 512, 16.66, 44.41, 0.70942636
cpp-string-hiff, 512, 15.75, 42.67, 0.69988603
cpp-string-hiff, 512, 15.60, 40.92, 0.68910813
cpp-string-hiff, 512, 16.68, 44.30, 0.72040470
cpp-string-hiff, 512, 15.19, 40.52, 0.69378952
cpp-string-hiff, 512, 15.62, 38.44, 0.70339684
cpp-string-hiff, 512, 14.64, 34.22, 0.68524039
cpp-string-hiff, 512, 14.56, 32.59, 0.69522542
cpp-string-hiff, 512, 14.70, 34.31, 0.68741115
cpp-string-hiff, 512, 14.63, 37.47, 0.69147262
cpp-string-hiff, 512, 14.58, 36.13, 0.69907855
cpp-string-hiff, 512, 15.59, 36.34, 0.70400663
cpp-string-hiff, 512, 15.63, 35.26, 0.70352614
cpp-string-hiff, 512, 14.57, 32.66, 0.70132394
cpp-string-hiff, 512, 14.49, 32.82, 0.68595824
cpp-string-hiff, 512, 15.60, 36.34, 0.70209850
cpp-string-hiff, 512, 15.06, 35.70, 0.68328781
cpp-string-hiff, 512, 16.28, 39.46, 0.70462734
cpp-string-hiff, 512, 14.88, 36.62, 0.69143773
cpp-string-hiff, 512, 14.90, 34.13, 0.69084085
cpp-string-hiff, 512, 14.75, 33.88, 0.68916328
cpp-string-hiff, 512, 15.65, 38.47, 0.70388705
cpp-string-hiff, 512, 15.45, 37.88, 0.70871605
cpp-string-hiff, 512, 14.48, 33.01, 0.69529085
cpp-string-hiff, 512, 15.43, 34.28, 0.70391524
cpp-string-hiff, 512, 14.43, 32.79, 0.68904348
cpp-string-hiff, 512, 14.72, 34.96, 0.68454346
cpp-string-hiff, 512, 15.71, 36.76, 0.70278743
cpp-string-hiff, 512, 14.71, 34.51, 0.69496179
cpp-string-hiff, 1024, 31.91, 80.62, 1.46372514
cpp-string-hiff, 1024, 31.64, 72.61, 1.47774567
cpp-string-hiff, 1024, 31.72, 70.88, 1.49637187
cpp-string-hiff, 1024, 31.43, 71.33, 1.47468597
cpp-string-hiff, 1024, 32.73, 75.81, 1.51767199
cpp-string-hiff, 1024, 31.06, 73.18, 1.46945209
cpp-string-hiff, 1024, 30.20, 70.51, 1.44362141
cpp-string-hiff, 1024, 31.16, 72.38, 1.46251317
cpp-string-hiff, 1024, 30.16, 69.95, 1.44807040
cpp-string-hiff, 1024, 31.38, 71.88, 1.48643792
cpp-string-hiff, 1024, 31.21, 71.05, 1.46984491
cpp-string-hiff, 1024, 31.27, 72.11, 1.47570900
cpp-string-hiff, 1024, 31.31, 71.44, 1.47243349
cpp-string-hiff, 1024, 31.56, 70.42, 1.46907513
cpp-string-hiff, 1024, 31.39, 71.56, 1.48684130
cpp-string-hiff, 1024, 31.31, 73.20, 1.48444357
cpp-string-hiff, 1024, 31.25, 70.57, 1.47900923
cpp-string-hiff, 1024, 31.39, 72.17, 1.46620929
cpp-string-hiff, 1024, 30.39, 69.84, 1.45273928
cpp-string-hiff, 1024, 31.41, 71.10, 1.48519764
cpp-string-hiff, 1024, 30.40, 69.19, 1.45294808
cpp-string-hiff, 1024, 31.24, 71.87, 1.45450893
cpp-string-hiff, 1024, 31.16, 71.47, 1.48516892
cpp-string-hiff, 1024, 30.36, 72.28, 1.43292935
cpp-string-hiff, 1024, 31.28, 73.46, 1.49172671
cpp-string-hiff, 1024, 31.24, 72.07, 1.49188265
cpp-string-hiff, 1024, 31.19, 73.84, 1.48691748
cpp-string-hiff, 1024, 30.47, 71.34, 1.44638896
cpp-string-hiff, 1024, 31.53, 71.00, 1.46695641
cpp-string-hiff, 1024, 30.32, 69.58, 1.45590222
cpp-string-hiff, 2048, 68.00, 160.06, 3.21148174
cpp-string-hiff, 2048, 67.57, 157.07, 3.23662328
cpp-string-hiff, 2048, 67.38, 160.64, 3.18802416
cpp-string-hiff, 2048, 68.12, 162.33, 3.20965567
cpp-string-hiff, 2048, 67.16, 156.21, 3.18971229
cpp-string-hiff, 2048, 67.21, 156.65, 3.19499709
cpp-string-hiff, 2048, 67.93, 157.47, 3.24304215
cpp-string-hiff, 2048, 66.98, 151.32, 3.18548468
cpp-string-hiff, 2048, 68.23, 157.40, 3.20907563
cpp-string-hiff, 2048, 67.04, 157.56, 3.19984635
cpp-string-hiff, 2048, 65.88, 157.21, 3.14918408
cpp-string-hiff, 2048, 67.86, 161.99, 3.21696205
cpp-string-hiff, 2048, 68.95, 158.60, 3.26990724
cpp-string-hiff, 2048, 65.85, 151.62, 3.20231848
cpp-string-hiff, 2048, 66.47, 155.90, 3.24907573
cpp-string-hiff, 2048, 66.87, 162.65, 3.22872601
cpp-string-hiff, 2048, 67.11, 159.85, 3.23848722
cpp-string-hiff, 2048, 66.01, 159.09, 3.17096505
cpp-string-hiff, 2048, 67.28, 162.28, 3.23889556
cpp-string-hiff, 2048, 66.18, 163.47, 3.17275596
cpp-string-hiff, 2048, 66.48, 155.02, 3.19674876
cpp-string-hiff, 2048, 67.62, 160.16, 3.24282561
cpp-string-hiff, 2048, 68.35, 163.48, 3.26439517
cpp-string-hiff, 2048, 66.68, 159.90, 3.20444432
cpp-string-hiff, 2048, 69.10, 171.57, 3.26976330
cpp-string-hiff, 2048, 65.69, 154.38, 3.17827166
cpp-string-hiff, 2048, 64.84, 164.60, 3.13803630
cpp-string-hiff, 2048, 64.74, 160.96, 3.13716772
cpp-string-hiff, 2048, 68.13, 163.45, 3.27770845
cpp-string-hiff, 2048, 66.17, 166.44, 3.17811696
