Platform,size,GPU,PKG,seconds
cpp-string-ops, 512, 5.19, 9.96, 0.22232963
cpp-string-ops, 512, 5.07, 10.07, 0.22061581
cpp-string-ops, 512, 5.17, 10.22, 0.22031741
cpp-string-ops, 512, 5.13, 10.17, 0.22111724
cpp-string-ops, 512, 5.12, 10.14, 0.21834297
cpp-string-ops, 512, 5.25, 10.42, 0.21801277
cpp-string-ops, 512, 5.15, 10.12, 0.22168819
cpp-string-ops, 512, 5.14, 10.12, 0.22184153
cpp-string-ops, 512, 5.67, 11.77, 0.22340029
cpp-string-ops, 512, 5.27, 11.02, 0.21874657
cpp-string-ops, 512, 5.25, 10.11, 0.22338374
cpp-string-ops, 512, 5.23, 10.80, 0.21837247
cpp-string-ops, 512, 5.64, 11.80, 0.22283323
cpp-string-ops, 512, 5.47, 11.27, 0.21925237
cpp-string-ops, 512, 5.13, 10.56, 0.22184581
cpp-string-ops, 512, 5.24, 10.19, 0.22072769
cpp-string-ops, 512, 5.19, 10.07, 0.22226532
cpp-string-ops, 512, 5.16, 10.10, 0.22324904
cpp-string-ops, 512, 5.11, 10.22, 0.21672191
cpp-string-ops, 512, 5.22, 10.30, 0.22154545
cpp-string-ops, 512, 5.20, 10.18, 0.22255349
cpp-string-ops, 512, 5.10, 10.06, 0.21651359
cpp-string-ops, 512, 5.20, 10.20, 0.21586391
cpp-string-ops, 512, 5.03, 10.44, 0.22035638
cpp-string-ops, 512, 5.14, 11.81, 0.22457089
cpp-string-ops, 512, 5.11, 11.55, 0.21830022
cpp-string-ops, 512, 5.15, 11.30, 0.22287265
cpp-string-ops, 512, 5.16, 9.99, 0.22136666
cpp-string-ops, 512, 5.23, 11.39, 0.21844475
cpp-string-ops, 512, 5.14, 10.90, 0.22180792
cpp-string-ops, 1024, 9.63, 21.79, 0.43897937
cpp-string-ops, 1024, 9.37, 19.55, 0.43663131
cpp-string-ops, 1024, 9.20, 19.86, 0.43998353
cpp-string-ops, 1024, 9.19, 19.49, 0.43777936
cpp-string-ops, 1024, 9.30, 19.57, 0.44162921
cpp-string-ops, 1024, 9.36, 18.94, 0.42646266
cpp-string-ops, 1024, 9.16, 20.05, 0.43016135
cpp-string-ops, 1024, 9.40, 19.69, 0.43686693
cpp-string-ops, 1024, 9.24, 20.24, 0.44082928
cpp-string-ops, 1024, 9.26, 19.85, 0.43246431
cpp-string-ops, 1024, 9.36, 19.45, 0.44132262
cpp-string-ops, 1024, 9.32, 19.07, 0.42947611
cpp-string-ops, 1024, 9.34, 19.24, 0.43123431
cpp-string-ops, 1024, 9.19, 19.36, 0.42948603
cpp-string-ops, 1024, 9.35, 19.13, 0.43551833
cpp-string-ops, 1024, 9.29, 19.81, 0.42126900
cpp-string-ops, 1024, 9.32, 19.36, 0.43915212
cpp-string-ops, 1024, 9.36, 19.77, 0.43891296
cpp-string-ops, 1024, 9.24, 19.42, 0.43663893
cpp-string-ops, 1024, 9.35, 20.31, 0.44070368
cpp-string-ops, 1024, 9.97, 21.80, 0.43335483
cpp-string-ops, 1024, 9.33, 21.09, 0.43288687
cpp-string-ops, 1024, 9.28, 20.14, 0.43390540
cpp-string-ops, 1024, 9.38, 19.74, 0.42155840
cpp-string-ops, 1024, 9.30, 18.57, 0.42762293
cpp-string-ops, 1024, 9.19, 18.52, 0.42468897
cpp-string-ops, 1024, 9.25, 19.18, 0.43528155
cpp-string-ops, 1024, 9.20, 18.90, 0.43486268
cpp-string-ops, 1024, 9.19, 19.05, 0.43657939
cpp-string-ops, 1024, 9.40, 18.89, 0.42689709
cpp-string-ops, 2048, 18.60, 38.96, 0.87005237
cpp-string-ops, 2048, 17.50, 38.52, 0.84294149
cpp-string-ops, 2048, 18.39, 39.42, 0.87428250
cpp-string-ops, 2048, 19.24, 42.97, 0.87057490
cpp-string-ops, 2048, 18.86, 41.11, 0.85617164
cpp-string-ops, 2048, 17.76, 38.84, 0.84902977
cpp-string-ops, 2048, 18.64, 41.22, 0.86547642
cpp-string-ops, 2048, 18.64, 42.14, 0.86078759
cpp-string-ops, 2048, 17.71, 37.78, 0.85066363
cpp-string-ops, 2048, 18.86, 41.19, 0.86828557
cpp-string-ops, 2048, 18.53, 41.64, 0.85179948
cpp-string-ops, 2048, 18.56, 43.84, 0.86052001
cpp-string-ops, 2048, 18.60, 42.08, 0.87516583
cpp-string-ops, 2048, 17.27, 38.59, 0.84732503
cpp-string-ops, 2048, 18.49, 39.77, 0.87103500
cpp-string-ops, 2048, 19.54, 46.03, 0.86646467
cpp-string-ops, 2048, 18.60, 44.12, 0.86930563
cpp-string-ops, 2048, 17.43, 38.75, 0.85187746
cpp-string-ops, 2048, 18.32, 40.83, 0.86391941
cpp-string-ops, 2048, 18.34, 41.91, 0.85710435
cpp-string-ops, 2048, 18.44, 40.80, 0.87409094
cpp-string-ops, 2048, 18.46, 42.56, 0.87579781
cpp-string-ops, 2048, 18.51, 40.01, 0.87302293
cpp-string-ops, 2048, 19.36, 42.99, 0.86216377
cpp-string-ops, 2048, 19.37, 44.86, 0.87294094
cpp-string-ops, 2048, 18.82, 40.81, 0.85227324
cpp-string-ops, 2048, 18.64, 39.69, 0.87155778
cpp-string-ops, 2048, 18.50, 40.75, 0.85396194
cpp-string-ops, 2048, 18.48, 39.69, 0.86187904
cpp-string-ops, 2048, 17.53, 37.80, 0.84613759
