#program;length;compiler;opt;energy(J);time(s);run
bitset;512;clang++;-O2;48.56;1.454168707;0
bitset;512;clang++;-O2;48.86;1.455802981;1
bitset;512;clang++;-O2;48.18;1.454213371;2
bitset;512;clang++;-O2;48.12;1.454376316;3
bitset;512;clang++;-O2;48.41;1.454564617;4
bitset;512;clang++;-O2;48.17;1.454011674;5
bitset;512;clang++;-O2;48.52;1.454462757;6
bitset;512;clang++;-O2;48.21;1.453586880;7
bitset;512;clang++;-O2;49.11;1.427413158;8
bitset;512;clang++;-O2;47.97;1.461435796;9
bitset;512;clang++;-O2;47.26;1.460083889;10
bitset;512;clang++;-O2;47.17;1.458447452;11
bitset;512;clang++;-O2;47.29;1.459194137;12
bitset;512;clang++;-O2;48.96;1.439455598;13
bitset;512;clang++;-O2;47.83;1.460518541;14
bitset;1024;clang++;-O2;96.74;2.845499660;0
bitset;1024;clang++;-O2;97.29;2.861708544;1
bitset;1024;clang++;-O2;97.29;2.901781146;2
bitset;1024;clang++;-O2;97.37;2.862937926;3
bitset;1024;clang++;-O2;96.62;2.903691519;4
bitset;1024;clang++;-O2;94.74;2.912981875;5
bitset;1024;clang++;-O2;96.85;2.845722105;6
bitset;1024;clang++;-O2;96.40;2.904006107;7
bitset;1024;clang++;-O2;95.96;2.903149036;8
bitset;1024;clang++;-O2;97.37;2.851589286;9
bitset;1024;clang++;-O2;97.61;2.854573420;10
bitset;1024;clang++;-O2;94.97;2.916284575;11
bitset;1024;clang++;-O2;96.46;2.899295657;12
bitset;1024;clang++;-O2;97.87;2.866570954;13
bitset;1024;clang++;-O2;94.69;2.913979970;14
bitset;2048;clang++;-O2;193.22;5.684406753;0
bitset;2048;clang++;-O2;192.90;5.786845662;1
bitset;2048;clang++;-O2;193.76;5.686235380;2
bitset;2048;clang++;-O2;188.73;5.820728349;3
bitset;2048;clang++;-O2;188.10;5.819292597;4
bitset;2048;clang++;-O2;193.83;5.718999957;5
bitset;2048;clang++;-O2;192.18;5.798097622;6
bitset;2048;clang++;-O2;188.84;5.819149920;7
bitset;2048;clang++;-O2;192.36;5.794252048;8
bitset;2048;clang++;-O2;192.78;5.787908558;9
bitset;2048;clang++;-O2;193.27;5.687154296;10
bitset;2048;clang++;-O2;192.13;5.792470089;11
bitset;2048;clang++;-O2;193.76;5.690464300;12
bitset;2048;clang++;-O2;193.69;5.797460322;13
bitset;2048;clang++;-O2;191.55;5.793789715;14
bvector;512;clang++;-O2;47.73;1.478199732;0
bvector;512;clang++;-O2;48.12;1.478847192;1
bvector;512;clang++;-O2;49.78;1.474212211;2
bvector;512;clang++;-O2;48.91;1.473115071;3
bvector;512;clang++;-O2;48.97;1.473103540;4
bvector;512;clang++;-O2;48.78;1.473144336;5
bvector;512;clang++;-O2;49.01;1.473331826;6
bvector;512;clang++;-O2;49.53;1.473954018;7
bvector;512;clang++;-O2;49.26;1.472979097;8
bvector;512;clang++;-O2;50.28;1.455240275;9
bvector;512;clang++;-O2;48.90;1.480926606;10
bvector;512;clang++;-O2;49.61;1.445065335;11
bvector;512;clang++;-O2;49.27;1.475823802;12
bvector;512;clang++;-O2;49.68;1.447498251;13
bvector;512;clang++;-O2;49.25;1.474459833;14
bvector;1024;clang++;-O2;96.99;2.940221386;0
bvector;1024;clang++;-O2;95.99;2.951419297;1
bvector;1024;clang++;-O2;98.43;2.898304160;2
bvector;1024;clang++;-O2;98.20;2.882830201;3
bvector;1024;clang++;-O2;98.33;2.881779728;4
bvector;1024;clang++;-O2;98.18;2.882602796;5
bvector;1024;clang++;-O2;97.60;2.955319544;6
bvector;1024;clang++;-O2;97.48;2.941076123;7
bvector;1024;clang++;-O2;97.13;2.940370684;8
bvector;1024;clang++;-O2;97.39;2.939947604;9
bvector;1024;clang++;-O2;97.60;2.940963412;10
bvector;1024;clang++;-O2;97.58;2.943656243;11
bvector;1024;clang++;-O2;97.39;2.954153385;12
bvector;1024;clang++;-O2;95.55;2.949706307;13
bvector;1024;clang++;-O2;95.57;2.951346761;14
bvector;2048;clang++;-O2;190.90;5.896464224;0
bvector;2048;clang++;-O2;196.05;5.757276698;1
bvector;2048;clang++;-O2;195.89;5.757071814;2
bvector;2048;clang++;-O2;195.19;5.880535154;3
bvector;2048;clang++;-O2;194.46;5.876163917;4
bvector;2048;clang++;-O2;193.90;5.883869703;5
bvector;2048;clang++;-O2;194.21;5.875502762;6
bvector;2048;clang++;-O2;190.71;5.894631650;7
bvector;2048;clang++;-O2;195.71;5.760576873;8
bvector;2048;clang++;-O2;193.86;5.877187870;9
bvector;2048;clang++;-O2;190.82;5.893839791;10
bvector;2048;clang++;-O2;194.40;5.874658785;11
bvector;2048;clang++;-O2;192.91;5.873711505;12
bvector;2048;clang++;-O2;193.20;5.876675623;13
bvector;2048;clang++;-O2;190.50;5.896298224;14
cvector;512;clang++;-O2;7.53;0.219409227;0
cvector;512;clang++;-O2;7.41;0.219507550;1
cvector;512;clang++;-O2;7.95;0.224450456;2
cvector;512;clang++;-O2;7.57;0.219680233;3
cvector;512;clang++;-O2;7.73;0.224327415;4
cvector;512;clang++;-O2;7.56;0.219419836;5
cvector;512;clang++;-O2;7.92;0.225046589;6
cvector;512;clang++;-O2;7.79;0.223220367;7
cvector;512;clang++;-O2;7.30;0.222209459;8
cvector;512;clang++;-O2;7.33;0.222581774;9
cvector;512;clang++;-O2;7.65;0.223163982;10
cvector;512;clang++;-O2;7.84;0.223128576;11
cvector;512;clang++;-O2;7.79;0.221864433;12
cvector;512;clang++;-O2;7.66;0.223046733;13
cvector;512;clang++;-O2;7.87;0.222416345;14
cvector;1024;clang++;-O2;15.19;0.437853741;0
cvector;1024;clang++;-O2;14.98;0.442451120;1
cvector;1024;clang++;-O2;14.35;0.442459225;2
cvector;1024;clang++;-O2;14.82;0.434938555;3
cvector;1024;clang++;-O2;15.08;0.442479082;4
cvector;1024;clang++;-O2;14.96;0.437389845;5
cvector;1024;clang++;-O2;15.28;0.443852068;6
cvector;1024;clang++;-O2;14.59;0.441979359;7
cvector;1024;clang++;-O2;14.47;0.441800174;8
cvector;1024;clang++;-O2;14.83;0.436123639;9
cvector;1024;clang++;-O2;14.98;0.444038536;10
cvector;1024;clang++;-O2;15.21;0.444193335;11
cvector;1024;clang++;-O2;15.29;0.443343348;12
cvector;1024;clang++;-O2;14.33;0.441963930;13
cvector;1024;clang++;-O2;15.08;0.442409172;14
cvector;2048;clang++;-O2;30.21;0.877127145;0
cvector;2048;clang++;-O2;29.64;0.881645436;1
cvector;2048;clang++;-O2;28.96;0.866951092;2
cvector;2048;clang++;-O2;29.51;0.880776934;3
cvector;2048;clang++;-O2;28.73;0.879170692;4
cvector;2048;clang++;-O2;28.67;0.878692679;5
cvector;2048;clang++;-O2;28.56;0.867925493;6
cvector;2048;clang++;-O2;28.18;0.866660650;7
cvector;2048;clang++;-O2;28.36;0.867883425;8
cvector;2048;clang++;-O2;29.01;0.879831758;9
cvector;2048;clang++;-O2;28.77;0.879028126;10
cvector;2048;clang++;-O2;29.68;0.880973600;11
cvector;2048;clang++;-O2;28.73;0.879656710;12
cvector;2048;clang++;-O2;28.60;0.880022514;13
cvector;2048;clang++;-O2;28.81;0.878949088;14
string;512;clang++;-O2;7.67;0.223595207;0
string;512;clang++;-O2;7.67;0.223518083;1
string;512;clang++;-O2;7.68;0.223306589;2
string;512;clang++;-O2;7.67;0.223132884;3
string;512;clang++;-O2;7.56;0.222826862;4
string;512;clang++;-O2;7.33;0.222344811;5
string;512;clang++;-O2;7.46;0.222053457;6
string;512;clang++;-O2;7.58;0.221093344;7
string;512;clang++;-O2;8.07;0.225173386;8
string;512;clang++;-O2;7.61;0.223060118;9
string;512;clang++;-O2;7.72;0.224217189;10
string;512;clang++;-O2;7.74;0.223440899;11
string;512;clang++;-O2;7.70;0.223519176;12
string;512;clang++;-O2;7.63;0.222764876;13
string;512;clang++;-O2;7.58;0.222404293;14
string;1024;clang++;-O2;14.75;0.442283347;0
string;1024;clang++;-O2;14.83;0.442066502;1
string;1024;clang++;-O2;14.52;0.442021538;2
string;1024;clang++;-O2;15.13;0.437827663;3
string;1024;clang++;-O2;15.03;0.437851356;4
string;1024;clang++;-O2;14.98;0.443722686;5
string;1024;clang++;-O2;15.41;0.445383749;6
string;1024;clang++;-O2;14.72;0.442217003;7
string;1024;clang++;-O2;14.97;0.442954260;8
string;1024;clang++;-O2;15.07;0.439938366;9
string;1024;clang++;-O2;14.75;0.439226166;10
string;1024;clang++;-O2;14.33;0.438534202;11
string;1024;clang++;-O2;14.89;0.435468585;12
string;1024;clang++;-O2;15.17;0.444631915;13
string;1024;clang++;-O2;14.61;0.442086099;14
string;2048;clang++;-O2;28.98;0.868897249;0
string;2048;clang++;-O2;29.20;0.880435896;1
string;2048;clang++;-O2;29.01;0.868670264;2
string;2048;clang++;-O2;28.40;0.866529305;3
string;2048;clang++;-O2;28.25;0.865601501;4
string;2048;clang++;-O2;28.29;0.867259398;5
string;2048;clang++;-O2;29.28;0.882723911;6
string;2048;clang++;-O2;28.67;0.864194232;7
string;2048;clang++;-O2;28.00;0.863755692;8
string;2048;clang++;-O2;28.10;0.864673998;9
string;2048;clang++;-O2;29.17;0.881278260;10
string;2048;clang++;-O2;29.08;0.879105490;11
string;2048;clang++;-O2;28.60;0.879390603;12
string;2048;clang++;-O2;29.17;0.881710237;13
string;2048;clang++;-O2;28.45;0.879994361;14
bitset;512;clang++;-O3;48.51;1.435628835;0
bitset;512;clang++;-O3;48.03;1.461305016;1
bitset;512;clang++;-O3;49.15;1.436776589;2
bitset;512;clang++;-O3;48.87;1.454158034;3
bitset;512;clang++;-O3;48.32;1.453437276;4
bitset;512;clang++;-O3;47.95;1.453531172;5
bitset;512;clang++;-O3;49.29;1.428302056;6
bitset;512;clang++;-O3;48.65;1.424852832;7
bitset;512;clang++;-O3;48.34;1.425328080;8
bitset;512;clang++;-O3;48.36;1.423975963;9
bitset;512;clang++;-O3;48.40;1.424587886;10
bitset;512;clang++;-O3;48.26;1.424952198;11
bitset;512;clang++;-O3;48.20;1.424056845;12
bitset;512;clang++;-O3;48.30;1.424266767;13
bitset;512;clang++;-O3;48.14;1.456619452;14
bitset;1024;clang++;-O3;96.90;2.848480174;0
bitset;1024;clang++;-O3;94.41;2.913617180;1
bitset;1024;clang++;-O3;97.34;2.891089281;2
bitset;1024;clang++;-O3;97.34;2.856261231;3
bitset;1024;clang++;-O3;96.95;2.848575401;4
bitset;1024;clang++;-O3;96.42;2.846992384;5
bitset;1024;clang++;-O3;96.33;2.845445334;6
bitset;1024;clang++;-O3;95.80;2.905865007;7
bitset;1024;clang++;-O3;95.02;2.904360045;8
bitset;1024;clang++;-O3;95.36;2.901958277;9
bitset;1024;clang++;-O3;95.35;2.902899747;10
bitset;1024;clang++;-O3;94.65;2.913655532;11
bitset;1024;clang++;-O3;94.00;2.914458001;12
bitset;1024;clang++;-O3;94.36;2.915131248;13
bitset;1024;clang++;-O3;96.82;2.903089013;14
bitset;2048;clang++;-O3;193.95;5.721006280;0
bitset;2048;clang++;-O3;190.72;5.775306685;1
bitset;2048;clang++;-O3;192.97;5.686143028;2
bitset;2048;clang++;-O3;191.46;5.800946691;3
bitset;2048;clang++;-O3;194.51;5.809460772;4
bitset;2048;clang++;-O3;188.22;5.822215478;5
bitset;2048;clang++;-O3;187.27;5.823058964;6
bitset;2048;clang++;-O3;186.89;5.821823856;7
bitset;2048;clang++;-O3;191.06;5.795466339;8
bitset;2048;clang++;-O3;188.45;5.815768300;9
bitset;2048;clang++;-O3;191.02;5.799229702;10
bitset;2048;clang++;-O3;190.72;5.796962686;11
bitset;2048;clang++;-O3;191.07;5.797597693;12
bitset;2048;clang++;-O3;191.19;5.796605248;13
bitset;2048;clang++;-O3;191.36;5.798716313;14
bvector;512;clang++;-O3;49.90;1.456550062;0
bvector;512;clang++;-O3;49.65;1.475162023;1
bvector;512;clang++;-O3;48.85;1.474327383;2
bvector;512;clang++;-O3;49.70;1.448423605;3
bvector;512;clang++;-O3;48.53;1.480678502;4
bvector;512;clang++;-O3;49.39;1.473254648;5
bvector;512;clang++;-O3;49.57;1.475389508;6
bvector;512;clang++;-O3;49.48;1.474703446;7
bvector;512;clang++;-O3;49.02;1.473895055;8
bvector;512;clang++;-O3;48.98;1.474623667;9
bvector;512;clang++;-O3;48.76;1.473486652;10
bvector;512;clang++;-O3;49.65;1.445460086;11
