make[1]: se entra en el directorio '/home/gustavo/src/papers/2024/energy/c++'
#program;length;compiler;opt;energy(J);time(s);run
bitset;128;clang++;-O2;18,36;0,437800887;1720729445697
bitset;128;clang++;-O2;18,62;0,438662667;1720729446148
bitset;128;clang++;-O2;18,46;0,433753386;1720729446595
bitset;128;clang++;-O2;17,91;0,432131976;1720729447039
bitset;128;clang++;-O2;18,28;0,436352171;1720729447486
bitset;128;clang++;-O2;18,44;0,435037395;1720729447934
bitset;128;clang++;-O2;18,42;0,438163706;1720729448384
bitset;128;clang++;-O2;18,01;0,435407446;1720729448831
bitset;128;clang++;-O2;18,51;0,434789722;1720729449278
bitset;128;clang++;-O2;18,41;0,437872762;1720729449728
bitset;128;clang++;-O2;17,90;0,436843569;1720729450176
bitset;128;clang++;-O2;18,37;0,435749115;1720729450626
bitset;128;clang++;-O2;18,17;0,435207833;1720729451074
bitset;128;clang++;-O2;18,00;0,435760796;1720729451523
bitset;128;clang++;-O2;17,90;0,435424268;1720729451971
bitset;1024;clang++;-O2;142,36;3,616229033;1720729456885
bitset;1024;clang++;-O2;144,42;3,620231631;1720729460518
bitset;1024;clang++;-O2;148,47;3,607450732;1720729464138
bitset;1024;clang++;-O2;148,58;3,593156998;1720729467743
bitset;1024;clang++;-O2;146,77;3,618190597;1720729471374
bitset;1024;clang++;-O2;140,36;3,608210873;1720729474995
bitset;1024;clang++;-O2;147,91;3,611112063;1720729478619
bitset;1024;clang++;-O2;148,26;3,620677915;1720729482253
bitset;1024;clang++;-O2;148,63;3,622251354;1720729485888
bitset;1024;clang++;-O2;139,63;3,649032139;1720729489550
bitset;1024;clang++;-O2;147,82;3,615210020;1720729493179
bitset;1024;clang++;-O2;148,22;3,622907350;1720729496814
bitset;1024;clang++;-O2;150,41;3,578238175;1720729500406
bitset;1024;clang++;-O2;155,59;3,591275082;1720729504009
bitset;1024;clang++;-O2;18,49;0,439684617;1720729504460
bitset;8192;clang++;-O2;1.253,89;30,656099647;1720729536426
bitset;8192;clang++;-O2;1.252,78;30,500513518;1720729566939
bitset;8192;clang++;-O2;1.262,36;30,622676312;1720729597575
bitset;8192;clang++;-O2;1.274,69;30,364600012;1720729627952
bitset;8192;clang++;-O2;1.258,91;29,897750296;1720729657862
bitset;8192;clang++;-O2;1.278,68;30,511444610;1720729688387
bitset;8192;clang++;-O2;1.256,23;30,200448836;1720729718602
bitset;8192;clang++;-O2;1.262,74;30,330038836;1720729748945
bitset;8192;clang++;-O2;1.272,88;30,265042795;1720729779224
bitset;8192;clang++;-O2;149,86;3,658044747;1720729782895
bitset;8192;clang++;-O2;150,09;3,655278261;1720729786564
bitset;8192;clang++;-O2;150,46;3,660666271;1720729790238
bitset;8192;clang++;-O2;149,79;3,645675547;1720729793896
bitset;8192;clang++;-O2;150,82;3,604545574;1720729797513
bitset;8192;clang++;-O2;152,52;3,630535224;1720729801158
bvector;128;clang++;-O2;19,48;0,448665940;1720729802922
bvector;128;clang++;-O2;19,14;0,452920340;1720729803388
bvector;128;clang++;-O2;19,32;0,444971870;1720729803846
bvector;128;clang++;-O2;20,08;0,447673003;1720729804305
bvector;128;clang++;-O2;19,86;0,452464587;1720729804770
bvector;128;clang++;-O2;19,14;0,455465000;1720729805239
bvector;128;clang++;-O2;18,65;0,453115815;1720729805705
bvector;128;clang++;-O2;18,69;0,452593689;1720729806170
bvector;128;clang++;-O2;18,84;0,453669852;1720729806636
bvector;128;clang++;-O2;18,83;0,456110708;1720729807105
bvector;128;clang++;-O2;18,97;0,451655053;1720729807570
bvector;128;clang++;-O2;19,74;0,457890287;1720729808041
