make[1]: se entra en el directorio '/home/gustavo/src/papers/2024/energy/c++'
#program;length;compiler;opt;energy(J);time(s);run
bitset;128;clang++;-O2;15,22;0,364377076;1720726952538
bitset;128;clang++;-O2;15,89;0,362337622;1720726952913
bitset;128;clang++;-O2;17,04;0,366308398;1720726953291
bitset;128;clang++;-O2;16,83;0,359025458;1720726953662
bitset;128;clang++;-O2;17,14;0,366291757;1720726954040
bitset;128;clang++;-O2;16,06;0,361657159;1720726954414
bitset;128;clang++;-O2;14,72;0,364166974;1720726954790
bitset;128;clang++;-O2;14,41;0,363383408;1720726955166
bitset;128;clang++;-O2;14,15;0,361067377;1720726955540
bitset;128;clang++;-O2;14,13;0,361084368;1720726955913
bitset;128;clang++;-O2;14,13;0,360893701;1720726956285
bitset;128;clang++;-O2;14,04;0,360505616;1720726956657
bitset;128;clang++;-O2;16,08;0,362834351;1720726957032
bitset;128;clang++;-O2;14,22;0,358877441;1720726957402
bitset;128;clang++;-O2;15,43;0,365883303;1720726957780
bitset;1024;clang++;-O2;109,81;2,877501317;1720726961951
bitset;1024;clang++;-O2;109,48;2,876059240;1720726964841
bitset;1024;clang++;-O2;109,13;2,879166071;1720726967733
bitset;1024;clang++;-O2;112,19;2,874556089;1720726970620
bitset;1024;clang++;-O2;110,39;2,882055294;1720726973514
bitset;1024;clang++;-O2;111,61;2,826239526;1720726976353
bitset;1024;clang++;-O2;109,50;2,883481982;1720726979249
bitset;1024;clang++;-O2;111,09;2,840378569;1720726982101
bitset;1024;clang++;-O2;112,85;2,869551439;1720726984984
bitset;1024;clang++;-O2;112,27;2,859776217;1720726987858
bitset;1024;clang++;-O2;112,59;2,870611020;1720726990742
bitset;1024;clang++;-O2;112,92;2,851850765;1720726993607
bitset;1024;clang++;-O2;109,32;2,886522458;1720726996506
bitset;1024;clang++;-O2;110,83;2,822094053;1720726999342
bitset;1024;clang++;-O2;111,83;2,825330666;1720727002180
bitset;8192;clang++;-O2;922,26;23,091179928;1720727026543
bitset;8192;clang++;-O2;888,48;22,995428100;1720727049551
bitset;8192;clang++;-O2;914,24;23,091239879;1720727072656
bitset;8192;clang++;-O2;892,64;23,056538280;1720727095726
bitset;8192;clang++;-O2;881,96;23,063956524;1720727118804
bitset;8192;clang++;-O2;933,42;23,114336716;1720727141931
bitset;8192;clang++;-O2;169,55;4,396529266;1720727146340
bitset;8192;clang++;-O2;170,13;4,393300338;1720727150747
bitset;8192;clang++;-O2;171,52;4,345934843;1720727155107
bitset;8192;clang++;-O2;169,91;4,397975431;1720727159518
bitset;8192;clang++;-O2;172,12;4,385051370;1720727163917
bitset;8192;clang++;-O2;169,56;4,395568049;1720727168326
