size,GPU,PKG,s
0, 0, 3.95, 1.25347674
0, 0, 1.5, 1.22437289
0, 0, 5.23999999999999, 1.23144972
0, 0.27, 9.67, 1.21386518
0, 0, 12.13, 1.22351000
0, 0, 7.75, 1.21203677
0, 0, 3.58, 1.20141725
0, 0, 7.07000000000001, 1.21229191
0, 0, 1.92, 1.19621005
0, 0, 3.68000000000001, 1.24249651
0, 0, 5.26000000000001, 1.23074999
0, 0, 3.13, 1.22093724
0, 0, 0.5, 1.19923726
0, 0, 4.16, 1.21957068
0, 0, 6.85000000000001, 1.21418757
0, 0, 8.98999999999999, 1.20457582
0, 0, 8.17, 1.22228604
0, 0, 6.10000000000001, 1.22365816
0, 0.0700000000000003, 10.32, 1.22042138
0, 0.649999999999999, 14.66, 1.21588146
0, 19.1, 18.31, 1.21587324
0, 10.58, 18.74, 1.21287092
0, 1.32, 15.54, 1.20972467
0, 1.45, 9.14, 1.24385069
0, 2.12, 13.74, 1.21372691
0, 1, 19.31, 1.23835306
0, 0, 11.58, 1.20072869
0, 1.96, 16.42, 1.23098884
0, 3.03, 15.83, 1.23164328
0, 1.33, 19.73, 1.23679957
1, 0.35, 10.32, 0.66730373
1, 0.25, 10.2, 0.67282785
1, 0.129999999999999, 9.41, 0.68799418
1, 0.0499999999999989, 8.99, 0.66877219
1, 0.0299999999999994, 9.9, 0.66448207
1, 0.389999999999999, 9.33, 0.66793443
1, 0.92, 12.85, 0.68093144
1, 0.609999999999999, 11.91, 0.67889135
1, 0.4, 11.81, 0.68828427
1, 0.4, 11.65, 0.67657572
1, 2.06, 11.76, 0.67476653
1, 1.55, 11.72, 0.67218117
1, 2.18, 11.84, 0.67625033
1, 0.719999999999999, 12.05, 0.66778850
1, 2.5, 12.57, 0.67747202
1, 2.11, 14.09, 0.68569052
1, 1.56, 11.84, 0.69227962
1, 0.25, 10.13, 0.68722065
1, 0.0499999999999989, 9.99, 0.67106798
1, 0.15, 9.17, 0.67422486
1, 0.0299999999999994, 8.53, 0.70004189
1, 0, 9, 0.68148242
1, 0, 8.84, 0.66792836
1, 0, 8.67, 0.68150834
1, 0, 8.32, 0.67114236
1, 0, 8.3, 0.68240664
1, 0, 8.77, 0.66967446
1, 0.0800000000000001, 8.24, 0.67234986
1, 0, 8.53, 0.67554229
