rndgen,GPU,PKG
isaac64, 1.56, 15.18
isaac64, 1.44, 14.47
isaac64,  0, 14.18
isaac64,  0, 15.37
isaac64,  0, 15.89
isaac64,  0, 15.58
isaac64,  0, 16.14
isaac64,  0.91, 20.92
isaac64,  0, 17.22
isaac64,  0, 17.12
isaac64,  0, 17.76
isaac64,  0.120000000000001, 16.84
isaac64, 0, 16.91
isaac64,  0, 16.84
isaac64,  0, 18.07
isaac64,  0, 16.55
isaac64,  1.11, 20.7
isaac64,  0.0400000000000027, 13.48
isaac64,  0, 13.97
isaac64,  0, 13.53
isaac64,  0, 13.57
isaac64,  0, 14.72
isaac64,  1.01, 16.2
isaac64,  0, 13.19
isaac64,  0, 13.05
isaac64,  0.0600000000000023, 14.03
isaac64,  0, 15.46
isaac64,  0.0500000000000007, 15.04
isaac64,  0, 16.78
isaac64,  0.130000000000003, 16.84
pcg, 0.0500000000000007, 9.63
pcg, 0.0199999999999996, 10.4
pcg, 0.0800000000000001, 9.67
pcg, 0, 10.09
pcg, 0, 9.41
pcg, 0, 9.73
pcg, 0, 9.59
pcg, 0.0500000000000007, 9.74
pcg, 0.0800000000000001, 9.84
pcg, 0.0700000000000003, 9.15000000000001
pcg, 0.0500000000000007, 10.61
pcg, 0.0300000000000011, 10.52
pcg, 0, 10.13
pcg, 0.0500000000000007, 13.16
pcg, 0.0199999999999996, 10.09
pcg, 0.0400000000000009, 9.73
pcg, 0, 9.40000000000001
pcg, 0, 9.74
pcg, 0.120000000000001, 9.83000000000001
pcg, 0.130000000000001, 10.23
pcg, 0, 9.76000000000001
pcg, 0.0300000000000011, 9.1
pcg, 0.00999999999999979, 9.03
pcg, 0.0500000000000007, 9.5
pcg, 0.0999999999999996, 9.41
pcg, 0, 8.67
pcg, 0, 8.78
pcg, 0, 7.95
pcg, 0, 8.95
pcg, 0.0400000000000009, 9.12
romuTrio, 0, 5.38
romuTrio, 0, 5.11000000000001
romuTrio, 0, 7.58000000000001
romuTrio, 0, 8.79000000000001
romuTrio, 0, 9.2
romuTrio, 0, 7.84
romuTrio, 0, 5.16
romuTrio, 0, 6.93000000000001
romuTrio, 0, 3.72000000000001
romuTrio, 0, 7.26000000000001
romuTrio, 0, 7.61000000000001
romuTrio, 0, 8.01000000000001
romuTrio, 0, 5.06
romuTrio, 0, 10.73
romuTrio, 0, 9.58000000000001
romuTrio, 0, 9.85
romuTrio, 0.150000000000002, 10.68
romuTrio, 0, 5.81
romuTrio, 0, 8.56
romuTrio, 0, 4.81
romuTrio, 0, 8.27
romuTrio, 0, 9.05
romuTrio, 7.43, 6.2
romuTrio, 9.85, 9.04000000000001
romuTrio, 7.31, 5.76000000000001
romuTrio, 0.48, 10.39
romuTrio, 0.34, 10.06
romuTrio, 0.290000000000003, 10.13
romuTrio, 0.16, 9.97000000000001
romuTrio, 0, 9.32
sfc64, 2.19, 14.76
sfc64, 1.47, 12.17
sfc64, 2.06, 14.34
sfc64, 2, 13.06
sfc64, 1.62, 12.13
sfc64, 1.05, 12.19
sfc64, 2.17, 11.6
sfc64, 2.37, 12.04
sfc64, 2.03, 12.1
sfc64, 1.78, 11.87
sfc64, 1.4, 12.36
sfc64, 1.64, 12.41
sfc64, 4.43, 14.47
sfc64, 11.5, 13.05
sfc64, 13.58, 16.49
sfc64, 2.41, 18.96
sfc64, 1.42, 13.67
sfc64, 9.01, 17.17
sfc64, 12.04, 12.98
sfc64, 9.84, 12.96
sfc64, 1.21, 12.8
sfc64, 1.4, 13.86
sfc64, 0.899999999999999, 12.69
sfc64, 0.550000000000001, 13.26
sfc64, 0.759999999999998, 15.09
sfc64, 1.27, 12.78
sfc64, 1.16, 12.54
sfc64, 0.0799999999999983, 12.93
sfc64, 0.0599999999999987, 12.8
sfc64, 0.129999999999999, 10.34
Xoroshiro128, 0, 9.48
Xoroshiro128, 0, 13.9
Xoroshiro128, 0, 12.21
Xoroshiro128, 0, 9.33
Xoroshiro128, 0, 8.17
Xoroshiro128, 0, 8.54
Xoroshiro128, 0.57, 8.53
Xoroshiro128, 0.75, 10.62
Xoroshiro128, 1.1, 11.14
Xoroshiro128, 0.550000000000001, 10.69
Xoroshiro128, 1.53, 11.7
