Platform,size,GPU,PKG,seconds
sac-ops-bool, 512, 7.25, 13.92, 0.33596864
sac-ops-bool, 512, 7.17, 14.68, 0.31544464
sac-ops-bool, 512, 7.25, 15.10, 0.32225482
sac-ops-bool, 512, 7.23, 18.39, 0.32321407
sac-ops-bool, 512, 7.26, 16.06, 0.33141112
sac-ops-bool, 512, 7.35, 15.66, 0.32751512
sac-ops-bool, 512, 7.29, 15.54, 0.33167254
sac-ops-bool, 512, 7.34, 15.57, 0.32019495
sac-ops-bool, 512, 7.26, 15.50, 0.32765949
sac-ops-bool, 512, 7.27, 15.27, 0.31563201
sac-ops-bool, 512, 7.31, 15.76, 0.31995370
sac-ops-bool, 512, 7.22, 15.66, 0.32750603
sac-ops-bool, 512, 7.27, 15.68, 0.32683055
sac-ops-bool, 512, 7.22, 15.74, 0.32453603
sac-ops-bool, 512, 7.26, 15.81, 0.31694535
sac-ops-bool, 512, 7.42, 15.86, 0.32165612
sac-ops-bool, 512, 8.10, 17.85, 0.32464653
sac-ops-bool, 512, 8.12, 19.85, 0.33485101
sac-ops-bool, 512, 8.10, 18.87, 0.31937402
sac-ops-bool, 512, 7.99, 18.38, 0.33181655
sac-ops-bool, 512, 8.74, 19.04, 0.32635778
sac-ops-bool, 512, 8.13, 17.55, 0.32801125
sac-ops-bool, 512, 7.86, 17.64, 0.32648731
sac-ops-bool, 512, 7.89, 16.82, 0.32876603
sac-ops-bool, 512, 8.67, 16.24, 0.32926215
sac-ops-bool, 512, 7.51, 15.91, 0.32843277
sac-ops-bool, 512, 7.87, 17.76, 0.32690450
sac-ops-bool, 512, 8.84, 21.23, 0.32821216
sac-ops-bool, 512, 8.49, 19.71, 0.32327007
sac-ops-bool, 512, 8.03, 17.21, 0.33096450
sac-ops-bool, 1024, 10.70, 23.19, 0.43711067
sac-ops-bool, 1024, 10.73, 22.42, 0.43603419
sac-ops-bool, 1024, 9.64, 20.38, 0.43140870
sac-ops-bool, 1024, 9.43, 20.35, 0.42542855
sac-ops-bool, 1024, 9.53, 20.59, 0.43256802
sac-ops-bool, 1024, 10.17, 24.27, 0.43663605
sac-ops-bool, 1024, 10.22, 23.46, 0.42895386
sac-ops-bool, 1024, 9.95, 24.39, 0.44051786
sac-ops-bool, 1024, 11.16, 25.75, 0.43951720
sac-ops-bool, 1024, 10.69, 24.04, 0.43609807
sac-ops-bool, 1024, 10.53, 21.41, 0.42652385
sac-ops-bool, 1024, 10.27, 22.33, 0.43571839
sac-ops-bool, 1024, 10.14, 24.29, 0.43153557
sac-ops-bool, 1024, 9.76, 21.95, 0.43239836
sac-ops-bool, 1024, 12.07, 28.53, 0.45306393
sac-ops-bool, 1024, 11.00, 26.47, 0.43672528
sac-ops-bool, 1024, 10.78, 25.50, 0.43850620
sac-ops-bool, 1024, 12.18, 30.60, 0.45579288
sac-ops-bool, 1024, 9.88, 30.28, 0.44316922
sac-ops-bool, 1024, 10.04, 30.81, 0.44196069
sac-ops-bool, 1024, 9.83, 25.95, 0.43076062
sac-ops-bool, 1024, 10.24, 25.70, 0.43952018
sac-ops-bool, 1024, 9.56, 24.38, 0.43811816
sac-ops-bool, 1024, 9.98, 23.85, 0.43912967
sac-ops-bool, 1024, 9.93, 24.00, 0.42928083
sac-ops-bool, 1024, 9.56, 21.67, 0.43632115
sac-ops-bool, 1024, 9.60, 20.62, 0.43559975
sac-ops-bool, 1024, 9.46, 20.55, 0.43685423
sac-ops-bool, 1024, 9.33, 21.79, 0.43031864
sac-ops-bool, 1024, 9.43, 20.61, 0.44016782
sac-ops-bool, 2048, 13.65, 31.31, 0.64426516
sac-ops-bool, 2048, 13.61, 31.78, 0.64045684
sac-ops-bool, 2048, 17.09, 41.65, 0.80031621
sac-ops-bool, 2048, 15.87, 41.34, 0.66611146
sac-ops-bool, 2048, 15.15, 37.82, 0.64942373
sac-ops-bool, 2048, 16.41, 37.26, 0.65647180
sac-ops-bool, 2048, 15.69, 37.95, 0.69800374
sac-ops-bool, 2048, 13.73, 29.10, 0.65099633
sac-ops-bool, 2048, 13.71, 29.50, 0.63939944
sac-ops-bool, 2048, 13.65, 30.36, 0.63623568
sac-ops-bool, 2048, 13.62, 30.09, 0.64360793
sac-ops-bool, 2048, 13.68, 31.11, 0.64379459
sac-ops-bool, 2048, 13.64, 31.05, 0.64228619
sac-ops-bool, 2048, 13.59, 30.83, 0.62900101
sac-ops-bool, 2048, 14.70, 34.34, 0.65682631
sac-ops-bool, 2048, 15.02, 36.60, 0.65478906
sac-ops-bool, 2048, 16.82, 41.67, 0.66764553
sac-ops-bool, 2048, 15.17, 37.47, 0.64855851
sac-ops-bool, 2048, 15.08, 34.73, 0.64998749
sac-ops-bool, 2048, 15.10, 34.78, 0.66354249
sac-ops-bool, 2048, 13.69, 31.75, 0.64285071
sac-ops-bool, 2048, 13.70, 29.93, 0.64410003
sac-ops-bool, 2048, 13.71, 29.72, 0.64943214
sac-ops-bool, 2048, 13.68, 30.56, 0.64732017
sac-ops-bool, 2048, 15.73, 41.44, 0.66330725
sac-ops-bool, 2048, 13.78, 33.93, 0.63642852
sac-ops-bool, 2048, 18.88, 45.13, 0.82582484
sac-ops-bool, 2048, 13.76, 32.99, 0.65014929
sac-ops-bool, 2048, 14.59, 33.21, 0.65360567
sac-ops-bool, 2048, 13.79, 31.26, 0.64225557
