Platform,size,GPU,PKG,seconds
sac-ops-string, 512, 8.32, 17.44, 0.35839376
sac-ops-string, 512, 7.34, 15.68, 0.31446267
sac-ops-string, 512, 7.36, 15.72, 0.30913366
sac-ops-string, 512, 7.43, 15.74, 0.31556619
sac-ops-string, 512, 7.36, 15.92, 0.31251844
sac-ops-string, 512, 7.33, 16.04, 0.31124714
sac-ops-string, 512, 7.38, 16.40, 0.31386472
sac-ops-string, 512, 7.33, 15.61, 0.31136621
sac-ops-string, 512, 7.31, 15.93, 0.31379343
sac-ops-string, 512, 7.33, 15.93, 0.31733257
sac-ops-string, 512, 7.40, 16.01, 0.30931722
sac-ops-string, 512, 7.36, 16.25, 0.31692463
sac-ops-string, 512, 7.36, 15.53, 0.31535962
sac-ops-string, 512, 7.36, 15.81, 0.31414945
sac-ops-string, 512, 7.33, 16.28, 0.31977113
sac-ops-string, 512, 7.44, 15.65, 0.31455784
sac-ops-string, 512, 7.35, 16.59, 0.30891230
sac-ops-string, 512, 7.28, 15.92, 0.31173637
sac-ops-string, 512, 7.36, 16.01, 0.31326923
sac-ops-string, 512, 7.35, 15.51, 0.31217312
sac-ops-string, 512, 7.32, 15.80, 0.30374440
sac-ops-string, 512, 7.31, 15.94, 0.31708354
sac-ops-string, 512, 7.26, 17.02, 0.32183549
sac-ops-string, 512, 7.29, 15.79, 0.31445579
sac-ops-string, 512, 7.37, 15.69, 0.32138589
sac-ops-string, 512, 7.35, 15.68, 0.31783615
sac-ops-string, 512, 7.36, 15.70, 0.31822175
sac-ops-string, 512, 7.32, 15.82, 0.30725920
sac-ops-string, 512, 7.26, 15.65, 0.31652205
sac-ops-string, 512, 7.24, 15.91, 0.31244446
sac-ops-string, 1024, 9.43, 20.97, 0.41829978
sac-ops-string, 1024, 9.43, 21.28, 0.40884063
sac-ops-string, 1024, 9.53, 21.12, 0.40921650
sac-ops-string, 1024, 9.42, 20.79, 0.41927582
sac-ops-string, 1024, 9.57, 20.45, 0.41731906
sac-ops-string, 1024, 9.44, 20.56, 0.41496293
sac-ops-string, 1024, 9.45, 21.01, 0.41913408
sac-ops-string, 1024, 9.39, 20.37, 0.42010502
sac-ops-string, 1024, 9.49, 20.92, 0.41486528
sac-ops-string, 1024, 9.98, 23.47, 0.41838949
sac-ops-string, 1024, 10.50, 26.07, 0.41860899
sac-ops-string, 1024, 10.72, 24.77, 0.41496588
sac-ops-string, 1024, 11.80, 26.68, 0.42200270
sac-ops-string, 1024, 10.86, 25.60, 0.40751648
sac-ops-string, 1024, 11.30, 26.43, 0.41791016
sac-ops-string, 1024, 11.21, 26.70, 0.41925881
sac-ops-string, 1024, 10.80, 26.43, 0.42339811
sac-ops-string, 1024, 10.69, 27.91, 0.42844114
sac-ops-string, 1024, 10.79, 27.79, 0.41774039
sac-ops-string, 1024, 10.43, 23.98, 0.44186046
sac-ops-string, 1024, 10.36, 21.36, 0.41877160
sac-ops-string, 1024, 10.46, 24.05, 0.42884802
sac-ops-string, 1024, 9.53, 21.90, 0.41129406
sac-ops-string, 1024, 9.47, 21.51, 0.41689933
sac-ops-string, 1024, 9.64, 22.97, 0.41055077
sac-ops-string, 1024, 10.30, 26.03, 0.41339802
sac-ops-string, 1024, 10.16, 22.70, 0.41700895
sac-ops-string, 1024, 10.46, 24.81, 0.41362642
sac-ops-string, 1024, 10.55, 24.71, 0.40725016
sac-ops-string, 1024, 10.09, 21.51, 0.41384023
sac-ops-string, 2048, 13.67, 31.21, 0.61884436
sac-ops-string, 2048, 13.76, 30.37, 0.61188345
sac-ops-string, 2048, 13.33, 30.82, 0.60488819
sac-ops-string, 2048, 13.57, 30.79, 0.61151084
sac-ops-string, 2048, 15.03, 35.89, 0.61295133
sac-ops-string, 2048, 24.01, 35.86, 0.62769235
sac-ops-string, 2048, 24.29, 36.21, 0.61313933
sac-ops-string, 2048, 22.00, 42.93, 0.62055857
sac-ops-string, 2048, 15.45, 40.48, 0.61891138
sac-ops-string, 2048, 14.69, 42.39, 0.61554344
sac-ops-string, 2048, 14.72, 40.13, 0.61683870
sac-ops-string, 2048, 14.66, 38.22, 0.62153017
sac-ops-string, 2048, 14.65, 39.09, 0.62620127
sac-ops-string, 2048, 14.50, 38.79, 0.61939744
sac-ops-string, 2048, 14.62, 39.13, 0.60793034
sac-ops-string, 2048, 14.53, 38.54, 0.62869361
sac-ops-string, 2048, 14.59, 39.13, 0.61423044
sac-ops-string, 2048, 14.53, 39.34, 0.62120880
sac-ops-string, 2048, 14.82, 41.44, 0.62125621
sac-ops-string, 2048, 14.56, 39.87, 0.61814631
sac-ops-string, 2048, 14.85, 39.33, 0.61182589
sac-ops-string, 2048, 14.56, 39.49, 0.61924035
sac-ops-string, 2048, 15.29, 41.44, 0.62957724
sac-ops-string, 2048, 15.32, 41.52, 0.62302146
sac-ops-string, 2048, 15.68, 41.25, 0.61578999
sac-ops-string, 2048, 14.71, 40.29, 0.62554777
sac-ops-string, 2048, 14.84, 42.06, 0.61511664
sac-ops-string, 2048, 14.64, 39.00, 0.62261905
sac-ops-string, 2048, 14.50, 40.57, 0.61864749
sac-ops-string, 2048, 15.31, 43.76, 0.62250745
