Platform,size,GPU,PKG,seconds
sac-gen-bool, 512, 6.60, 14.61, 0.28351151
sac-gen-bool, 512, 6.35, 14.77, 0.28581332
sac-gen-bool, 512, 6.46, 14.44, 0.27825297
sac-gen-bool, 512, 6.41, 16.07, 0.28390008
sac-gen-bool, 512, 6.24, 16.16, 0.28336127
sac-gen-bool, 512, 6.44, 15.95, 0.27790417
sac-gen-bool, 512, 6.29, 15.93, 0.28482719
sac-gen-bool, 512, 6.40, 16.23, 0.28380681
sac-gen-bool, 512, 6.37, 16.12, 0.27864580
sac-gen-bool, 512, 6.40, 15.71, 0.28138654
sac-gen-bool, 512, 6.41, 15.52, 0.28165469
sac-gen-bool, 512, 6.34, 15.09, 0.28291576
sac-gen-bool, 512, 6.41, 15.50, 0.28485431
sac-gen-bool, 512, 6.21, 15.92, 0.27791793
sac-gen-bool, 512, 6.39, 15.93, 0.28269767
sac-gen-bool, 512, 6.33, 15.54, 0.27752260
sac-gen-bool, 512, 6.25, 14.80, 0.28802138
sac-gen-bool, 512, 6.35, 15.18, 0.28162301
sac-gen-bool, 512, 6.36, 15.43, 0.28941516
sac-gen-bool, 512, 6.30, 15.42, 0.28440673
sac-gen-bool, 512, 6.41, 15.13, 0.28466222
sac-gen-bool, 512, 6.35, 14.86, 0.28155329
sac-gen-bool, 512, 6.38, 16.33, 0.28608766
sac-gen-bool, 512, 6.35, 18.85, 0.28459396
sac-gen-bool, 512, 6.28, 16.23, 0.27577955
sac-gen-bool, 512, 6.38, 15.78, 0.27773504
sac-gen-bool, 512, 6.24, 16.29, 0.28010241
sac-gen-bool, 512, 6.36, 15.99, 0.28371968
sac-gen-bool, 512, 6.25, 15.35, 0.28445396
sac-gen-bool, 512, 6.35, 15.95, 0.28111679
sac-gen-bool, 1024, 8.54, 21.48, 0.38255371
sac-gen-bool, 1024, 8.45, 21.33, 0.37555098
sac-gen-bool, 1024, 8.47, 22.35, 0.38698908
sac-gen-bool, 1024, 8.44, 23.42, 0.38215785
sac-gen-bool, 1024, 8.36, 22.52, 0.38320264
sac-gen-bool, 1024, 8.34, 22.37, 0.39215860
sac-gen-bool, 1024, 8.42, 21.35, 0.38268760
sac-gen-bool, 1024, 8.39, 21.17, 0.37463148
sac-gen-bool, 1024, 8.34, 19.92, 0.37373685
sac-gen-bool, 1024, 8.45, 20.47, 0.38259737
sac-gen-bool, 1024, 8.34, 21.28, 0.37092762
sac-gen-bool, 1024, 8.40, 21.36, 0.38004356
sac-gen-bool, 1024, 8.36, 20.41, 0.38041931
sac-gen-bool, 1024, 8.40, 20.05, 0.38107591
sac-gen-bool, 1024, 8.38, 20.68, 0.37962358
sac-gen-bool, 1024, 8.51, 20.05, 0.38140586
sac-gen-bool, 1024, 8.29, 20.87, 0.38155111
sac-gen-bool, 1024, 8.38, 21.21, 0.38415016
sac-gen-bool, 1024, 8.43, 20.33, 0.37954707
sac-gen-bool, 1024, 8.35, 20.55, 0.38116199
sac-gen-bool, 1024, 8.39, 20.78, 0.38062947
sac-gen-bool, 1024, 8.42, 20.66, 0.37499255
sac-gen-bool, 1024, 8.42, 20.24, 0.37982687
sac-gen-bool, 1024, 8.44, 20.31, 0.38269174
sac-gen-bool, 1024, 8.40, 20.05, 0.38082694
sac-gen-bool, 1024, 8.48, 20.57, 0.38310312
sac-gen-bool, 1024, 8.48, 20.77, 0.39201186
sac-gen-bool, 1024, 8.45, 20.92, 0.38277179
sac-gen-bool, 1024, 8.45, 20.46, 0.38185874
sac-gen-bool, 1024, 8.38, 21.63, 0.38558792
sac-gen-bool, 2048, 12.58, 32.76, 0.57810403
sac-gen-bool, 2048, 12.56, 33.00, 0.57174310
sac-gen-bool, 2048, 12.76, 32.49, 0.58451469
sac-gen-bool, 2048, 12.66, 31.61, 0.56884085
sac-gen-bool, 2048, 12.54, 32.07, 0.58031669
sac-gen-bool, 2048, 12.68, 32.37, 0.57170245
sac-gen-bool, 2048, 12.60, 31.76, 0.58092148
sac-gen-bool, 2048, 12.72, 31.12, 0.57824012
sac-gen-bool, 2048, 12.72, 30.04, 0.57734878
sac-gen-bool, 2048, 12.69, 30.66, 0.57756563
sac-gen-bool, 2048, 12.65, 31.77, 0.57800409
sac-gen-bool, 2048, 12.54, 31.34, 0.58301969
sac-gen-bool, 2048, 12.52, 32.00, 0.57617374
sac-gen-bool, 2048, 12.61, 32.06, 0.57072786
sac-gen-bool, 2048, 12.44, 32.58, 0.58238800
sac-gen-bool, 2048, 12.64, 32.41, 0.59206975
sac-gen-bool, 2048, 12.64, 31.62, 0.58067480
sac-gen-bool, 2048, 12.57, 30.98, 0.57700768
sac-gen-bool, 2048, 12.60, 31.32, 0.58045790
sac-gen-bool, 2048, 12.56, 31.21, 0.58913197
sac-gen-bool, 2048, 12.56, 30.30, 0.58238305
sac-gen-bool, 2048, 12.61, 31.22, 0.57056794
sac-gen-bool, 2048, 12.50, 32.17, 0.58031850
sac-gen-bool, 2048, 12.63, 31.26, 0.56853981
sac-gen-bool, 2048, 12.51, 31.46, 0.57993865
sac-gen-bool, 2048, 12.59, 30.63, 0.58141709
sac-gen-bool, 2048, 12.50, 32.37, 0.56918097
sac-gen-bool, 2048, 12.60, 32.31, 0.57759380
sac-gen-bool, 2048, 12.61, 31.15, 0.57751100
sac-gen-bool, 2048, 12.57, 35.02, 0.57381939
