Platform,size,GPU,PKG,seconds
sac-gen-string, 512, 6.45, 15.91, 0.29560572
sac-gen-string, 512, 6.36, 15.31, 0.28950032
sac-gen-string, 512, 7.47, 18.46, 0.30868461
sac-gen-string, 512, 7.49, 20.86, 0.30197192
sac-gen-string, 512, 6.35, 16.83, 0.29837780
sac-gen-string, 512, 6.33, 16.26, 0.29967739
sac-gen-string, 512, 6.32, 15.87, 0.29728579
sac-gen-string, 512, 6.30, 16.18, 0.29005080
sac-gen-string, 512, 7.40, 18.82, 0.30642278
sac-gen-string, 512, 6.29, 15.29, 0.30031529
sac-gen-string, 512, 7.39, 18.32, 0.31036586
sac-gen-string, 512, 6.37, 15.87, 0.29967850
sac-gen-string, 512, 6.30, 16.12, 0.29357626
sac-gen-string, 512, 6.39, 16.00, 0.28904981
sac-gen-string, 512, 6.35, 15.33, 0.29871791
sac-gen-string, 512, 6.41, 15.88, 0.30046800
sac-gen-string, 512, 6.34, 15.47, 0.29284823
sac-gen-string, 512, 6.40, 15.76, 0.29916751
sac-gen-string, 512, 7.34, 18.83, 0.30308540
sac-gen-string, 512, 6.31, 16.09, 0.29703937
sac-gen-string, 512, 6.38, 16.50, 0.29434390
sac-gen-string, 512, 7.94, 20.20, 0.30109855
sac-gen-string, 512, 7.51, 19.38, 0.30145378
sac-gen-string, 512, 6.45, 15.54, 0.29903028
sac-gen-string, 512, 6.27, 15.69, 0.29745242
sac-gen-string, 512, 6.30, 15.61, 0.29525804
sac-gen-string, 512, 6.34, 15.54, 0.29703325
sac-gen-string, 512, 6.41, 16.01, 0.29589061
sac-gen-string, 512, 7.35, 19.02, 0.30067750
sac-gen-string, 512, 6.32, 15.00, 0.29646207
sac-gen-string, 1024, 9.55, 27.51, 0.41341237
sac-gen-string, 1024, 9.55, 25.70, 0.40551691
sac-gen-string, 1024, 9.45, 27.98, 0.41560135
sac-gen-string, 1024, 9.63, 26.09, 0.41309128
sac-gen-string, 1024, 9.57, 25.12, 0.41126018
sac-gen-string, 1024, 9.95, 24.56, 0.41268980
sac-gen-string, 1024, 10.15, 24.63, 0.40898674
sac-gen-string, 1024, 10.14, 25.85, 0.40673475
sac-gen-string, 1024, 10.16, 26.16, 0.40594583
sac-gen-string, 1024, 10.15, 25.90, 0.41421665
sac-gen-string, 1024, 10.16, 25.18, 0.40608938
sac-gen-string, 1024, 10.14, 25.41, 0.42036723
sac-gen-string, 1024, 10.17, 25.47, 0.40772348
sac-gen-string, 1024, 10.16, 25.71, 0.41151737
sac-gen-string, 1024, 10.03, 25.71, 0.41534700
sac-gen-string, 1024, 9.79, 26.02, 0.41106022
sac-gen-string, 1024, 9.49, 24.82, 0.41189021
sac-gen-string, 1024, 9.88, 24.76, 0.41677007
sac-gen-string, 1024, 9.84, 26.54, 0.40693206
sac-gen-string, 1024, 10.19, 26.88, 0.41449469
sac-gen-string, 1024, 10.07, 25.88, 0.40250409
sac-gen-string, 1024, 10.52, 26.60, 0.40367527
sac-gen-string, 1024, 10.75, 26.26, 0.41131534
sac-gen-string, 1024, 10.51, 27.17, 0.41163502
sac-gen-string, 1024, 10.17, 26.07, 0.41534115
sac-gen-string, 1024, 9.49, 25.55, 0.41065715
sac-gen-string, 1024, 9.44, 25.19, 0.40201179
sac-gen-string, 1024, 9.43, 24.80, 0.42454334
sac-gen-string, 1024, 9.43, 25.35, 0.41343249
sac-gen-string, 1024, 9.48, 24.57, 0.41235347
sac-gen-string, 2048, 13.65, 37.87, 0.62350685
sac-gen-string, 2048, 13.59, 38.71, 0.63170010
sac-gen-string, 2048, 13.80, 38.50, 0.63675373
sac-gen-string, 2048, 13.68, 37.47, 0.63138503
sac-gen-string, 2048, 13.69, 37.61, 0.63515782
sac-gen-string, 2048, 13.56, 37.85, 0.62908861
sac-gen-string, 2048, 21.42, 48.86, 0.73583456
sac-gen-string, 2048, 24.31, 40.62, 0.63693943
sac-gen-string, 2048, 24.29, 42.21, 0.63889465
sac-gen-string, 2048, 18.15, 41.24, 0.64195821
sac-gen-string, 2048, 15.23, 40.54, 0.64834597
sac-gen-string, 2048, 14.69, 40.77, 0.63937076
sac-gen-string, 2048, 15.47, 40.97, 0.64465096
sac-gen-string, 2048, 16.88, 44.76, 0.65138931
sac-gen-string, 2048, 15.74, 41.03, 0.62668537
sac-gen-string, 2048, 15.25, 43.67, 0.65727745
sac-gen-string, 2048, 13.89, 39.36, 0.62713068
sac-gen-string, 2048, 13.95, 39.75, 0.64831801
sac-gen-string, 2048, 13.65, 37.76, 0.63355804
sac-gen-string, 2048, 15.70, 40.94, 0.65301095
sac-gen-string, 2048, 15.00, 38.10, 0.63578774
sac-gen-string, 2048, 14.78, 38.80, 0.63608050
sac-gen-string, 2048, 14.53, 37.96, 0.64593888
sac-gen-string, 2048, 13.78, 36.05, 0.63858639
sac-gen-string, 2048, 13.83, 34.82, 0.63698824
sac-gen-string, 2048, 13.83, 35.17, 0.63518421
sac-gen-string, 2048, 13.88, 36.77, 0.63088320
sac-gen-string, 2048, 13.78, 37.34, 0.63672919
sac-gen-string, 2048, 13.94, 37.63, 0.62782834
sac-gen-string, 2048, 13.85, 37.13, 0.62506421
