Platform,size,GPU,PKG,seconds
sac-hiff-string, 512, 22.87, 54.59, 1.07503981
sac-hiff-string, 512, 22.64, 60.67, 1.06993626
sac-hiff-string, 512, 22.77, 56.44, 1.07800709
sac-hiff-string, 512, 22.77, 54.55, 1.08456507
sac-hiff-string, 512, 23.84, 56.97, 1.10433760
sac-hiff-string, 512, 22.78, 59.45, 1.06824633
sac-hiff-string, 512, 22.87, 59.29, 1.09733959
sac-hiff-string, 512, 23.86, 59.65, 1.10302904
sac-hiff-string, 512, 23.81, 57.68, 1.10583510
sac-hiff-string, 512, 23.46, 58.18, 1.07548517
sac-hiff-string, 512, 23.39, 60.26, 1.09200642
sac-hiff-string, 512, 23.23, 60.02, 1.07817834
sac-hiff-string, 512, 23.21, 57.42, 1.10055823
sac-hiff-string, 512, 23.17, 59.15, 1.10013676
sac-hiff-string, 512, 23.45, 60.88, 1.09720176
sac-hiff-string, 512, 23.12, 59.55, 1.08824680
sac-hiff-string, 512, 29.39, 65.52, 1.09760876
sac-hiff-string, 512, 41.07, 65.89, 1.09550747
sac-hiff-string, 512, 30.21, 60.22, 1.06321531
sac-hiff-string, 512, 25.15, 66.37, 1.10891640
sac-hiff-string, 512, 23.04, 59.08, 1.07096960
sac-hiff-string, 512, 23.29, 72.71, 1.08831862
sac-hiff-string, 512, 23.95, 65.62, 1.08063613
sac-hiff-string, 512, 24.76, 59.83, 1.09705167
sac-hiff-string, 512, 25.82, 58.12, 1.10343594
sac-hiff-string, 512, 23.01, 56.88, 1.07292777
sac-hiff-string, 512, 23.80, 64.12, 1.09411858
sac-hiff-string, 512, 25.40, 67.44, 1.10601909
sac-hiff-string, 512, 41.04, 66.78, 1.09414582
sac-hiff-string, 512, 34.20, 63.26, 1.06765197
sac-hiff-string, 1024, 54.34, 143.63, 2.31498150
sac-hiff-string, 1024, 50.88, 123.82, 2.34366117
sac-hiff-string, 1024, 78.48, 154.85, 2.27713925
sac-hiff-string, 1024, 52.78, 135.39, 2.26312679
sac-hiff-string, 1024, 52.37, 132.49, 2.24838841
sac-hiff-string, 1024, 53.43, 140.25, 2.23885843
sac-hiff-string, 1024, 51.02, 125.79, 2.22505414
sac-hiff-string, 1024, 66.29, 135.80, 2.26450737
sac-hiff-string, 1024, 67.19, 162.44, 2.30644710
sac-hiff-string, 1024, 52.05, 151.91, 2.25403995
sac-hiff-string, 1024, 50.48, 146.87, 2.23664686
sac-hiff-string, 1024, 50.53, 146.42, 2.23511671
sac-hiff-string, 1024, 52.37, 154.30, 2.25790207
sac-hiff-string, 1024, 54.11, 142.76, 2.26812263
sac-hiff-string, 1024, 68.99, 132.40, 2.26619033
sac-hiff-string, 1024, 60.25, 134.82, 2.23649244
sac-hiff-string, 1024, 52.09, 130.04, 2.24280830
sac-hiff-string, 1024, 50.69, 121.99, 2.23628511
sac-hiff-string, 1024, 76.01, 144.74, 2.26963350
sac-hiff-string, 1024, 49.80, 127.79, 2.24371944
sac-hiff-string, 1024, 48.06, 121.62, 2.24209163
sac-hiff-string, 1024, 47.36, 114.61, 2.27507099
sac-hiff-string, 1024, 63.54, 126.66, 2.23985671
sac-hiff-string, 1024, 47.74, 113.38, 2.27242442
sac-hiff-string, 1024, 47.05, 115.34, 2.24177566
sac-hiff-string, 1024, 78.75, 137.35, 2.28494993
sac-hiff-string, 1024, 54.30, 128.21, 2.23375414
sac-hiff-string, 1024, 74.15, 135.97, 2.27062015
sac-hiff-string, 1024, 55.05, 145.80, 2.29900596
sac-hiff-string, 1024, 53.02, 135.42, 2.23686228
sac-hiff-string, 2048, 118.08, 273.72, 4.88811631
sac-hiff-string, 2048, 122.79, 287.13, 4.77899908
sac-hiff-string, 2048, 103.38, 258.75, 4.78154965
sac-hiff-string, 2048, 116.77, 263.84, 4.81816190
sac-hiff-string, 2048, 119.63, 278.55, 4.81836565
sac-hiff-string, 2048, 111.19, 289.04, 4.80535329
sac-hiff-string, 2048, 102.29, 259.56, 4.82318544
sac-hiff-string, 2048, 98.61, 244.81, 4.73763291
sac-hiff-string, 2048, 98.67, 256.29, 4.73420128
sac-hiff-string, 2048, 106.08, 283.59, 4.77547573
sac-hiff-string, 2048, 105.30, 262.87, 4.81552360
sac-hiff-string, 2048, 101.26, 245.04, 4.83983963
sac-hiff-string, 2048, 100.22, 244.39, 4.76216033
sac-hiff-string, 2048, 100.49, 240.57, 4.80187879
sac-hiff-string, 2048, 99.53, 243.01, 4.75439864
sac-hiff-string, 2048, 101.50, 258.27, 4.82308301
sac-hiff-string, 2048, 100.25, 249.46, 4.77571574
sac-hiff-string, 2048, 101.73, 243.70, 4.81838787
sac-hiff-string, 2048, 102.61, 243.87, 4.87885062
sac-hiff-string, 2048, 136.94, 298.05, 4.79860819
sac-hiff-string, 2048, 114.90, 304.42, 4.81987029
sac-hiff-string, 2048, 107.03, 270.43, 4.75616744
sac-hiff-string, 2048, 108.93, 271.85, 4.90354463
sac-hiff-string, 2048, 109.59, 284.65, 4.79725660
sac-hiff-string, 2048, 135.56, 292.09, 4.86733673
sac-hiff-string, 2048, 138.42, 313.45, 4.78379068
sac-hiff-string, 2048, 111.74, 329.68, 4.81540741
sac-hiff-string, 2048, 110.53, 325.05, 4.79748132
sac-hiff-string, 2048, 138.01, 327.29, 4.83290578
sac-hiff-string, 2048, 109.80, 300.83, 4.89279333
