Platform,size,RAM,Core,Psys,seconds
sea-bool-base, 512, 1.22, 18.40, 40.31, 1.55977916
sea-bool-base, 512, 0.97, 15.72, 36.82, 1.50011775
sea-bool-base, 512, 0.97, 17.22, 36.98, 1.49929504
sea-bool-base, 512, 1.04, 18.85, 39.49, 1.50378061
sea-bool-base, 512, 1.08, 17.53, 39.30, 1.50472708
sea-bool-base, 512, 1.15, 21.16, 41.89, 1.53887995
sea-bool-base, 512, 1.18, 19.47, 42.64, 1.55371695
sea-bool-base, 512, 0.99, 16.29, 37.49, 1.54398338
sea-bool-base, 512, 0.98, 16.18, 37.78, 1.49753358
sea-bool-base, 512, 1.15, 17.48, 39.33, 1.52601130
sea-bool-base, 512, 1.10, 18.13, 40.99, 1.55698248
sea-bool-base, 512, 1.06, 17.60, 38.99, 1.55513530
sea-bool-base, 512, 1.00, 17.78, 37.81, 1.53129347
sea-bool-base, 512, 1.06, 18.16, 39.75, 1.52535581
sea-bool-base, 512, 1.12, 18.05, 40.25, 1.51154886
sea-bool-base, 512, 1.01, 15.99, 38.50, 1.53878776
sea-bool-base, 512, 1.07, 17.50, 40.15, 1.55326650
sea-bool-base, 512, 1.03, 16.94, 38.78, 1.53698402
sea-bool-base, 512, 1.10, 19.38, 42.14, 1.52861950
sea-bool-base, 512, 1.03, 18.13, 40.11, 1.51532653
sea-bool-base, 512, 1.00, 16.09, 38.30, 1.54079237
sea-bool-base, 512, 0.99, 18.33, 38.97, 1.51354185
sea-bool-base, 512, 1.17, 18.46, 41.87, 1.51088760
sea-bool-base, 512, 0.99, 17.34, 38.85, 1.49325162
sea-bool-base, 512, 0.96, 16.86, 37.78, 1.49913269
sea-bool-base, 512, 1.03, 18.42, 40.28, 1.52583710
sea-bool-base, 512, 1.19, 18.85, 40.89, 1.55004914
sea-bool-base, 512, 1.01, 17.21, 39.11, 1.54198668
sea-bool-base, 512, 1.04, 17.86, 40.14, 1.53918637
sea-bool-base, 512, 1.04, 17.31, 39.65, 1.54429128
sea-bool-base, 1024, 2.18, 35.17, 80.67, 3.06024978
sea-bool-base, 1024, 1.99, 34.06, 78.44, 3.05309260
sea-bool-base, 1024, 2.20, 35.79, 81.55, 3.07325111
sea-bool-base, 1024, 2.36, 37.76, 81.69, 3.08611925
sea-bool-base, 1024, 2.24, 37.35, 82.34, 3.06936238
sea-bool-base, 1024, 1.97, 32.83, 77.61, 3.05072249
sea-bool-base, 1024, 2.30, 40.42, 86.27, 3.06143878
sea-bool-base, 1024, 2.04, 36.80, 80.93, 3.02772472
sea-bool-base, 1024, 2.12, 36.63, 81.27, 3.06476618
sea-bool-base, 1024, 2.24, 36.18, 81.68, 3.09574767
sea-bool-base, 1024, 1.97, 34.01, 78.47, 3.04427023
sea-bool-base, 1024, 2.38, 40.64, 87.33, 3.19905326
sea-bool-base, 1024, 2.23, 27.21, 73.42, 3.32104227
sea-bool-base, 1024, 2.32, 26.73, 74.29, 3.32366690
sea-bool-base, 1024, 2.21, 29.22, 74.18, 3.30597805
sea-bool-base, 1024, 2.37, 27.55, 74.64, 3.35420868
sea-bool-base, 1024, 2.13, 28.94, 73.37, 3.26622292
sea-bool-base, 1024, 2.35, 27.94, 74.60, 3.34344480
sea-bool-base, 1024, 2.23, 30.36, 74.07, 3.30617637
sea-bool-base, 1024, 2.29, 29.94, 74.14, 3.30467841
sea-bool-base, 1024, 2.17, 28.88, 73.65, 3.29119805
sea-bool-base, 1024, 2.63, 30.69, 77.93, 3.35990039
sea-bool-base, 1024, 2.18, 27.96, 72.70, 3.33811471
sea-bool-base, 1024, 2.36, 29.38, 75.81, 3.32115278
sea-bool-base, 1024, 2.33, 30.02, 76.40, 3.39307586
sea-bool-base, 1024, 2.18, 26.86, 73.01, 3.31405141
sea-bool-base, 1024, 2.34, 28.94, 74.82, 3.33495067
sea-bool-base, 1024, 2.19, 30.60, 73.76, 3.28206783
sea-bool-base, 1024, 2.29, 28.43, 73.04, 3.30060641
sea-bool-base, 1024, 2.16, 27.76, 74.32, 3.29864747
sea-bool-base, 2048, 4.53, 55.29, 149.79, 6.62094797
sea-bool-base, 2048, 4.40, 57.80, 147.95, 6.58142185
sea-bool-base, 2048, 4.47, 59.05, 148.93, 6.60032765
sea-bool-base, 2048, 4.61, 58.24, 149.88, 6.62455819
sea-bool-base, 2048, 4.48, 60.81, 149.62, 6.58227044
sea-bool-base, 2048, 4.50, 58.51, 150.12, 6.61408255
sea-bool-base, 2048, 4.63, 60.15, 150.51, 6.67041885
sea-bool-base, 2048, 4.48, 57.46, 149.28, 6.58372441
sea-bool-base, 2048, 4.47, 57.90, 149.93, 6.56854878
sea-bool-base, 2048, 4.49, 56.89, 149.21, 6.60876757
sea-bool-base, 2048, 4.41, 55.34, 147.74, 6.54572113
sea-bool-base, 2048, 4.40, 56.25, 147.90, 6.53445402
sea-bool-base, 2048, 4.54, 56.26, 149.13, 6.57940577
sea-bool-base, 2048, 4.39, 56.88, 147.59, 6.52463435
sea-bool-base, 2048, 4.31, 55.53, 148.37, 6.51142340
sea-bool-base, 2048, 4.56, 60.48, 150.38, 6.66465671
sea-bool-base, 2048, 4.45, 59.06, 148.78, 6.56460637
sea-bool-base, 2048, 4.41, 55.03, 148.62, 6.53723728
sea-bool-base, 2048, 4.46, 56.95, 149.77, 6.57736234
sea-bool-base, 2048, 4.42, 54.45, 147.69, 6.56036427
sea-bool-base, 2048, 4.42, 56.44, 147.40, 6.54599565
sea-bool-base, 2048, 4.52, 57.96, 148.84, 6.58814456
sea-bool-base, 2048, 4.53, 56.68, 149.68, 6.59134669
sea-bool-base, 2048, 4.44, 57.71, 147.03, 6.55385279
sea-bool-base, 2048, 4.61, 58.45, 151.19, 6.62305727
sea-bool-base, 2048, 4.40, 55.84, 146.77, 6.55864214
sea-bool-base, 2048, 4.53, 55.21, 149.49, 6.59666050
sea-bool-base, 2048, 4.42, 54.74, 147.82, 6.53416785
sea-bool-base, 2048, 4.41, 57.86, 147.24, 6.53942544
sea-bool-base, 2048, 4.46, 59.45, 147.95, 6.54830516
