Platform,size,RAM,Core,Psys,seconds
sea-bool-hiff, 512, 1.53, 24.67, 53.56, 2.02960203
sea-bool-hiff, 512, 1.32, 22.84, 52.01, 1.98222113
sea-bool-hiff, 512, 1.38, 25.11, 53.91, 2.02723985
sea-bool-hiff, 512, 1.54, 25.03, 52.82, 2.06369140
sea-bool-hiff, 512, 1.45, 26.87, 54.92, 2.06483681
sea-bool-hiff, 512, 1.36, 24.50, 54.63, 2.02629964
sea-bool-hiff, 512, 1.32, 25.44, 51.54, 1.99123519
sea-bool-hiff, 512, 1.52, 26.63, 55.06, 2.01740137
sea-bool-hiff, 512, 1.33, 25.42, 53.41, 2.02444097
sea-bool-hiff, 512, 1.29, 24.13, 52.44, 1.96672406
sea-bool-hiff, 512, 1.54, 25.80, 55.51, 2.02079374
sea-bool-hiff, 512, 1.35, 25.28, 53.65, 2.01880934
sea-bool-hiff, 512, 1.36, 25.91, 54.77, 2.02312671
sea-bool-hiff, 512, 1.30, 24.49, 52.99, 1.98885716
sea-bool-hiff, 512, 1.49, 26.69, 54.59, 2.00399798
sea-bool-hiff, 512, 1.35, 26.11, 55.13, 2.01822641
sea-bool-hiff, 512, 1.36, 23.15, 53.50, 2.02808652
sea-bool-hiff, 512, 1.53, 26.42, 55.27, 2.03400320
sea-bool-hiff, 512, 1.35, 25.72, 54.71, 2.01371408
sea-bool-hiff, 512, 1.29, 24.94, 51.83, 1.98388074
sea-bool-hiff, 512, 1.39, 22.29, 52.79, 2.09832209
sea-bool-hiff, 512, 1.58, 23.79, 55.09, 2.10648874
sea-bool-hiff, 512, 1.35, 25.23, 54.73, 2.03414718
sea-bool-hiff, 512, 1.31, 24.62, 53.09, 1.98998726
sea-bool-hiff, 512, 1.46, 25.54, 55.11, 2.02847989
sea-bool-hiff, 512, 1.32, 27.19, 54.66, 1.99765610
sea-bool-hiff, 512, 1.31, 22.91, 53.44, 1.98713623
sea-bool-hiff, 512, 1.36, 26.55, 55.52, 2.01364708
sea-bool-hiff, 512, 1.48, 25.78, 54.82, 2.02260502
sea-bool-hiff, 512, 1.28, 23.75, 53.21, 1.98266983
sea-bool-hiff, 1024, 2.87, 53.27, 113.22, 4.09832827
sea-bool-hiff, 1024, 2.95, 60.50, 119.45, 4.13294071
sea-bool-hiff, 1024, 3.03, 46.29, 109.06, 4.34696131
sea-bool-hiff, 1024, 3.12, 39.30, 102.50, 4.64809884
sea-bool-hiff, 1024, 3.09, 38.90, 101.83, 4.64870648
sea-bool-hiff, 1024, 3.21, 38.92, 103.27, 4.61342513
sea-bool-hiff, 1024, 2.96, 38.12, 100.97, 4.55937818
sea-bool-hiff, 1024, 3.24, 41.23, 103.43, 4.61910231
sea-bool-hiff, 1024, 3.26, 39.51, 103.69, 4.62027032
sea-bool-hiff, 1024, 3.03, 38.51, 102.13, 4.58929997
sea-bool-hiff, 1024, 3.20, 37.68, 103.35, 4.62524961
sea-bool-hiff, 1024, 3.23, 38.47, 103.74, 4.64307949
sea-bool-hiff, 1024, 3.01, 39.71, 102.52, 4.57471623
sea-bool-hiff, 1024, 3.19, 38.84, 102.69, 4.60620228
sea-bool-hiff, 1024, 3.33, 40.78, 106.43, 4.68124382
sea-bool-hiff, 1024, 3.04, 39.65, 102.09, 4.65287772
sea-bool-hiff, 1024, 3.10, 37.54, 101.34, 4.56217833
sea-bool-hiff, 1024, 3.18, 40.30, 103.87, 4.59682066
sea-bool-hiff, 1024, 3.03, 39.00, 103.12, 4.56454518
sea-bool-hiff, 1024, 3.16, 39.80, 102.27, 4.59500439
sea-bool-hiff, 1024, 3.17, 41.05, 102.91, 4.58488334
sea-bool-hiff, 1024, 3.06, 40.34, 103.50, 4.56096559
sea-bool-hiff, 1024, 3.18, 39.66, 104.15, 4.62194310
sea-bool-hiff, 1024, 3.19, 40.64, 104.33, 4.61298903
sea-bool-hiff, 1024, 2.99, 40.63, 102.32, 4.55607464
sea-bool-hiff, 1024, 3.16, 39.31, 103.72, 4.60103360
sea-bool-hiff, 1024, 3.10, 39.02, 101.05, 4.55558511
sea-bool-hiff, 1024, 3.02, 40.47, 102.67, 4.59492447
sea-bool-hiff, 1024, 3.37, 41.62, 106.43, 4.72880958
sea-bool-hiff, 1024, 3.15, 38.78, 102.78, 4.58524867
sea-bool-hiff, 2048, 6.19, 85.28, 211.02, 9.36311380
sea-bool-hiff, 2048, 6.30, 81.64, 211.27, 9.38392013
sea-bool-hiff, 2048, 6.61, 81.23, 215.06, 9.47072567
sea-bool-hiff, 2048, 6.21, 78.86, 209.72, 9.30917117
sea-bool-hiff, 2048, 6.24, 82.66, 210.29, 9.36547840
sea-bool-hiff, 2048, 6.71, 82.53, 216.48, 9.56715277
sea-bool-hiff, 2048, 6.19, 81.28, 209.70, 9.33922910
sea-bool-hiff, 2048, 6.31, 82.00, 211.97, 9.36638284
sea-bool-hiff, 2048, 6.51, 83.44, 213.28, 9.42638480
sea-bool-hiff, 2048, 6.25, 80.83, 210.25, 9.33575527
sea-bool-hiff, 2048, 6.27, 80.52, 211.70, 9.34639311
sea-bool-hiff, 2048, 6.75, 84.82, 215.46, 9.59125957
sea-bool-hiff, 2048, 6.23, 80.90, 210.54, 9.40606014
