Platform,size,RAM,Core,Psys,seconds
sea-bool-ops, 512, 1.05, 19.29, 40.23, 1.53894916
sea-bool-ops, 512, 1.01, 19.63, 40.19, 1.50500091
sea-bool-ops, 512, 1.02, 16.86, 39.24, 1.51527742
sea-bool-ops, 512, 1.04, 17.32, 40.77, 1.51858927
sea-bool-ops, 512, 1.20, 17.13, 39.91, 1.59080220
sea-bool-ops, 512, 1.01, 17.64, 39.50, 1.51612921
sea-bool-ops, 512, 1.05, 18.73, 40.34, 1.54503220
sea-bool-ops, 512, 1.00, 17.42, 39.56, 1.50816111
sea-bool-ops, 512, 1.20, 17.99, 41.09, 1.54998244
sea-bool-ops, 512, 1.00, 17.60, 39.95, 1.51074184
sea-bool-ops, 512, 1.04, 17.99, 40.70, 1.53437531
sea-bool-ops, 512, 1.02, 17.73, 38.83, 1.53973723
sea-bool-ops, 512, 0.99, 18.42, 39.67, 1.52631731
sea-bool-ops, 512, 1.23, 17.84, 41.97, 1.56010937
sea-bool-ops, 512, 1.00, 16.70, 39.80, 1.52384480
sea-bool-ops, 512, 1.02, 18.79, 39.85, 1.52794158
sea-bool-ops, 512, 1.04, 18.82, 40.74, 1.52328492
sea-bool-ops, 512, 1.18, 18.62, 40.97, 1.58708154
sea-bool-ops, 512, 1.01, 17.59, 40.05, 1.52577073
sea-bool-ops, 512, 1.01, 18.40, 40.19, 1.54564538
sea-bool-ops, 512, 1.03, 17.83, 40.43, 1.51776967
sea-bool-ops, 512, 1.18, 19.44, 41.73, 1.54306366
sea-bool-ops, 512, 1.04, 18.26, 40.97, 1.54831415
sea-bool-ops, 512, 1.00, 18.28, 40.68, 1.51184783
sea-bool-ops, 512, 1.00, 18.15, 38.73, 1.54842752
sea-bool-ops, 512, 1.23, 19.76, 41.93, 1.57502616
sea-bool-ops, 512, 1.02, 18.37, 41.22, 1.51887266
sea-bool-ops, 512, 1.01, 18.84, 40.41, 1.51453294
sea-bool-ops, 512, 1.03, 19.10, 40.91, 1.54699853
sea-bool-ops, 512, 1.00, 18.18, 40.44, 1.51438801
sea-bool-ops, 1024, 2.15, 37.29, 82.08, 3.07392753
sea-bool-ops, 1024, 2.07, 36.08, 81.37, 3.10094652
sea-bool-ops, 1024, 2.29, 42.43, 88.32, 3.11472016
sea-bool-ops, 1024, 1.98, 36.69, 81.09, 3.05446405
sea-bool-ops, 1024, 2.26, 39.34, 83.73, 3.13971585
sea-bool-ops, 1024, 2.00, 36.55, 81.76, 3.07246614
sea-bool-ops, 1024, 1.99, 38.48, 82.42, 3.03880177
sea-bool-ops, 1024, 2.15, 37.64, 84.02, 3.07298836
sea-bool-ops, 1024, 2.02, 35.99, 79.93, 3.09876685
sea-bool-ops, 1024, 2.24, 37.26, 84.36, 3.12220816
sea-bool-ops, 1024, 2.23, 29.52, 75.06, 3.36656015
sea-bool-ops, 1024, 2.40, 29.26, 75.87, 3.41193859
sea-bool-ops, 1024, 2.23, 28.13, 74.79, 3.38373422
sea-bool-ops, 1024, 2.44, 28.71, 76.59, 3.42935918
sea-bool-ops, 1024, 2.24, 26.49, 75.04, 3.38060005
sea-bool-ops, 1024, 2.40, 30.23, 76.44, 3.42261146
sea-bool-ops, 1024, 2.22, 29.22, 75.89, 3.40206762
sea-bool-ops, 1024, 2.37, 28.51, 75.07, 3.39789684
sea-bool-ops, 1024, 2.24, 29.45, 75.59, 3.38966650
sea-bool-ops, 1024, 2.36, 29.76, 75.59, 3.38945056
sea-bool-ops, 1024, 2.39, 29.66, 78.05, 3.47603494
sea-bool-ops, 1024, 2.44, 30.57, 76.39, 3.42388595
sea-bool-ops, 1024, 2.26, 29.62, 75.71, 3.38463196
sea-bool-ops, 1024, 2.34, 29.74, 76.10, 3.39989977
sea-bool-ops, 1024, 2.23, 28.69, 75.08, 3.37006755
sea-bool-ops, 1024, 2.42, 30.62, 77.02, 3.40407847
sea-bool-ops, 1024, 2.20, 29.63, 74.60, 3.36555113
sea-bool-ops, 1024, 2.41, 30.12, 77.69, 3.41103426
sea-bool-ops, 1024, 2.26, 31.63, 75.90, 3.37694629
sea-bool-ops, 1024, 2.30, 29.23, 75.04, 3.34592085
sea-bool-ops, 2048, 4.56, 59.23, 152.13, 6.75961781
sea-bool-ops, 2048, 4.43, 57.13, 149.85, 6.75793343
sea-bool-ops, 2048, 4.58, 59.96, 151.41, 6.75724018
sea-bool-ops, 2048, 4.83, 59.25, 155.15, 6.85135919
sea-bool-ops, 2048, 4.75, 59.29, 154.57, 6.88145656
sea-bool-ops, 2048, 4.65, 59.30, 154.26, 6.84136920
sea-bool-ops, 2048, 4.67, 59.84, 153.94, 6.76975055
sea-bool-ops, 2048, 4.56, 60.83, 151.42, 6.74921643
sea-bool-ops, 2048, 4.52, 58.61, 151.68, 6.74112440
sea-bool-ops, 2048, 4.63, 60.11, 153.06, 6.74852389
sea-bool-ops, 2048, 4.54, 59.88, 151.31, 6.72366122
sea-bool-ops, 2048, 4.57, 58.58, 152.05, 6.71998409
sea-bool-ops, 2048, 4.53, 59.41, 150.94, 6.67422190
sea-bool-ops, 2048, 5.53, 60.45, 163.17, 7.16098230
sea-bool-ops, 2048, 4.62, 58.96, 153.46, 6.77000091
sea-bool-ops, 2048, 4.61, 60.29, 153.20, 6.71121357
sea-bool-ops, 2048, 4.49, 57.73, 150.87, 6.74349185
sea-bool-ops, 2048, 4.57, 57.30, 152.65, 6.72445500
sea-bool-ops, 2048, 4.58, 61.35, 151.61, 6.71517937
sea-bool-ops, 2048, 4.61, 59.93, 153.08, 6.76220886
sea-bool-ops, 2048, 4.59, 58.07, 152.75, 6.75463511
sea-bool-ops, 2048, 4.63, 61.82, 154.23, 6.75499479
sea-bool-ops, 2048, 4.68, 57.06, 152.72, 6.85710072
sea-bool-ops, 2048, 4.53, 58.57, 151.71, 6.71553226
sea-bool-ops, 2048, 4.49, 61.14, 150.57, 6.68922298
sea-bool-ops, 2048, 4.64, 58.56, 153.79, 6.80217778
sea-bool-ops, 2048, 4.54, 57.47, 151.41, 6.72876366
sea-bool-ops, 2048, 4.60, 58.55, 152.43, 6.71641317
sea-bool-ops, 2048, 4.66, 59.39, 153.68, 6.78395109
sea-bool-ops, 2048, 4.51, 58.80, 150.63, 6.70135894
