Platform,size,RAM,Core,Psys,seconds
sea-bool-base, 512, 0.13, 1.51, 3.97, 0.19076200
sea-bool-base, 512, 0.13, 1.36, 3.88, 0.19432142
sea-bool-base, 512, 0.20, 2.28, 5.72, 0.20554405
sea-bool-base, 512, 0.17, 1.69, 4.55, 0.22493624
sea-bool-base, 512, 0.16, 1.67, 4.67, 0.21649711
sea-bool-base, 512, 0.17, 2.14, 4.85, 0.20484324
sea-bool-base, 512, 0.13, 1.73, 3.95, 0.19714391
sea-bool-base, 512, 0.14, 1.56, 3.78, 0.19443910
sea-bool-base, 512, 0.13, 1.74, 3.71, 0.19542715
sea-bool-base, 512, 0.13, 2.06, 3.81, 0.19209147
sea-bool-base, 512, 0.14, 1.56, 3.94, 0.19010401
sea-bool-base, 512, 0.13, 1.76, 3.98, 0.19503135
sea-bool-base, 512, 0.31, 2.78, 5.64, 0.21004142
sea-bool-base, 512, 0.17, 2.38, 4.75, 0.20932778
sea-bool-base, 512, 0.13, 1.46, 3.80, 0.19926056
sea-bool-base, 512, 0.26, 2.17, 5.81, 0.21334084
sea-bool-base, 512, 0.22, 2.35, 5.34, 0.20254701
sea-bool-base, 512, 0.32, 2.87, 5.98, 0.23316821
sea-bool-base, 512, 0.28, 2.86, 5.89, 0.21042730
sea-bool-base, 512, 0.19, 1.99, 5.20, 0.20322779
sea-bool-base, 512, 0.16, 2.36, 4.86, 0.21915311
sea-bool-base, 512, 0.11, 1.90, 4.09, 0.19104595
sea-bool-base, 512, 0.23, 3.02, 6.07, 0.21232006
sea-bool-base, 512, 0.20, 2.23, 5.29, 0.20121659
sea-bool-base, 512, 0.21, 2.22, 5.21, 0.20634798
sea-bool-base, 512, 0.19, 2.18, 5.03, 0.20428964
sea-bool-base, 512, 0.11, 1.54, 3.46, 0.20042833
sea-bool-base, 512, 0.15, 1.95, 4.96, 0.21404444
sea-bool-base, 512, 0.12, 1.65, 3.88, 0.19019453
sea-bool-base, 512, 0.42, 3.70, 7.39, 0.25000502
sea-bool-base, 1024, 1.01, 5.97, 14.77, 0.46062766
sea-bool-base, 1024, 0.75, 5.37, 12.95, 0.46463333
sea-bool-base, 1024, 0.45, 4.78, 11.64, 0.43036843
sea-bool-base, 1024, 0.28, 4.26, 9.46, 0.37063334
sea-bool-base, 1024, 0.37, 3.93, 10.63, 0.41531279
sea-bool-base, 1024, 0.42, 4.63, 10.71, 0.40394444
sea-bool-base, 1024, 0.41, 4.41, 10.37, 0.42260935
sea-bool-base, 1024, 0.28, 3.77, 9.60, 0.36559242
sea-bool-base, 1024, 0.27, 4.31, 9.24, 0.36705630
sea-bool-base, 1024, 0.28, 4.26, 9.27, 0.37569566
