Platform,size,RAM,Core,Psys,seconds
sea-string-hiff, 512, 0.37, 6.20, 14.24, 0.52175027
sea-string-hiff, 512, 0.36, 7.54, 14.54, 0.51312384
sea-string-hiff, 512, 0.37, 7.11, 13.83, 0.53865795
sea-string-hiff, 512, 0.37, 7.50, 14.13, 0.51869962
sea-string-hiff, 512, 0.37, 6.98, 14.58, 0.51965483
sea-string-hiff, 512, 0.43, 7.83, 16.18, 0.55455879
sea-string-hiff, 512, 0.37, 7.32, 13.63, 0.54188652
sea-string-hiff, 512, 0.37, 7.67, 14.38, 0.52058224
sea-string-hiff, 512, 0.39, 6.73, 14.66, 0.52663076
sea-string-hiff, 512, 0.37, 6.39, 14.52, 0.51134143
sea-string-hiff, 512, 0.37, 6.92, 13.99, 0.52223946
sea-string-hiff, 512, 0.56, 7.60, 15.74, 0.55637401
sea-string-hiff, 512, 0.37, 6.78, 14.38, 0.52194087
sea-string-hiff, 512, 0.37, 6.50, 14.35, 0.53461677
sea-string-hiff, 512, 0.36, 7.76, 14.13, 0.54877169
sea-string-hiff, 512, 0.37, 6.40, 14.37, 0.53325756
sea-string-hiff, 512, 0.36, 7.43, 14.27, 0.52099859
sea-string-hiff, 512, 0.37, 7.34, 14.32, 0.51592988
sea-string-hiff, 512, 0.37, 6.33, 14.53, 0.52475366
sea-string-hiff, 512, 0.36, 7.35, 14.71, 0.52139537
sea-string-hiff, 512, 0.37, 6.62, 13.88, 0.52649844
sea-string-hiff, 512, 0.37, 7.27, 14.51, 0.51157077
sea-string-hiff, 512, 0.42, 7.22, 14.25, 0.53625288
sea-string-hiff, 512, 0.36, 7.13, 14.26, 0.51717319
sea-string-hiff, 512, 0.58, 8.93, 16.58, 0.56257408
sea-string-hiff, 512, 0.41, 7.94, 14.84, 0.55175828
sea-string-hiff, 512, 0.39, 7.00, 14.01, 0.53622543
sea-string-hiff, 512, 0.37, 7.21, 14.84, 0.51879686
sea-string-hiff, 512, 0.37, 7.12, 14.43, 0.52576502
sea-string-hiff, 512, 0.36, 6.32, 14.03, 0.52511795
sea-string-hiff, 1024, 0.79, 15.08, 31.75, 1.10757979
sea-string-hiff, 1024, 0.92, 18.87, 34.61, 1.16356466
sea-string-hiff, 1024, 0.77, 15.94, 31.16, 1.11529341
sea-string-hiff, 1024, 0.92, 16.44, 31.60, 1.13498427
sea-string-hiff, 1024, 0.73, 14.22, 30.30, 1.09201333
sea-string-hiff, 1024, 0.85, 18.67, 33.51, 1.15834548
sea-string-hiff, 1024, 0.80, 15.70, 31.74, 1.10760985
sea-string-hiff, 1024, 0.78, 15.84, 31.75, 1.10897789
sea-string-hiff, 1024, 0.93, 16.30, 31.54, 1.13451296
sea-string-hiff, 1024, 0.81, 15.41, 32.48, 1.14745974
sea-string-hiff, 1024, 0.98, 14.99, 32.49, 1.15154429
sea-string-hiff, 1024, 0.90, 14.45, 31.87, 1.14993588
sea-string-hiff, 1024, 0.77, 15.66, 31.41, 1.12480647
sea-string-hiff, 1024, 0.75, 14.40, 30.89, 1.13065237
sea-string-hiff, 1024, 1.05, 17.12, 33.73, 1.18243638
sea-string-hiff, 1024, 0.77, 15.86, 31.65, 1.10926881
sea-string-hiff, 1024, 0.77, 15.75, 31.33, 1.11037181
sea-string-hiff, 1024, 0.77, 13.66, 30.10, 1.14597320
sea-string-hiff, 1024, 0.84, 14.71, 31.60, 1.18527011
sea-string-hiff, 1024, 0.81, 13.76, 31.06, 1.15957827
sea-string-hiff, 1024, 0.96, 14.56, 31.30, 1.19390288
sea-string-hiff, 1024, 0.77, 13.32, 30.15, 1.12780721
sea-string-hiff, 1024, 0.84, 14.13, 32.85, 1.16224615
sea-string-hiff, 1024, 0.84, 14.71, 32.13, 1.16714993
sea-string-hiff, 1024, 0.78, 16.00, 31.17, 1.10361785
sea-string-hiff, 1024, 0.79, 14.23, 31.52, 1.11362185
sea-string-hiff, 1024, 0.92, 15.76, 31.62, 1.14451964
sea-string-hiff, 1024, 0.85, 15.67, 33.75, 1.16209214
sea-string-hiff, 1024, 0.77, 15.45, 31.86, 1.10677860
sea-string-hiff, 1024, 0.78, 16.04, 32.57, 1.11981285
sea-string-hiff, 2048, 1.72, 35.73, 70.01, 2.41594114
sea-string-hiff, 2048, 1.94, 26.14, 63.03, 2.63295065
sea-string-hiff, 2048, 1.90, 23.38, 60.67, 2.79090997
sea-string-hiff, 2048, 2.26, 25.99, 66.31, 2.99497713
sea-string-hiff, 2048, 1.95, 22.46, 60.95, 2.82567241
sea-string-hiff, 2048, 1.83, 24.40, 59.23, 2.71169993
sea-string-hiff, 2048, 2.09, 24.30, 62.94, 2.83023039
sea-string-hiff, 2048, 1.84, 23.45, 59.78, 2.70654208
sea-string-hiff, 2048, 2.31, 25.46, 65.89, 2.93122736
sea-string-hiff, 2048, 1.90, 23.17, 60.67, 2.73063494
sea-string-hiff, 2048, 2.05, 25.22, 63.40, 2.92204561
sea-string-hiff, 2048, 2.06, 23.40, 61.12, 2.80083061
sea-string-hiff, 2048, 1.85, 24.20, 59.71, 2.70847667
sea-string-hiff, 2048, 2.38, 26.17, 65.21, 2.91281547
sea-string-hiff, 2048, 1.84, 23.66, 59.98, 2.71083279
sea-string-hiff, 2048, 1.93, 22.91, 61.23, 2.75536325
sea-string-hiff, 2048, 1.99, 23.95, 60.04, 2.74810192
sea-string-hiff, 2048, 1.83, 24.71, 59.57, 2.75004560
sea-string-hiff, 2048, 2.04, 24.37, 61.71, 2.78001351
sea-string-hiff, 2048, 1.94, 23.71, 61.05, 2.78304755
sea-string-hiff, 2048, 1.86, 22.83, 60.78, 2.72087892
sea-string-hiff, 2048, 2.03, 23.43, 59.93, 2.79950199
sea-string-hiff, 2048, 1.94, 24.82, 61.46, 2.77694892
sea-string-hiff, 2048, 2.02, 24.73, 60.69, 2.75737220
sea-string-hiff, 2048, 1.91, 25.70, 61.56, 2.77290683
sea-string-hiff, 2048, 1.89, 23.24, 60.61, 2.71691936
sea-string-hiff, 2048, 2.09, 26.44, 62.67, 2.81007374
sea-string-hiff, 2048, 1.79, 22.87, 58.87, 2.68010086
sea-string-hiff, 2048, 2.05, 23.95, 61.64, 2.80330091
sea-string-hiff, 2048, 1.84, 22.98, 59.57, 2.70552113
