Platform,size,RAM,Core,Psys,seconds
sea-string-ops, 512, 0.14, 2.28, 4.42, 0.19308766
sea-string-ops, 512, 0.13, 1.60, 4.23, 0.18760635
sea-string-ops, 512, 0.14, 2.53, 4.18, 0.18935125
sea-string-ops, 512, 0.13, 2.05, 4.23, 0.18910628
sea-string-ops, 512, 0.13, 1.63, 4.15, 0.18667457
sea-string-ops, 512, 0.14, 1.82, 4.13, 0.19689727
sea-string-ops, 512, 0.13, 1.94, 4.23, 0.18781135
sea-string-ops, 512, 0.13, 2.34, 4.30, 0.18526870
sea-string-ops, 512, 0.14, 1.96, 4.45, 0.18454457
sea-string-ops, 512, 0.13, 1.75, 4.13, 0.18846950
sea-string-ops, 512, 0.20, 2.52, 5.75, 0.21452865
sea-string-ops, 512, 0.14, 1.52, 3.92, 0.19452128
sea-string-ops, 512, 0.13, 1.99, 4.18, 0.18544431
sea-string-ops, 512, 0.13, 1.30, 4.14, 0.18892813
sea-string-ops, 512, 0.13, 1.39, 4.26, 0.18881956
sea-string-ops, 512, 0.13, 1.71, 4.26, 0.18994880
sea-string-ops, 512, 0.13, 1.88, 4.11, 0.18598329
sea-string-ops, 512, 0.14, 1.76, 4.07, 0.19083737
sea-string-ops, 512, 0.13, 1.61, 4.16, 0.18722136
sea-string-ops, 512, 0.15, 2.06, 4.38, 0.18422928
sea-string-ops, 512, 0.14, 2.18, 4.25, 0.18630700
sea-string-ops, 512, 0.13, 2.13, 4.31, 0.18399021
sea-string-ops, 512, 0.13, 2.12, 4.24, 0.18686775
sea-string-ops, 512, 0.13, 1.64, 4.51, 0.18769237
sea-string-ops, 512, 0.13, 1.75, 4.22, 0.18533883
sea-string-ops, 512, 0.14, 1.67, 4.54, 0.18735095
sea-string-ops, 512, 0.13, 1.61, 4.34, 0.19123909
sea-string-ops, 512, 0.13, 2.27, 4.24, 0.19186538
sea-string-ops, 512, 0.13, 2.08, 4.26, 0.18394409
sea-string-ops, 512, 0.18, 3.18, 5.84, 0.20110489
sea-string-ops, 1024, 0.48, 4.70, 10.63, 0.42516860
sea-string-ops, 1024, 0.26, 4.18, 9.58, 0.36530980
sea-string-ops, 1024, 0.38, 5.88, 11.83, 0.44457958
sea-string-ops, 1024, 0.30, 5.18, 10.10, 0.37973621
sea-string-ops, 1024, 0.27, 4.91, 9.68, 0.38176667
sea-string-ops, 1024, 0.33, 7.97, 12.44, 0.38474909
sea-string-ops, 1024, 0.27, 4.83, 9.79, 0.36713656
sea-string-ops, 1024, 0.27, 4.89, 9.82, 0.36451477
sea-string-ops, 1024, 0.26, 4.29, 9.67, 0.36485888
sea-string-ops, 1024, 0.28, 4.32, 10.16, 0.36815544
sea-string-ops, 1024, 0.27, 3.98, 9.68, 0.37203086
sea-string-ops, 1024, 0.26, 4.95, 9.93, 0.36410662
sea-string-ops, 1024, 0.28, 3.89, 9.66, 0.37924518
sea-string-ops, 1024, 0.26, 4.46, 9.55, 0.36712400
sea-string-ops, 1024, 0.26, 4.44, 8.93, 0.39775545
sea-string-ops, 1024, 0.32, 5.28, 10.18, 0.39835890
sea-string-ops, 1024, 0.26, 4.06, 9.56, 0.37344560
sea-string-ops, 1024, 0.47, 5.45, 11.22, 0.40302707
sea-string-ops, 1024, 0.27, 4.67, 9.59, 0.37018138
sea-string-ops, 1024, 0.29, 4.38, 9.37, 0.39270028
sea-string-ops, 1024, 0.26, 3.84, 9.76, 0.37347407
sea-string-ops, 1024, 0.27, 4.81, 9.36, 0.37598233
sea-string-ops, 1024, 0.27, 3.96, 9.17, 0.38391371
sea-string-ops, 1024, 0.26, 4.29, 9.33, 0.37313532
sea-string-ops, 1024, 0.31, 4.61, 10.71, 0.40800209
sea-string-ops, 1024, 0.26, 4.78, 9.41, 0.37022729
sea-string-ops, 1024, 0.36, 5.88, 11.51, 0.40118685
sea-string-ops, 1024, 0.28, 4.44, 8.99, 0.39849194
sea-string-ops, 1024, 0.27, 4.45, 9.34, 0.38277619
sea-string-ops, 1024, 0.27, 4.70, 9.80, 0.37353252
sea-string-ops, 2048, 0.52, 9.42, 19.51, 0.72830324
sea-string-ops, 2048, 0.53, 9.57, 19.54, 0.73883148
sea-string-ops, 2048, 0.63, 8.73, 19.70, 0.74827654
sea-string-ops, 2048, 0.53, 9.56, 20.05, 0.72429192
sea-string-ops, 2048, 0.52, 9.05, 19.95, 0.72783775
sea-string-ops, 2048, 0.59, 11.05, 21.01, 0.74629860
sea-string-ops, 2048, 0.54, 9.37, 19.76, 0.73510430
sea-string-ops, 2048, 0.52, 9.09, 19.94, 0.72168356
sea-string-ops, 2048, 0.52, 9.93, 19.68, 0.71666456
sea-string-ops, 2048, 0.52, 9.63, 19.53, 0.73648318
sea-string-ops, 2048, 0.59, 10.56, 22.16, 0.80220660
sea-string-ops, 2048, 0.79, 11.08, 22.64, 0.80487566
sea-string-ops, 2048, 0.59, 9.67, 21.32, 0.75812159
sea-string-ops, 2048, 0.51, 8.88, 19.45, 0.74626549
sea-string-ops, 2048, 0.51, 8.82, 19.55, 0.72892449
sea-string-ops, 2048, 0.51, 9.36, 19.66, 0.73293243
sea-string-ops, 2048, 0.53, 10.33, 20.11, 0.74024941
sea-string-ops, 2048, 0.51, 10.03, 19.70, 0.72956542
sea-string-ops, 2048, 0.58, 9.72, 21.65, 0.78399169
sea-string-ops, 2048, 0.53, 8.87, 19.87, 0.72320627
sea-string-ops, 2048, 0.71, 9.38, 21.30, 0.75555427
sea-string-ops, 2048, 0.51, 9.13, 19.21, 0.73885794
sea-string-ops, 2048, 0.52, 9.91, 19.51, 0.71939800
sea-string-ops, 2048, 0.51, 8.42, 19.61, 0.73998609
sea-string-ops, 2048, 0.59, 9.69, 20.55, 0.75781791
sea-string-ops, 2048, 0.57, 8.60, 20.30, 0.75443750
sea-string-ops, 2048, 0.52, 8.48, 18.76, 0.73730258
sea-string-ops, 2048, 0.51, 8.16, 18.71, 0.74465998
sea-string-ops, 2048, 0.57, 10.11, 21.51, 0.82957829
sea-string-ops, 2048, 0.70, 8.83, 20.76, 0.78394745
