Platform,size,RAM,Cores,PSys,seconds
sea25-bool-base, 512, 0.41, 3.12, 6.35, 0.26989337
sea25-bool-base, 512, 0.21, 2.51, 5.28, 0.22428998
sea25-bool-base, 512, 0.22, 2.83, 5.65, 0.21878692
sea25-bool-base, 512, 0.22, 2.62, 5.14, 0.22133747
sea25-bool-base, 512, 0.22, 2.90, 5.15, 0.22088535
sea25-bool-base, 512, 0.21, 3.74, 5.27, 0.21887274
sea25-bool-base, 512, 0.22, 3.42, 5.47, 0.21644206
sea25-bool-base, 512, 0.21, 2.77, 5.27, 0.21667990
sea25-bool-base, 512, 0.21, 3.25, 5.03, 0.22440732
sea25-bool-base, 512, 0.21, 2.43, 5.33, 0.22005640
sea25-bool-base, 512, 0.21, 2.78, 5.04, 0.22355948
sea25-bool-base, 512, 0.23, 2.97, 5.37, 0.21831494
sea25-bool-base, 512, 0.21, 2.24, 4.96, 0.22852939
sea25-bool-base, 512, 0.21, 2.39, 5.37, 0.21815892
sea25-bool-base, 512, 0.21, 3.25, 4.95, 0.22759933
sea25-bool-base, 512, 0.22, 2.80, 5.39, 0.21841071
sea25-bool-base, 512, 0.22, 2.64, 5.44, 0.21683301
sea25-bool-base, 512, 0.23, 2.48, 5.19, 0.22944369
sea25-bool-base, 512, 0.23, 2.70, 5.49, 0.21704204
sea25-bool-base, 512, 0.21, 2.61, 5.31, 0.21826124
sea25-bool-base, 512, 0.21, 2.35, 5.16, 0.22697188
sea25-bool-base, 512, 0.21, 2.83, 5.12, 0.22058024
sea25-bool-base, 512, 0.23, 2.94, 5.44, 0.23164873
sea25-bool-base, 512, 0.27, 2.08, 5.93, 0.25890302
sea25-bool-base, 512, 0.31, 3.35, 6.01, 0.25069899
sea25-bool-base, 512, 0.29, 2.92, 6.27, 0.25295577
sea25-bool-base, 512, 0.29, 2.81, 5.99, 0.25861620
sea25-bool-base, 512, 0.31, 2.31, 4.93, 0.24441148
sea25-bool-base, 512, 0.21, 2.90, 5.36, 0.21666665
sea25-bool-base, 512, 0.23, 2.57, 5.55, 0.21733970
sea25-bool-base, 1024, 0.28, 4.24, 7.62, 0.30993711
sea25-bool-base, 1024, 0.29, 3.64, 7.44, 0.31579626
sea25-bool-base, 1024, 0.28, 3.80, 7.80, 0.30902426
sea25-bool-base, 1024, 0.29, 3.92, 7.43, 0.31985984
sea25-bool-base, 1024, 0.29, 4.42, 7.78, 0.30749047
sea25-bool-base, 1024, 0.28, 4.65, 7.57, 0.31049390
sea25-bool-base, 1024, 0.30, 3.94, 7.75, 0.31280226
sea25-bool-base, 1024, 0.28, 4.14, 7.98, 0.30870157
sea25-bool-base, 1024, 0.29, 4.53, 7.94, 0.31003929
sea25-bool-base, 1024, 0.28, 3.90, 7.49, 0.31222044
sea25-bool-base, 1024, 0.28, 3.67, 7.61, 0.31038949
sea25-bool-base, 1024, 0.30, 4.80, 8.20, 0.30712258
sea25-bool-base, 1024, 0.27, 3.80, 7.07, 0.33873266
sea25-bool-base, 1024, 0.30, 4.33, 7.93, 0.30418468
sea25-bool-base, 1024, 0.28, 3.99, 7.75, 0.31521441
sea25-bool-base, 1024, 0.28, 4.03, 7.65, 0.31179222
sea25-bool-base, 1024, 0.29, 4.37, 7.71, 0.31171011
sea25-bool-base, 1024, 0.48, 4.84, 9.00, 0.35209526
sea25-bool-base, 1024, 0.30, 3.60, 7.61, 0.31841466
sea25-bool-base, 1024, 0.28, 3.62, 7.70, 0.30869126
sea25-bool-base, 1024, 0.29, 3.50, 7.81, 0.31320553
sea25-bool-base, 1024, 0.29, 4.26, 7.61, 0.31170485
sea25-bool-base, 1024, 0.28, 4.20, 7.93, 0.31215877
sea25-bool-base, 1024, 0.31, 4.17, 8.12, 0.31115514
sea25-bool-base, 1024, 0.29, 3.53, 7.95, 0.31250809
sea25-bool-base, 1024, 0.29, 3.75, 7.71, 0.31055259
sea25-bool-base, 1024, 0.28, 3.77, 7.52, 0.31444441
sea25-bool-base, 1024, 0.30, 4.32, 7.86, 0.30797851
sea25-bool-base, 1024, 0.28, 2.38, 7.49, 0.32274863
sea25-bool-base, 1024, 0.30, 3.93, 8.51, 0.30139059
sea25-bool-base, 2048, 0.38, 5.48, 11.34, 0.48841016
sea25-bool-base, 2048, 0.39, 6.58, 11.81, 0.47391188
sea25-bool-base, 2048, 0.38, 6.80, 11.85, 0.47672945
sea25-bool-base, 2048, 0.37, 6.02, 11.72, 0.47640120
sea25-bool-base, 2048, 0.57, 6.65, 13.51, 0.51721567
sea25-bool-base, 2048, 0.38, 6.14, 12.08, 0.47568173
sea25-bool-base, 2048, 0.39, 5.65, 11.60, 0.48240864
sea25-bool-base, 2048, 0.38, 5.73, 11.66, 0.47922349
sea25-bool-base, 2048, 0.39, 6.84, 12.12, 0.47576728
sea25-bool-base, 2048, 0.37, 5.52, 11.72, 0.47554638
sea25-bool-base, 2048, 0.38, 5.54, 11.88, 0.48108875
sea25-bool-base, 2048, 0.39, 6.21, 12.04, 0.47745390
sea25-bool-base, 2048, 0.39, 6.97, 11.92, 0.47564275
sea25-bool-base, 2048, 0.40, 6.33, 11.97, 0.47866183
sea25-bool-base, 2048, 0.37, 5.72, 11.55, 0.48019306
sea25-bool-base, 2048, 0.38, 6.56, 11.85, 0.48343439
sea25-bool-base, 2048, 0.38, 6.60, 11.83, 0.47746744
sea25-bool-base, 2048, 0.58, 6.84, 13.86, 0.51205392
sea25-bool-base, 2048, 0.38, 6.31, 11.73, 0.48317214
sea25-bool-base, 2048, 0.38, 6.75, 11.88, 0.47560270
sea25-bool-base, 2048, 0.38, 5.35, 11.99, 0.48221286
sea25-bool-base, 2048, 0.37, 5.41, 11.78, 0.48014248
sea25-bool-base, 2048, 0.37, 7.38, 11.88, 0.47538216
sea25-bool-base, 2048, 0.38, 5.94, 12.02, 0.47982517
sea25-bool-base, 2048, 0.39, 5.61, 11.85, 0.47604938
sea25-bool-base, 2048, 0.39, 5.98, 11.87, 0.47718616
sea25-bool-base, 2048, 0.38, 5.59, 12.12, 0.48061777
sea25-bool-base, 2048, 0.37, 5.86, 12.00, 0.48033541
sea25-bool-base, 2048, 0.38, 6.53, 11.97, 0.47864424
sea25-bool-base, 2048, 0.39, 6.79, 11.98, 0.47644503
