Platform,size,RAM,Cores,PSys,seconds
sea25-bool-ops, 512, 0.27, 4.16, 7.10, 0.28391396
sea25-bool-ops, 512, 0.27, 3.08, 7.15, 0.27948872
sea25-bool-ops, 512, 0.27, 3.29, 6.86, 0.27301835
sea25-bool-ops, 512, 0.27, 3.83, 6.76, 0.27448005
sea25-bool-ops, 512, 0.26, 3.69, 6.78, 0.26956655
sea25-bool-ops, 512, 0.51, 4.56, 8.30, 0.31461619
sea25-bool-ops, 512, 0.26, 3.58, 6.74, 0.27227717
sea25-bool-ops, 512, 0.27, 2.65, 6.78, 0.26980631
sea25-bool-ops, 512, 0.28, 3.34, 7.08, 0.26565109
sea25-bool-ops, 512, 0.27, 3.48, 6.73, 0.27458855
sea25-bool-ops, 512, 0.28, 4.05, 6.83, 0.27366815
sea25-bool-ops, 512, 0.26, 3.26, 6.82, 0.26988371
sea25-bool-ops, 512, 0.27, 3.47, 6.80, 0.27620386
sea25-bool-ops, 512, 0.27, 3.50, 6.84, 0.27390351
sea25-bool-ops, 512, 0.33, 3.68, 7.59, 0.30582717
sea25-bool-ops, 512, 0.26, 4.45, 7.13, 0.27168935
sea25-bool-ops, 512, 0.27, 2.91, 6.76, 0.27090557
sea25-bool-ops, 512, 0.25, 2.83, 6.25, 0.29721899
sea25-bool-ops, 512, 0.28, 3.70, 7.15, 0.26853617
sea25-bool-ops, 512, 0.27, 3.13, 6.96, 0.27459955
sea25-bool-ops, 512, 0.32, 4.44, 7.63, 0.28186430
sea25-bool-ops, 512, 0.30, 3.88, 7.02, 0.27828592
sea25-bool-ops, 512, 0.29, 4.47, 7.20, 0.26531791
sea25-bool-ops, 512, 0.28, 3.52, 7.06, 0.27341173
sea25-bool-ops, 512, 0.37, 3.50, 7.48, 0.28267244
sea25-bool-ops, 512, 0.34, 4.60, 7.79, 0.27461582
sea25-bool-ops, 512, 0.48, 4.67, 8.93, 0.30482155
sea25-bool-ops, 512, 0.45, 4.34, 8.31, 0.30798939
