Platform,size,RAM,Cores,PSys,seconds
sea25-hiff, 512, 0.92, 19.04, 33.08, 1.24464290
sea25-hiff, 512, 0.99, 21.37, 34.32, 1.23083708
sea25-hiff, 512, 0.86, 17.41, 32.78, 1.21573187
sea25-hiff, 512, 0.85, 17.77, 32.29, 1.22660653
sea25-hiff, 512, 0.85, 17.56, 33.34, 1.22346502
sea25-hiff, 512, 0.86, 18.78, 32.42, 1.20758925
sea25-hiff, 512, 1.27, 19.51, 35.25, 1.28087289
sea25-hiff, 512, 0.92, 18.48, 33.13, 1.21402281
sea25-hiff, 512, 1.28, 18.72, 34.59, 1.24233732
sea25-hiff, 512, 1.32, 20.23, 36.69, 1.22768864
sea25-hiff, 512, 0.97, 19.94, 33.44, 1.20968876
sea25-hiff, 512, 1.14, 21.87, 37.66, 1.21461244
sea25-hiff, 512, 1.50, 18.97, 36.21, 1.28624811
sea25-hiff, 512, 1.20, 20.86, 37.80, 1.21212198
sea25-hiff, 512, 0.89, 18.07, 31.93, 1.20027975
sea25-hiff, 512, 1.09, 20.82, 34.09, 1.19078168
sea25-hiff, 512, 1.08, 19.01, 34.50, 1.22934916
sea25-hiff, 512, 1.40, 19.34, 36.82, 1.20920283
sea25-hiff, 512, 1.11, 18.02, 34.35, 1.24297358
sea25-hiff, 512, 0.79, 17.43, 31.42, 1.19060210
sea25-hiff, 512, 0.94, 19.57, 33.51, 1.20671385
sea25-hiff, 512, 1.70, 19.64, 37.75, 1.26839800
sea25-hiff, 512, 0.97, 18.03, 32.64, 1.19490834
sea25-hiff, 512, 1.07, 19.76, 34.82, 1.19466888
sea25-hiff, 512, 0.78, 19.53, 31.75, 1.18437066
sea25-hiff, 512, 0.80, 18.36, 31.65, 1.19067556
sea25-hiff, 512, 0.99, 16.21, 32.36, 1.26480743
sea25-hiff, 512, 0.94, 12.86, 28.05, 1.44477204
sea25-hiff, 512, 1.52, 12.69, 31.59, 1.52416905
sea25-hiff, 512, 1.49, 11.60, 30.87, 1.62348779
sea25-hiff, 1024, 2.58, 28.60, 67.19, 3.29204084
sea25-hiff, 1024, 2.37, 26.66, 63.29, 3.22233818
sea25-hiff, 1024, 3.16, 28.13, 68.31, 3.26101161
sea25-hiff, 1024, 4.26, 26.65, 72.70, 3.57154791
sea25-hiff, 1024, 2.75, 26.12, 65.70, 3.28362498
sea25-hiff, 1024, 2.05, 26.51, 62.96, 3.11235246
