Platform,size,RAM,Cores,PSys,seconds
sea25-string-base, 512, 0.30, 4.79, 8.39, 0.32083089
sea25-string-base, 512, 0.31, 4.70, 9.06, 0.30745337
sea25-string-base, 512, 0.30, 5.06, 8.23, 0.31195753
sea25-string-base, 512, 0.30, 4.51, 8.38, 0.31040882
sea25-string-base, 512, 0.29, 3.59, 8.15, 0.31090954
sea25-string-base, 512, 0.29, 4.52, 8.21, 0.31123860
sea25-string-base, 512, 0.31, 4.36, 8.19, 0.31574594
sea25-string-base, 512, 0.29, 4.60, 8.06, 0.31233535
sea25-string-base, 512, 0.33, 5.97, 9.18, 0.32231117
sea25-string-base, 512, 0.32, 5.78, 9.57, 0.31044829
sea25-string-base, 512, 0.29, 5.07, 8.10, 0.31789973
sea25-string-base, 512, 0.31, 4.99, 8.43, 0.30755273
sea25-string-base, 512, 0.29, 4.62, 8.25, 0.31409699
sea25-string-base, 512, 0.30, 4.81, 8.48, 0.30604635
sea25-string-base, 512, 0.34, 4.58, 8.97, 0.35246122
sea25-string-base, 512, 0.30, 3.96, 8.06, 0.31868619
sea25-string-base, 512, 0.30, 4.64, 8.37, 0.31039083
sea25-string-base, 512, 0.50, 5.27, 9.67, 0.35778142
sea25-string-base, 512, 0.30, 4.82, 8.13, 0.31293902
sea25-string-base, 512, 0.29, 4.31, 7.72, 0.33015603
sea25-string-base, 512, 0.31, 5.56, 8.73, 0.30733420
sea25-string-base, 512, 0.31, 4.96, 8.38, 0.31455884
sea25-string-base, 512, 0.29, 4.30, 8.27, 0.31184656
sea25-string-base, 512, 0.31, 4.70, 8.27, 0.31668616
sea25-string-base, 512, 0.30, 4.45, 8.27, 0.32176999
sea25-string-base, 512, 0.31, 3.65, 8.01, 0.32224747
sea25-string-base, 512, 0.31, 4.14, 8.40, 0.31396601
sea25-string-base, 512, 0.31, 4.81, 8.02, 0.32853792
sea25-string-base, 512, 0.32, 4.46, 8.80, 0.31838486
sea25-string-base, 512, 0.30, 4.90, 8.49, 0.31391369
sea25-string-base, 1024, 0.36, 5.50, 11.20, 0.43940639
sea25-string-base, 1024, 0.37, 6.55, 11.83, 0.43645207
sea25-string-base, 1024, 0.36, 7.02, 11.39, 0.43653617
sea25-string-base, 1024, 0.35, 6.73, 11.37, 0.43668611
sea25-string-base, 1024, 0.36, 6.40, 11.38, 0.43628998
sea25-string-base, 1024, 0.54, 6.47, 13.15, 0.47598039
sea25-string-base, 1024, 0.38, 5.92, 11.35, 0.44605294
sea25-string-base, 1024, 0.37, 6.87, 11.29, 0.44504314
sea25-string-base, 1024, 0.38, 7.24, 11.36, 0.44586474
sea25-string-base, 1024, 0.38, 7.46, 11.62, 0.44928118
sea25-string-base, 1024, 0.36, 6.56, 11.36, 0.44456570
sea25-string-base, 1024, 0.36, 6.63, 11.61, 0.44680518
sea25-string-base, 1024, 0.39, 5.69, 11.51, 0.44303151
sea25-string-base, 1024, 0.35, 6.45, 11.54, 0.43480050
sea25-string-base, 1024, 0.35, 6.45, 11.42, 0.43621033
sea25-string-base, 1024, 0.35, 6.73, 11.53, 0.43381177
sea25-string-base, 1024, 0.35, 6.64, 11.48, 0.43901460
sea25-string-base, 1024, 0.35, 6.47, 11.46, 0.43410877
sea25-string-base, 1024, 0.35, 6.26, 11.67, 0.43644993
sea25-string-base, 1024, 0.35, 6.76, 11.48, 0.43517705
sea25-string-base, 1024, 0.57, 6.87, 13.14, 0.49044523
sea25-string-base, 1024, 0.36, 6.72, 11.71, 0.43714401
sea25-string-base, 1024, 0.36, 6.03, 12.08, 0.43185075
sea25-string-base, 1024, 0.35, 6.96, 11.49, 0.43932237
sea25-string-base, 1024, 0.35, 6.03, 11.62, 0.43590960
sea25-string-base, 1024, 0.35, 6.70, 11.60, 0.43761643
sea25-string-base, 1024, 0.35, 6.72, 11.55, 0.44039461
sea25-string-base, 1024, 0.36, 6.79, 11.98, 0.43535687
sea25-string-base, 1024, 0.36, 7.70, 11.73, 0.43454383
sea25-string-base, 1024, 0.36, 7.38, 12.03, 0.43572204
sea25-string-base, 2048, 0.50, 10.76, 18.69, 0.69322423
sea25-string-base, 2048, 0.51, 10.58, 18.93, 0.69345665
sea25-string-base, 2048, 0.70, 12.43, 20.67, 0.74240626
sea25-string-base, 2048, 0.56, 12.83, 19.40, 0.69354656
sea25-string-base, 2048, 0.53, 10.81, 19.06, 0.69767853
sea25-string-base, 2048, 0.65, 11.12, 20.87, 0.70605608
sea25-string-base, 2048, 0.60, 10.74, 20.56, 0.70542316
sea25-string-base, 2048, 0.60, 10.31, 20.29, 0.71408233
sea25-string-base, 2048, 0.58, 9.07, 19.18, 0.69929237
sea25-string-base, 2048, 0.61, 12.36, 20.48, 0.70604792
sea25-string-base, 2048, 0.62, 11.33, 20.67, 0.70824557
sea25-string-base, 2048, 0.64, 10.97, 20.64, 0.70232639
sea25-string-base, 2048, 0.63, 11.46, 20.40, 0.71198542
sea25-string-base, 2048, 0.55, 10.53, 19.75, 0.71001332
sea25-string-base, 2048, 0.56, 12.23, 20.35, 0.70518834
sea25-string-base, 2048, 0.56, 10.79, 20.05, 0.70470375
sea25-string-base, 2048, 0.55, 12.37, 20.34, 0.71286887
sea25-string-base, 2048, 0.50, 11.69, 19.02, 0.69850043
sea25-string-base, 2048, 0.60, 10.93, 20.58, 0.70303180
sea25-string-base, 2048, 0.84, 11.96, 21.70, 0.77111386
sea25-string-base, 2048, 0.65, 12.47, 21.21, 0.71405008
sea25-string-base, 2048, 0.71, 9.97, 20.77, 0.75391606
sea25-string-base, 2048, 0.67, 11.07, 20.22, 0.73275749
sea25-string-base, 2048, 0.57, 11.50, 20.81, 0.70171850
sea25-string-base, 2048, 0.57, 11.15, 19.96, 0.70616092
sea25-string-base, 2048, 0.53, 10.31, 19.14, 0.65423620
sea25-string-base, 2048, 0.56, 12.48, 20.11, 0.70600971
sea25-string-base, 2048, 0.59, 11.72, 20.46, 0.71718413
sea25-string-base, 2048, 0.65, 10.85, 20.30, 0.71744840
sea25-string-base, 2048, 0.56, 10.78, 20.04, 0.70692918
