Platform,size,RAM,Cores,PSys,seconds
sea25-string-ops, 512, 0.27, 3.74, 7.10, 0.27552598
sea25-string-ops, 512, 0.28, 3.49, 7.42, 0.26341611
sea25-string-ops, 512, 0.28, 4.32, 6.77, 0.27650859
sea25-string-ops, 512, 0.28, 3.78, 7.15, 0.26409612
sea25-string-ops, 512, 0.27, 3.26, 6.89, 0.26381640
sea25-string-ops, 512, 0.27, 3.96, 7.05, 0.26781646
sea25-string-ops, 512, 0.27, 4.37, 6.79, 0.26452155
sea25-string-ops, 512, 0.28, 4.24, 7.09, 0.26596915
sea25-string-ops, 512, 0.27, 3.89, 6.78, 0.26598778
sea25-string-ops, 512, 0.28, 4.01, 6.77, 0.27154572
sea25-string-ops, 512, 0.28, 3.73, 7.05, 0.27830644
sea25-string-ops, 512, 0.26, 2.48, 6.37, 0.30072913
sea25-string-ops, 512, 0.27, 3.30, 7.01, 0.26121544
sea25-string-ops, 512, 0.45, 3.88, 8.20, 0.31340814
sea25-string-ops, 512, 0.28, 3.28, 6.73, 0.27089387
sea25-string-ops, 512, 0.26, 3.70, 6.32, 0.28496889
sea25-string-ops, 512, 0.28, 3.43, 7.13, 0.26032731
sea25-string-ops, 512, 0.28, 3.30, 7.34, 0.26253236
sea25-string-ops, 512, 0.27, 3.88, 6.83, 0.26607663
sea25-string-ops, 512, 0.28, 3.09, 6.91, 0.26378145
sea25-string-ops, 512, 0.27, 3.76, 7.34, 0.26672373
sea25-string-ops, 512, 0.28, 4.38, 7.00, 0.26451194
sea25-string-ops, 512, 0.27, 3.09, 7.03, 0.26185216
sea25-string-ops, 512, 0.30, 3.67, 7.09, 0.27144064
sea25-string-ops, 512, 0.27, 3.90, 6.90, 0.26948582
sea25-string-ops, 512, 0.29, 3.74, 7.04, 0.26875751
sea25-string-ops, 512, 0.27, 3.65, 6.82, 0.27495092
sea25-string-ops, 512, 0.28, 3.87, 7.33, 0.26466887
sea25-string-ops, 512, 0.27, 3.70, 6.88, 0.26732411
sea25-string-ops, 512, 0.28, 4.28, 6.92, 0.26587088
sea25-string-ops, 1024, 0.38, 5.49, 10.99, 0.40087876
sea25-string-ops, 1024, 0.38, 5.36, 11.21, 0.40259153
sea25-string-ops, 1024, 0.32, 5.50, 9.75, 0.39862466
sea25-string-ops, 1024, 0.33, 4.88, 9.93, 0.39135010
sea25-string-ops, 1024, 0.48, 7.48, 11.48, 0.42066214
sea25-string-ops, 1024, 0.40, 5.99, 11.48, 0.40695592
sea25-string-ops, 1024, 0.39, 5.92, 10.95, 0.40472220
sea25-string-ops, 1024, 0.39, 6.20, 11.26, 0.42174624
sea25-string-ops, 1024, 0.38, 6.21, 11.31, 0.40141752
sea25-string-ops, 1024, 0.39, 7.26, 11.11, 0.41365734
sea25-string-ops, 1024, 0.40, 7.30, 11.63, 0.40154296
sea25-string-ops, 1024, 0.37, 4.77, 10.79, 0.43234920
sea25-string-ops, 1024, 0.39, 6.69, 11.68, 0.40125150
sea25-string-ops, 1024, 0.39, 6.29, 11.22, 0.40304890
sea25-string-ops, 1024, 0.31, 6.09, 9.94, 0.39310136
sea25-string-ops, 1024, 0.32, 6.47, 10.05, 0.39299312
sea25-string-ops, 1024, 0.33, 5.17, 10.07, 0.39133824
sea25-string-ops, 1024, 0.33, 5.78, 10.22, 0.39261364
sea25-string-ops, 1024, 0.49, 6.45, 11.73, 0.41793854
sea25-string-ops, 1024, 0.41, 5.68, 11.42, 0.40224383
sea25-string-ops, 1024, 0.32, 5.48, 9.95, 0.39469964
sea25-string-ops, 1024, 0.33, 5.62, 9.95, 0.39928621
sea25-string-ops, 1024, 0.32, 5.60, 10.20, 0.40045685
sea25-string-ops, 1024, 0.39, 5.73, 11.47, 0.40127962
sea25-string-ops, 1024, 0.41, 6.55, 12.12, 0.41156138
sea25-string-ops, 1024, 0.32, 5.75, 9.95, 0.40070997
sea25-string-ops, 1024, 0.31, 4.58, 10.02, 0.39542913
sea25-string-ops, 1024, 0.32, 6.27, 10.21, 0.39275901
sea25-string-ops, 1024, 0.33, 5.82, 10.08, 0.39245518
sea25-string-ops, 1024, 0.32, 5.33, 10.42, 0.38826609
sea25-string-ops, 2048, 0.56, 10.88, 19.15, 0.66075137
sea25-string-ops, 2048, 0.81, 12.08, 21.33, 0.71367737
sea25-string-ops, 2048, 0.55, 11.34, 18.81, 0.68580272
sea25-string-ops, 2048, 0.56, 9.80, 18.59, 0.66445604
sea25-string-ops, 2048, 0.57, 10.04, 19.04, 0.66686687
sea25-string-ops, 2048, 0.56, 10.86, 19.16, 0.66560929
sea25-string-ops, 2048, 0.56, 10.11, 19.09, 0.66210609
sea25-string-ops, 2048, 0.56, 10.05, 18.91, 0.65834319
sea25-string-ops, 2048, 0.55, 10.32, 18.53, 0.67751335
sea25-string-ops, 2048, 0.56, 10.15, 18.68, 0.66030902
sea25-string-ops, 2048, 0.74, 10.84, 19.92, 0.70505178
sea25-string-ops, 2048, 0.53, 10.18, 17.94, 0.69181888
sea25-string-ops, 2048, 0.57, 11.03, 19.25, 0.66283896
sea25-string-ops, 2048, 0.56, 12.06, 19.25, 0.66863894
sea25-string-ops, 2048, 0.56, 9.51, 18.55, 0.67031288
sea25-string-ops, 2048, 0.54, 10.63, 18.49, 0.66657179
sea25-string-ops, 2048, 0.55, 10.01, 18.62, 0.66424461
sea25-string-ops, 2048, 0.57, 10.31, 19.39, 0.66993824
sea25-string-ops, 2048, 0.57, 10.01, 18.93, 0.66266558
sea25-string-ops, 2048, 0.56, 11.19, 19.18, 0.66824007
sea25-string-ops, 2048, 0.75, 11.57, 19.98, 0.70492469
sea25-string-ops, 2048, 0.54, 10.50, 18.20, 0.68546763
sea25-string-ops, 2048, 0.56, 11.41, 18.83, 0.66220241
sea25-string-ops, 2048, 0.55, 9.37, 18.85, 0.66885184
sea25-string-ops, 2048, 0.55, 9.82, 18.87, 0.66305648
sea25-string-ops, 2048, 0.57, 10.14, 19.30, 0.66712657
sea25-string-ops, 2048, 0.53, 11.04, 18.77, 0.69529876
sea25-string-ops, 2048, 0.55, 10.05, 19.16, 0.66235186
sea25-string-ops, 2048, 0.56, 8.38, 19.42, 0.66019103
sea25-string-ops, 2048, 0.56, 10.74, 18.96, 0.66312919
