compiler;opt;std;program;length;work;run;energy;time
clang++;-O2;-std=c++17;bitset;512;g;00;9.36;0.335999142
clang++;-O2;-std=c++17;bitset;512;g;01;9.87;0.344986613
clang++;-O2;-std=c++17;bitset;512;g;02;10.23;0.329488399
clang++;-O2;-std=c++17;bitset;512;g;03;10.55;0.344549045
clang++;-O2;-std=c++17;bitset;512;g;04;10.21;0.321402463
clang++;-O2;-std=c++17;bitset;512;g;05;12.76;0.450069355
clang++;-O2;-std=c++17;bitset;512;g;06;12.74;0.448984658
clang++;-O2;-std=c++17;bitset;512;g;07;11.09;0.371247522
clang++;-O2;-std=c++17;bitset;512;g;08;11.69;0.386854459
clang++;-O2;-std=c++17;bitset;512;g;09;10.76;0.348149722
clang++;-O2;-std=c++17;bitset;512;g;10;10.38;0.334716927
clang++;-O2;-std=c++17;bitset;512;g;11;11.80;0.393010156
clang++;-O2;-std=c++17;bitset;512;g;12;12.24;0.420864475
clang++;-O2;-std=c++17;bitset;512;g;13;11.47;0.387202940
clang++;-O2;-std=c++17;bitset;512;g;14;11.53;0.393892116
clang++;-O2;-std=c++17;bitset;512;h;00;25.27;0.832500911
clang++;-O2;-std=c++17;bitset;512;h;01;23.48;0.835396740
clang++;-O2;-std=c++17;bitset;512;h;02;23.51;0.832843140
clang++;-O2;-std=c++17;bitset;512;h;03;23.43;0.832099771
clang++;-O2;-std=c++17;bitset;512;h;04;23.46;0.835896013
clang++;-O2;-std=c++17;bitset;512;h;05;23.71;0.837870752
clang++;-O2;-std=c++17;bitset;512;h;06;23.34;0.831337707
clang++;-O2;-std=c++17;bitset;512;h;07;23.39;0.832807343
clang++;-O2;-std=c++17;bitset;512;h;08;23.73;0.838860531
clang++;-O2;-std=c++17;bitset;512;h;09;23.69;0.836514669
clang++;-O2;-std=c++17;bitset;512;h;10;23.83;0.832472828
clang++;-O2;-std=c++17;bitset;512;h;11;23.56;0.832758892
clang++;-O2;-std=c++17;bitset;512;h;12;23.31;0.831799921
clang++;-O2;-std=c++17;bitset;512;h;13;23.41;0.831898956
clang++;-O2;-std=c++17;bitset;512;h;14;23.55;0.833771565
clang++;-O2;-std=c++17;bitset;512;i;00;5.05;0.189693369
clang++;-O2;-std=c++17;bitset;512;i;01;5.05;0.190234359
clang++;-O2;-std=c++17;bitset;512;i;02;5.08;0.190210836
clang++;-O2;-std=c++17;bitset;512;i;03;5.24;0.189875089
clang++;-O2;-std=c++17;bitset;512;i;04;5.12;0.189909894
clang++;-O2;-std=c++17;bitset;512;i;05;5.11;0.190384640
clang++;-O2;-std=c++17;bitset;512;i;06;5.04;0.190320691
clang++;-O2;-std=c++17;bitset;512;i;07;5.05;0.190302256
clang++;-O2;-std=c++17;bitset;512;i;08;5.08;0.189656710
clang++;-O2;-std=c++17;bitset;512;i;09;5.13;0.189926585
clang++;-O2;-std=c++17;bitset;512;i;10;5.10;0.190364312
clang++;-O2;-std=c++17;bitset;512;i;11;5.12;0.189882172
clang++;-O2;-std=c++17;bitset;512;i;12;5.03;0.189666349
clang++;-O2;-std=c++17;bitset;512;i;13;5.03;0.190329998
clang++;-O2;-std=c++17;bitset;512;i;14;5.07;0.190370413
clang++;-O2;-std=c++17;bitset;1024;g;00;15.59;0.563638651
clang++;-O2;-std=c++17;bitset;1024;g;01;16.77;0.568557721
clang++;-O2;-std=c++17;bitset;1024;g;02;16.80;0.567958973
clang++;-O2;-std=c++17;bitset;1024;g;03;16.74;0.564885961
clang++;-O2;-std=c++17;bitset;1024;g;04;16.91;0.567886887
clang++;-O2;-std=c++17;bitset;1024;g;05;17.21;0.574718099
clang++;-O2;-std=c++17;bitset;1024;g;06;17.02;0.571420409
clang++;-O2;-std=c++17;bitset;1024;g;07;17.02;0.569402439
clang++;-O2;-std=c++17;bitset;1024;g;08;16.90;0.565144864
clang++;-O2;-std=c++17;bitset;1024;g;09;17.86;0.569024753
clang++;-O2;-std=c++17;bitset;1024;g;10;16.83;0.568453476
clang++;-O2;-std=c++17;bitset;1024;g;11;16.81;0.561901306
clang++;-O2;-std=c++17;bitset;1024;g;12;16.85;0.567301235
clang++;-O2;-std=c++17;bitset;1024;g;13;16.95;0.565886069
clang++;-O2;-std=c++17;bitset;1024;g;14;16.61;0.558921578
clang++;-O2;-std=c++17;bitset;1024;h;00;53.12;1.837216767
clang++;-O2;-std=c++17;bitset;1024;h;01;51.98;1.834736103
clang++;-O2;-std=c++17;bitset;1024;h;02;52.62;1.843003177
clang++;-O2;-std=c++17;bitset;1024;h;03;52.50;1.850129421
clang++;-O2;-std=c++17;bitset;1024;h;04;52.76;1.854299271
clang++;-O2;-std=c++17;bitset;1024;h;05;51.83;1.839658258
clang++;-O2;-std=c++17;bitset;1024;h;06;52.28;1.845211362
clang++;-O2;-std=c++17;bitset;1024;h;07;52.26;1.847760224
