compiler;opt;std;program;length;work;run;energy;time
clang++;-O2;-std=c++17;bitset;512;g;00;10.68;0.336009599
clang++;-O2;-std=c++17;bitset;512;g;01;11.57;0.332342371
clang++;-O2;-std=c++17;bitset;512;g;02;11.58;0.337632287
clang++;-O2;-std=c++17;bitset;512;g;03;11.32;0.328354964
clang++;-O2;-std=c++17;bitset;512;g;04;11.55;0.335221309
clang++;-O2;-std=c++17;bitset;512;g;05;11.57;0.342101305
clang++;-O2;-std=c++17;bitset;512;g;06;11.30;0.330373402
clang++;-O2;-std=c++17;bitset;512;g;07;11.39;0.327389214
clang++;-O2;-std=c++17;bitset;512;g;08;11.67;0.341611205
clang++;-O2;-std=c++17;bitset;512;g;09;11.70;0.343977923
clang++;-O2;-std=c++17;bitset;512;g;10;11.42;0.328699893
clang++;-O2;-std=c++17;bitset;512;g;11;11.66;0.340121786
clang++;-O2;-std=c++17;bitset;512;g;12;11.96;0.331648732
clang++;-O2;-std=c++17;bitset;512;g;13;12.49;0.347058722
clang++;-O2;-std=c++17;bitset;512;g;14;12.78;0.342931464
clang++;-O2;-std=c++17;bitset;512;h;00;27.10;0.826945260
clang++;-O2;-std=c++17;bitset;512;h;01;26.28;0.827346879
clang++;-O2;-std=c++17;bitset;512;h;02;26.72;0.829322408
clang++;-O2;-std=c++17;bitset;512;h;03;25.80;0.825357001
clang++;-O2;-std=c++17;bitset;512;h;04;24.86;0.829945317
clang++;-O2;-std=c++17;bitset;512;h;05;24.48;0.823195652
clang++;-O2;-std=c++17;bitset;512;h;06;24.39;0.824569431
clang++;-O2;-std=c++17;bitset;512;h;07;24.60;0.823139002
clang++;-O2;-std=c++17;bitset;512;h;08;25.39;0.823292302
clang++;-O2;-std=c++17;bitset;512;h;09;24.68;0.824140922
clang++;-O2;-std=c++17;bitset;512;h;10;24.77;0.826088561
clang++;-O2;-std=c++17;bitset;512;h;11;24.38;0.823346242
clang++;-O2;-std=c++17;bitset;512;h;12;24.37;0.822814373
clang++;-O2;-std=c++17;bitset;512;h;13;24.36;0.823213202
clang++;-O2;-std=c++17;bitset;512;h;14;25.34;0.828624998
clang++;-O2;-std=c++17;bitset;512;i;00;6.09;0.204789841
clang++;-O2;-std=c++17;bitset;512;i;01;5.94;0.199927084
clang++;-O2;-std=c++17;bitset;512;i;02;5.93;0.199786114
clang++;-O2;-std=c++17;bitset;512;i;03;6.07;0.204407651
