compiler;opt;std;program;length;work;run;energy;time
clang++;-O2;-std=c++17;bitset;512;g;00;11.37;0.310363246
clang++;-O2;-std=c++17;bitset;512;g;01;12.64;0.309365873
clang++;-O2;-std=c++17;bitset;512;g;02;13.80;0.317128247
clang++;-O2;-std=c++17;bitset;512;g;03;13.52;0.312842970
clang++;-O2;-std=c++17;bitset;512;g;04;13.72;0.318238831
clang++;-O2;-std=c++17;bitset;512;g;05;13.56;0.307859709
clang++;-O2;-std=c++17;bitset;512;g;06;13.71;0.324496614
clang++;-O2;-std=c++17;bitset;512;g;07;13.47;0.312395403
clang++;-O2;-std=c++17;bitset;512;g;08;13.34;0.313367309
clang++;-O2;-std=c++17;bitset;512;g;09;13.10;0.304880061
clang++;-O2;-std=c++17;bitset;512;g;10;13.36;0.307991334
clang++;-O2;-std=c++17;bitset;512;g;11;13.71;0.316979639
clang++;-O2;-std=c++17;bitset;512;g;12;13.91;0.311638949
clang++;-O2;-std=c++17;bitset;512;g;13;13.31;0.303916561
clang++;-O2;-std=c++17;bitset;512;g;14;13.47;0.306572113
clang++;-O2;-std=c++17;bitset;512;h;00;30.08;0.774049022
clang++;-O2;-std=c++17;bitset;512;h;01;26.10;0.773927575
clang++;-O2;-std=c++17;bitset;512;h;02;26.30;0.768508709
clang++;-O2;-std=c++17;bitset;512;h;03;25.81;0.772159090
clang++;-O2;-std=c++17;bitset;512;h;04;25.90;0.766359754
clang++;-O2;-std=c++17;bitset;512;h;05;25.92;0.768598247
clang++;-O2;-std=c++17;bitset;512;h;06;26.00;0.774039103
clang++;-O2;-std=c++17;bitset;512;h;07;25.62;0.766660817
clang++;-O2;-std=c++17;bitset;512;h;08;25.62;0.767711490
clang++;-O2;-std=c++17;bitset;512;h;09;26.39;0.772677749
clang++;-O2;-std=c++17;bitset;512;h;10;25.87;0.772205908
clang++;-O2;-std=c++17;bitset;512;h;11;26.32;0.762091218
clang++;-O2;-std=c++17;bitset;512;h;12;25.95;0.769141612
clang++;-O2;-std=c++17;bitset;512;h;13;26.93;0.767702293
clang++;-O2;-std=c++17;bitset;512;h;14;26.59;0.765624891
clang++;-O2;-std=c++17;bitset;512;i;00;6.01;0.183694098
clang++;-O2;-std=c++17;bitset;512;i;01;6.49;0.187995756
clang++;-O2;-std=c++17;bitset;512;i;02;6.50;0.186972804
