compiler;opt;std;program;length;work;energy;time
clang++;-O2;-std=c++17;bitset;512;g;5.82;0.201150481
clang++;-O2;-std=c++17;bitset;512;g;5.80;0.201323905
clang++;-O2;-std=c++17;bitset;512;g;5.83;0.201101029
clang++;-O2;-std=c++17;bitset;512;g;5.83;0.201224299
clang++;-O2;-std=c++17;bitset;512;g;5.84;0.201105437
clang++;-O2;-std=c++17;bitset;512;g;5.83;0.201308978
clang++;-O2;-std=c++17;bitset;512;g;5.85;0.201051266
clang++;-O2;-std=c++17;bitset;512;g;5.92;0.201649204
clang++;-O2;-std=c++17;bitset;512;g;5.84;0.201251099
clang++;-O2;-std=c++17;bitset;512;g;5.84;0.201098564
clang++;-O2;-std=c++17;bitset;512;g;5.85;0.201293349
clang++;-O2;-std=c++17;bitset;512;g;5.88;0.201287337
clang++;-O2;-std=c++17;bitset;512;g;5.86;0.201439571
clang++;-O2;-std=c++17;bitset;512;g;5.84;0.200922765
clang++;-O2;-std=c++17;bitset;512;g;5.86;0.201086021
clang++;-O2;-std=c++17;bitset;512;h;25.69;0.854783222
clang++;-O2;-std=c++17;bitset;512;h;25.73;0.857514387
clang++;-O2;-std=c++17;bitset;512;h;25.38;0.853782751
clang++;-O2;-std=c++17;bitset;512;h;25.59;0.852224047
clang++;-O2;-std=c++17;bitset;512;h;25.76;0.857043066
clang++;-O2;-std=c++17;bitset;512;h;25.83;0.860797245
clang++;-O2;-std=c++17;bitset;512;h;25.73;0.852508027
clang++;-O2;-std=c++17;bitset;512;h;25.91;0.862183747
clang++;-O2;-std=c++17;bitset;512;h;25.64;0.859364186
clang++;-O2;-std=c++17;bitset;512;h;25.54;0.855289027
clang++;-O2;-std=c++17;bitset;512;h;25.82;0.861057171
clang++;-O2;-std=c++17;bitset;512;h;25.56;0.854263219
clang++;-O2;-std=c++17;bitset;512;h;25.61;0.854426014
clang++;-O2;-std=c++17;bitset;512;h;25.59;0.854500733
clang++;-O2;-std=c++17;bitset;512;h;26.50;0.856929213
clang++;-O2;-std=c++17;bitset;512;i;5.55;0.192100672
clang++;-O2;-std=c++17;bitset;512;i;5.47;0.191223642
clang++;-O2;-std=c++17;bitset;512;i;5.55;0.191159993
clang++;-O2;-std=c++17;bitset;512;i;5.55;0.191505319
clang++;-O2;-std=c++17;bitset;512;i;5.52;0.191696647
clang++;-O2;-std=c++17;bitset;512;i;5.50;0.191734066
clang++;-O2;-std=c++17;bitset;512;i;5.67;0.191890399
clang++;-O2;-std=c++17;bitset;512;i;5.54;0.191445728
clang++;-O2;-std=c++17;bitset;512;i;5.57;0.191507313
clang++;-O2;-std=c++17;bitset;512;i;5.45;0.191181524
clang++;-O2;-std=c++17;bitset;512;i;5.55;0.191488056
clang++;-O2;-std=c++17;bitset;512;i;5.55;0.191735960
clang++;-O2;-std=c++17;bitset;512;i;5.49;0.191384383
clang++;-O2;-std=c++17;bitset;512;i;5.56;0.191294014
clang++;-O2;-std=c++17;bitset;512;i;5.67;0.191326304
clang++;-O2;-std=c++17;bitset;1024;g;11.58;0.399448549
clang++;-O2;-std=c++17;bitset;1024;g;11.59;0.398418294
clang++;-O2;-std=c++17;bitset;1024;g;11.50;0.398417923
clang++;-O2;-std=c++17;bitset;1024;g;11.52;0.398355376
clang++;-O2;-std=c++17;bitset;1024;g;11.63;0.398587029
clang++;-O2;-std=c++17;bitset;1024;g;11.52;0.399190858
clang++;-O2;-std=c++17;bitset;1024;g;11.69;0.398849880
clang++;-O2;-std=c++17;bitset;1024;g;11.63;0.398321553
clang++;-O2;-std=c++17;bitset;1024;g;11.45;0.398391984
clang++;-O2;-std=c++17;bitset;1024;g;11.51;0.398638054
clang++;-O2;-std=c++17;bitset;1024;g;11.44;0.399366246
clang++;-O2;-std=c++17;bitset;1024;g;11.44;0.398136417
clang++;-O2;-std=c++17;bitset;1024;g;11.40;0.398025299
clang++;-O2;-std=c++17;bitset;1024;g;11.55;0.398153048
clang++;-O2;-std=c++17;bitset;1024;g;11.52;0.398804816
clang++;-O2;-std=c++17;bitset;1024;h;56.94;1.896964934
clang++;-O2;-std=c++17;bitset;1024;h;56.91;1.884669557
clang++;-O2;-std=c++17;bitset;1024;h;56.71;1.907934551
clang++;-O2;-std=c++17;bitset;1024;h;56.46;1.884105452
clang++;-O2;-std=c++17;bitset;1024;h;56.53;1.888237699
clang++;-O2;-std=c++17;bitset;1024;h;57.23;1.902096508
clang++;-O2;-std=c++17;bitset;1024;h;56.75;1.896868324
clang++;-O2;-std=c++17;bitset;1024;h;56.42;1.885343738
clang++;-O2;-std=c++17;bitset;1024;h;56.92;1.895794035
clang++;-O2;-std=c++17;bitset;1024;h;56.39;1.888556414
clang++;-O2;-std=c++17;bitset;1024;h;57.25;1.905593084
clang++;-O2;-std=c++17;bitset;1024;h;56.97;1.888632586
