compiler;opt;std;program;length;work;energy;time
clang++;-O2;-std=c++17;bitset;512;g;5.91;0.164871893
clang++;-O2;-std=c++17;bitset;512;g;6.00;0.164342082
clang++;-O2;-std=c++17;bitset;512;g;5.69;0.163778560
clang++;-O2;-std=c++17;bitset;512;g;5.62;0.163349858
clang++;-O2;-std=c++17;bitset;512;g;5.81;0.162379746
clang++;-O2;-std=c++17;bitset;512;g;5.89;0.161652407
clang++;-O2;-std=c++17;bitset;512;g;5.80;0.165252924
clang++;-O2;-std=c++17;bitset;512;g;5.84;0.163929622
clang++;-O2;-std=c++17;bitset;512;g;5.75;0.163831478
clang++;-O2;-std=c++17;bitset;512;g;5.72;0.163159723
clang++;-O2;-std=c++17;bitset;512;g;5.99;0.163449225
clang++;-O2;-std=c++17;bitset;512;g;5.65;0.161998353
clang++;-O2;-std=c++17;bitset;512;g;5.82;0.164516148
clang++;-O2;-std=c++17;bitset;512;g;5.84;0.162286862
clang++;-O2;-std=c++17;bitset;512;g;5.70;0.162116784
clang++;-O2;-std=c++17;bitset;512;h;25.81;0.740561481
clang++;-O2;-std=c++17;bitset;512;h;26.11;0.744917771
clang++;-O2;-std=c++17;bitset;512;h;25.56;0.743437394
clang++;-O2;-std=c++17;bitset;512;h;25.41;0.748496858
clang++;-O2;-std=c++17;bitset;512;h;25.27;0.752238519
clang++;-O2;-std=c++17;bitset;512;h;25.32;0.747892259
clang++;-O2;-std=c++17;bitset;512;h;25.41;0.740474698
clang++;-O2;-std=c++17;bitset;512;h;26.29;0.744360158
clang++;-O2;-std=c++17;bitset;512;h;26.72;0.741935257
clang++;-O2;-std=c++17;bitset;512;h;25.52;0.756564783
clang++;-O2;-std=c++17;bitset;512;h;25.48;0.736402689
clang++;-O2;-std=c++17;bitset;512;h;25.90;0.755386361
clang++;-O2;-std=c++17;bitset;512;h;25.17;0.751614053
clang++;-O2;-std=c++17;bitset;512;h;25.26;0.752090363
clang++;-O2;-std=c++17;bitset;512;h;25.40;0.741137887
clang++;-O2;-std=c++17;bitset;512;i;5.19;0.154574702
clang++;-O2;-std=c++17;bitset;512;i;5.45;0.156832651
clang++;-O2;-std=c++17;bitset;512;i;5.60;0.154534115
clang++;-O2;-std=c++17;bitset;512;i;5.50;0.152450893
clang++;-O2;-std=c++17;bitset;512;i;5.43;0.156098168
clang++;-O2;-std=c++17;bitset;512;i;5.17;0.152623806
clang++;-O2;-std=c++17;bitset;512;i;5.77;0.156089742
clang++;-O2;-std=c++17;bitset;512;i;5.42;0.155169743
clang++;-O2;-std=c++17;bitset;512;i;5.40;0.155179311
clang++;-O2;-std=c++17;bitset;512;i;5.20;0.153940607
clang++;-O2;-std=c++17;bitset;512;i;5.17;0.154304026
clang++;-O2;-std=c++17;bitset;512;i;5.40;0.153605601
clang++;-O2;-std=c++17;bitset;512;i;5.22;0.155065439
clang++;-O2;-std=c++17;bitset;512;i;5.34;0.154722528
clang++;-O2;-std=c++17;bitset;512;i;5.31;0.152808561
clang++;-O2;-std=c++17;bitset;1024;g;10.83;0.320050883
clang++;-O2;-std=c++17;bitset;1024;g;10.35;0.319195234
clang++;-O2;-std=c++17;bitset;1024;g;10.45;0.318939897
clang++;-O2;-std=c++17;bitset;1024;g;10.92;0.324100320
clang++;-O2;-std=c++17;bitset;1024;g;11.00;0.320224627
clang++;-O2;-std=c++17;bitset;1024;g;11.07;0.318181951
clang++;-O2;-std=c++17;bitset;1024;g;10.60;0.318173826
clang++;-O2;-std=c++17;bitset;1024;g;10.85;0.326291324
clang++;-O2;-std=c++17;bitset;1024;g;10.94;0.325994519
clang++;-O2;-std=c++17;bitset;1024;g;11.11;0.324970756
clang++;-O2;-std=c++17;bitset;1024;g;10.58;0.322772749
clang++;-O2;-std=c++17;bitset;1024;g;10.29;0.322376598
clang++;-O2;-std=c++17;bitset;1024;g;10.85;0.319757354
clang++;-O2;-std=c++17;bitset;1024;g;11.14;0.318866299
clang++;-O2;-std=c++17;bitset;1024;g;10.95;0.327151851
clang++;-O2;-std=c++17;bitset;1024;h;54.76;1.609770546
clang++;-O2;-std=c++17;bitset;1024;h;54.78;1.621381371
clang++;-O2;-std=c++17;bitset;1024;h;54.56;1.633746085
clang++;-O2;-std=c++17;bitset;1024;h;54.10;1.635965272
clang++;-O2;-std=c++17;bitset;1024;h;53.89;1.640842596
clang++;-O2;-std=c++17;bitset;1024;h;55.43;1.636113620
clang++;-O2;-std=c++17;bitset;1024;h;54.59;1.636002752
clang++;-O2;-std=c++17;bitset;1024;h;54.13;1.619059743
clang++;-O2;-std=c++17;bitset;1024;h;54.52;1.629075428
clang++;-O2;-std=c++17;bitset;1024;h;54.60;1.624459273
clang++;-O2;-std=c++17;bitset;1024;h;54.56;1.635049642
clang++;-O2;-std=c++17;bitset;1024;h;55.36;1.616882906
clang++;-O2;-std=c++17;bitset;1024;h;54.79;1.619662809
clang++;-O2;-std=c++17;bitset;1024;h;55.02;1.625364153
clang++;-O2;-std=c++17;bitset;1024;h;55.12;1.649814240
clang++;-O2;-std=c++17;bitset;1024;i;10.19;0.305903517
clang++;-O2;-std=c++17;bitset;1024;i;9.95;0.305751704
clang++;-O2;-std=c++17;bitset;1024;i;10.35;0.303786612
clang++;-O2;-std=c++17;bitset;1024;i;10.66;0.306942840
clang++;-O2;-std=c++17;bitset;1024;i;9.97;0.305300460
clang++;-O2;-std=c++17;bitset;1024;i;9.87;0.304710168
