engine;pkg;cpu;sleep
knuth_b;23.27;0.947328873;18.83
knuth_b;23.07;0.947195951;18.75
knuth_b;22.93;0.947144373;18.93
knuth_b;22.82;0.947257401;18.75
knuth_b;23.18;0.948364279;18.79
knuth_b;23.14;0.947028032;19.40
knuth_b;22.98;0.947113122;18.76
knuth_b;23.03;0.947153233;18.98
knuth_b;23.00;0.946990822;18.81
knuth_b;23.00;0.946945789;18.78
knuth_b;22.95;0.946836498;18.83
knuth_b;23.27;0.947529768;18.79
knuth_b;23.04;0.947264509;18.92
knuth_b;22.96;0.946965986;18.79
knuth_b;22.97;0.946963075;18.82
knuth_b;23.12;0.947069149;18.81
knuth_b;23.15;0.947339760;18.80
knuth_b;23.10;0.947217275;18.87
knuth_b;23.01;0.946976617;18.86
knuth_b;23.23;0.947070080;18.83
knuth_b;23.04;0.946940827;18.84
knuth_b;23.03;0.947037623;18.86
knuth_b;23.05;0.947108260;18.87
knuth_b;22.93;0.947427154;18.79
knuth_b;23.01;0.946961153;18.80
knuth_b;22.95;0.947343772;18.82
knuth_b;22.99;0.946906427;18.77
knuth_b;23.09;0.947187970;18.84
knuth_b;22.95;0.947075230;18.73
knuth_b;23.02;0.947101954;18.74
knuth_b;23.05;0.947182871;18.73
knuth_b;22.95;0.947082721;18.79
knuth_b;23.08;0.947288325;18.73
knuth_b;23.04;0.947003945;18.74
knuth_b;23.01;0.947170026;18.77
knuth_b;22.92;0.946994649;18.78
knuth_b;22.99;0.947953473;18.79
knuth_b;22.84;0.947324545;18.78
knuth_b;22.99;0.947104438;18.80
knuth_b;23.11;0.946950153;18.82
knuth_b;22.84;0.947250327;18.74
knuth_b;23.16;0.947301092;18.77
knuth_b;23.03;0.946952151;18.73
knuth_b;22.96;0.947005016;18.82
knuth_b;23.16;0.947156125;18.79
knuth_b;23.03;0.947250332;18.84
knuth_b;22.96;0.946957805;18.79
knuth_b;23.11;0.947335618;18.75
knuth_b;23.06;0.947238398;18.72
knuth_b;22.97;0.947083937;18.77
knuth_b;23.06;0.947119019;18.77
knuth_b;22.85;0.946893281;18.94
knuth_b;22.95;0.947048903;18.75
knuth_b;23.08;0.947088263;18.82
knuth_b;23.14;0.947214383;18.75
knuth_b;23.04;0.947005530;18.79
knuth_b;23.13;0.947220252;18.80
knuth_b;22.92;0.946928186;18.73
knuth_b;23.03;0.947075845;18.74
knuth_b;23.01;0.946780680;18.72
knuth_b;23.12;0.947294139;18.80
knuth_b;22.98;0.946973487;18.75
knuth_b;23.09;0.947047870;18.78
knuth_b;23.21;0.947010033;18.76
knuth_b;23.01;0.947245988;18.72
knuth_b;22.88;0.947029614;18.70
knuth_b;22.95;0.946917121;18.76
knuth_b;22.81;0.947222458;18.65
knuth_b;23.05;0.948024394;18.82
knuth_b;23.02;0.947331473;18.74
knuth_b;22.92;0.947156701;18.79
knuth_b;22.92;0.947013284;18.74
knuth_b;22.80;0.946748299;18.72
knuth_b;22.97;0.947012653;18.73
knuth_b;22.91;0.947129443;18.73
knuth_b;22.87;0.947001820;18.84
knuth_b;22.95;0.946949485;18.76
knuth_b;22.99;0.947095855;18.74
knuth_b;23.23;0.946966447;18.75
knuth_b;23.00;0.946998537;18.77
knuth_b;22.99;0.947132104;18.79
knuth_b;23.02;0.946969853;18.77
knuth_b;23.22;0.947208312;18.80
knuth_b;23.23;0.947074554;18.84
knuth_b;22.92;0.946973750;18.73
knuth_b;23.10;0.947132895;19.09
knuth_b;23.14;0.947241364;18.76
knuth_b;22.95;0.946995754;18.77
knuth_b;23.09;0.946862281;18.75
knuth_b;23.01;0.946961253;18.90
knuth_b;22.87;0.946950793;19.00
knuth_b;23.24;0.947234242;18.75
knuth_b;22.96;0.946852844;18.74
knuth_b;23.10;0.946976540;18.72
knuth_b;22.95;0.946747828;18.71
knuth_b;22.91;0.947038067;18.88
knuth_b;22.98;0.946930451;18.73
knuth_b;23.09;0.947154010;18.74
knuth_b;23.13;0.947092820;18.72
knuth_b;22.86;0.946678363;18.68
minstd_rand0;8.51;0.352134813;7.01
minstd_rand0;8.59;0.352118083;6.99
minstd_rand0;8.69;0.352068779;7.02
minstd_rand0;8.54;0.352162061;7.14
minstd_rand0;8.58;0.352163829;7.01
minstd_rand0;8.56;0.352194251;6.99
minstd_rand0;8.59;0.352113216;6.96
minstd_rand0;8.59;0.352201144;6.99
minstd_rand0;8.56;0.352024727;7.01
minstd_rand0;8.60;0.352071522;6.98
minstd_rand0;8.55;0.352176801;6.99
minstd_rand0;8.59;0.352142295;7.03
minstd_rand0;8.63;0.352203058;7.01
minstd_rand0;8.81;0.352222791;7.01
minstd_rand0;8.61;0.352107954;7.01
minstd_rand0;8.63;0.352089300;7.00
minstd_rand0;8.54;0.352145862;6.99
minstd_rand0;8.59;0.352014005;6.98
minstd_rand0;8.58;0.352184514;7.02
minstd_rand0;8.58;0.352132561;7.01
minstd_rand0;8.66;0.352326145;7.01
minstd_rand0;8.68;0.351999739;7.02
minstd_rand0;8.54;0.352012352;7.18
minstd_rand0;8.57;0.352185688;6.98
minstd_rand0;8.54;0.352109074;7.02
minstd_rand0;8.61;0.352171231;6.96
minstd_rand0;8.59;0.352186917;7.03
minstd_rand0;8.58;0.352061090;6.99
minstd_rand0;8.61;0.352028358;6.99
minstd_rand0;8.60;0.352107500;6.98
minstd_rand0;8.59;0.352123243;7.05
minstd_rand0;8.58;0.352117064;6.99
minstd_rand0;8.77;0.352114401;6.99
minstd_rand0;8.58;0.352220047;7.00
minstd_rand0;8.58;0.352222557;6.96
minstd_rand0;8.53;0.352286837;7.00
minstd_rand0;8.53;0.352062433;6.94
minstd_rand0;8.54;0.352098823;6.96
minstd_rand0;8.56;0.352064782;6.99
minstd_rand0;8.60;0.352170053;6.99
minstd_rand0;8.69;0.352181123;7.01
minstd_rand0;8.60;0.352231258;7.19
minstd_rand0;8.56;0.351985047;6.97
minstd_rand0;8.56;0.352176836;7.00
minstd_rand0;8.61;0.352208224;7.04
minstd_rand0;8.59;0.352242826;7.01
minstd_rand0;8.55;0.352194890;6.98
minstd_rand0;8.62;0.352111897;7.01
minstd_rand0;8.57;0.352135574;7.00
minstd_rand0;8.61;0.352096799;7.06
minstd_rand0;8.62;0.352128826;6.99
minstd_rand0;8.78;0.352146998;6.96
minstd_rand0;8.56;0.352348919;7.04
minstd_rand0;8.57;0.352131707;6.97
minstd_rand0;8.55;0.352326956;7.00
minstd_rand0;8.60;0.352197493;6.98
minstd_rand0;8.59;0.352192026;6.97
minstd_rand0;8.55;0.352030867;7.00
minstd_rand0;8.63;0.352104926;6.99
minstd_rand0;8.71;0.352173174;7.03
minstd_rand0;8.61;0.352083030;7.15
minstd_rand0;8.68;0.352441268;7.00
minstd_rand0;8.57;0.352233021;7.05
minstd_rand0;8.55;0.352096135;6.97
minstd_rand0;8.52;0.352286615;7.00
minstd_rand0;8.55;0.352118226;7.02
minstd_rand0;8.59;0.352329002;6.99
minstd_rand0;8.55;0.352143468;6.99
minstd_rand0;8.56;0.352216130;7.02
minstd_rand0;8.60;0.352132848;7.01
minstd_rand0;8.72;0.352268052;6.97
minstd_rand0;8.59;0.352177868;7.01
minstd_rand0;8.55;0.352226710;7.00
minstd_rand0;8.54;0.352211792;7.03
minstd_rand0;8.58;0.352088484;6.96
minstd_rand0;8.59;0.352080899;7.00
minstd_rand0;8.55;0.352135493;7.02
minstd_rand0;8.60;0.352214226;6.98
minstd_rand0;8.67;0.352116605;7.00
minstd_rand0;8.59;0.352244733;7.17
minstd_rand0;8.62;0.352188449;7.01
minstd_rand0;8.61;0.352214150;7.03
minstd_rand0;8.58;0.352097636;6.97
