engine;pkg;cpu;sleep;diff
knuth_b;22.60;0.947414110;18.58;4.02
knuth_b;22.80;0.946796015;18.50;4.30
knuth_b;22.87;0.947174619;18.55;4.32
knuth_b;22.57;0.946123970;18.50;4.07
knuth_b;22.52;0.946132212;18.63;3.89
knuth_b;22.61;0.946073712;18.58;4.03
knuth_b;22.70;0.946090764;18.54;4.16
knuth_b;22.89;0.946043031;18.55;4.34
knuth_b;22.74;0.946246279;18.52;4.22
knuth_b;22.70;0.946655921;18.68;4.02
knuth_b;22.75;0.945979099;18.50;4.25
knuth_b;22.78;0.946109917;18.45;4.33
knuth_b;23.07;0.947334728;18.55;4.52
knuth_b;22.68;0.946306941;18.52;4.16
knuth_b;22.71;0.946683358;18.70;4.01
knuth_b;22.79;0.946703582;18.46;4.33
knuth_b;22.70;0.947123657;18.49;4.21
knuth_b;22.95;0.946757433;18.58;4.37
knuth_b;22.76;0.946919395;18.55;4.21
knuth_b;22.76;0.947158166;18.68;4.08
knuth_b;22.71;0.946998713;18.52;4.19
knuth_b;22.79;0.946663364;18.51;4.28
knuth_b;22.84;0.946719813;18.54;4.30
knuth_b;22.71;0.946650393;18.52;4.19
knuth_b;22.67;0.946567752;18.66;4.01
knuth_b;22.75;0.946151189;18.52;4.23
knuth_b;22.78;0.946891794;18.54;4.24
knuth_b;22.82;0.947140398;18.55;4.27
knuth_b;22.61;0.946521132;18.50;4.11
knuth_b;22.74;0.946788061;18.55;4.19
knuth_b;22.75;0.946766059;18.52;4.23
knuth_b;22.70;0.946983937;18.53;4.17
knuth_b;22.85;0.946938621;18.58;4.27
knuth_b;22.74;0.946742846;18.52;4.22
knuth_b;22.77;0.946804681;18.55;4.22
knuth_b;22.78;0.947168281;18.59;4.19
knuth_b;22.71;0.946728226;18.59;4.12
knuth_b;22.68;0.946716182;18.60;4.08
knuth_b;22.79;0.946835228;18.56;4.23
knuth_b;22.76;0.946650433;18.55;4.21
knuth_b;22.82;0.947011828;18.55;4.27
knuth_b;22.80;0.946616352;18.57;4.23
knuth_b;22.81;0.946623733;18.62;4.19
knuth_b;22.66;0.946482112;18.57;4.09
knuth_b;22.64;0.946722949;18.51;4.13
knuth_b;22.78;0.946787151;18.48;4.30
knuth_b;22.75;0.946648800;18.56;4.19
knuth_b;22.73;0.946724722;18.52;4.21
knuth_b;22.80;0.946669459;18.57;4.23
knuth_b;22.77;0.947307690;18.61;4.16
knuth_b;22.85;0.946657844;18.55;4.30
knuth_b;22.82;0.946732526;18.54;4.28
knuth_b;22.71;0.946757633;18.59;4.12
knuth_b;22.77;0.946810762;18.58;4.19
knuth_b;22.75;0.947004317;18.50;4.25
knuth_b;22.92;0.946677398;18.62;4.30
knuth_b;22.73;0.947150817;18.50;4.23
knuth_b;22.69;0.946630557;18.53;4.16
knuth_b;22.74;0.947084417;18.55;4.19
knuth_b;22.75;0.946732554;18.57;4.18
knuth_b;22.87;0.946516753;18.50;4.37
knuth_b;22.77;0.947153412;18.59;4.18
knuth_b;22.67;0.946364789;18.64;4.03
knuth_b;22.70;0.946723980;18.57;4.13
knuth_b;22.75;0.946724101;18.50;4.25
knuth_b;22.94;0.947133645;18.50;4.44
knuth_b;22.98;0.947381728;18.54;4.44
knuth_b;22.80;0.947255057;18.72;4.08
knuth_b;22.71;0.946830700;18.56;4.15
knuth_b;22.68;0.946902679;18.52;4.16
knuth_b;22.87;0.946705847;18.50;4.37
knuth_b;22.77;0.946954421;18.54;4.23
knuth_b;22.74;0.947111625;18.57;4.17
knuth_b;22.77;0.947243507;18.53;4.24
knuth_b;22.78;0.946989162;18.52;4.26
knuth_b;22.83;0.946340304;18.54;4.29
knuth_b;22.81;0.947099603;18.58;4.23
knuth_b;22.73;0.946699485;18.57;4.16
knuth_b;22.52;0.946583220;18.52;4.00
knuth_b;22.65;0.946407320;18.53;4.12
knuth_b;22.74;0.946635886;18.54;4.20
knuth_b;22.74;0.946601765;18.51;4.23
knuth_b;22.83;0.947395056;18.50;4.33
knuth_b;22.75;0.947247646;18.48;4.27
knuth_b;22.70;0.946747535;18.54;4.16
knuth_b;22.76;0.947106585;18.57;4.19
knuth_b;22.74;0.946441047;18.50;4.24
knuth_b;22.70;0.946393042;18.52;4.18
knuth_b;22.70;0.946549789;18.61;4.09
knuth_b;22.71;0.946458235;18.51;4.20
knuth_b;22.68;0.947285649;18.53;4.15
knuth_b;22.67;0.946387565;18.56;4.11
knuth_b;22.68;0.946319285;18.50;4.18
knuth_b;22.81;0.946714192;18.49;4.32
knuth_b;22.70;0.947053956;18.59;4.11
knuth_b;22.72;0.946602439;18.48;4.24
knuth_b;22.73;0.946926509;18.53;4.20
knuth_b;22.63;0.946520869;18.40;4.23
knuth_b;22.67;0.946604202;18.55;4.12
knuth_b;22.80;0.947213504;18.54;4.26
minstd_rand0;8.48;0.351580013;6.89;1.59
minstd_rand0;8.48;0.351765717;6.86;1.62
minstd_rand0;8.54;0.351530083;6.90;1.64
minstd_rand0;8.42;0.351960561;6.89;1.53
minstd_rand0;8.48;0.351824237;6.89;1.59
minstd_rand0;8.67;0.351734153;6.87;1.80
minstd_rand0;8.48;0.351655065;6.90;1.58
minstd_rand0;8.49;0.351757643;6.89;1.60
minstd_rand0;8.44;0.351943177;6.89;1.55
minstd_rand0;8.44;0.351788750;6.86;1.58
minstd_rand0;8.47;0.351932989;6.88;1.59
minstd_rand0;8.44;0.351990577;6.92;1.52
minstd_rand0;8.45;0.352084820;6.89;1.56
minstd_rand0;8.61;0.352130398;6.92;1.69
minstd_rand0;8.45;0.352088169;7.00;1.45
minstd_rand0;8.45;0.351848502;6.89;1.56
minstd_rand0;8.45;0.351999243;6.94;1.51
minstd_rand0;8.52;0.351673649;6.88;1.64
minstd_rand0;8.45;0.351888592;6.89;1.56
minstd_rand0;8.47;0.352034051;6.88;1.59
minstd_rand0;8.47;0.351971341;6.90;1.57
minstd_rand0;8.46;0.351736824;6.91;1.55
minstd_rand0;8.43;0.352142063;6.97;1.46
minstd_rand0;8.52;0.351700425;6.83;1.69
minstd_rand0;8.58;0.352012630;6.90;1.68
minstd_rand0;8.45;0.351899336;6.89;1.56
minstd_rand0;8.46;0.351896823;6.92;1.54
minstd_rand0;8.45;0.351802953;6.88;1.57
minstd_rand0;8.47;0.352038266;6.91;1.56
minstd_rand0;8.45;0.351946586;6.87;1.58
minstd_rand0;8.46;0.351920211;6.91;1.55
minstd_rand0;8.50;0.351680624;6.90;1.60
minstd_rand0;8.71;0.351596396;6.93;1.78
minstd_rand0;8.44;0.351923882;6.98;1.46
minstd_rand0;8.46;0.351909822;6.87;1.59
minstd_rand0;8.43;0.352008734;6.90;1.53
minstd_rand0;8.48;0.351797797;6.90;1.58
minstd_rand0;8.47;0.351943850;6.90;1.57
minstd_rand0;8.49;0.351596860;6.94;1.55
minstd_rand0;8.49;0.351701277;6.93;1.56
minstd_rand0;8.54;0.351961593;6.88;1.66
minstd_rand0;8.47;0.352040758;7.08;1.39
minstd_rand0;8.47;0.351995149;6.88;1.59
minstd_rand0;8.47;0.351611108;6.89;1.58
minstd_rand0;8.44;0.352038198;6.87;1.57
minstd_rand0;8.46;0.352139064;6.92;1.54
minstd_rand0;8.42;0.352072543;6.92;1.50
minstd_rand0;8.46;0.352043125;6.88;1.58
minstd_rand0;8.46;0.351971472;6.88;1.58
minstd_rand0;8.45;0.351930572;6.96;1.49
minstd_rand0;8.47;0.352085464;6.90;1.57
minstd_rand0;8.59;0.352141498;6.93;1.66
minstd_rand0;8.48;0.351973130;6.97;1.51
minstd_rand0;8.46;0.351862097;6.92;1.54
minstd_rand0;8.43;0.351951908;6.88;1.55
minstd_rand0;8.45;0.351725722;6.89;1.56
minstd_rand0;8.49;0.351910979;6.88;1.61
minstd_rand0;8.46;0.351769897;6.92;1.54
minstd_rand0;8.47;0.351668469;6.89;1.58
minstd_rand0;8.65;0.351915207;6.87;1.78
minstd_rand0;8.47;0.351502096;6.94;1.53
minstd_rand0;8.47;0.352050080;6.91;1.56
minstd_rand0;8.39;0.351797122;6.92;1.47
minstd_rand0;8.45;0.351993815;6.88;1.57
minstd_rand0;8.47;0.351982378;6.89;1.58
minstd_rand0;8.44;0.351972981;6.91;1.53
minstd_rand0;8.50;0.351908869;6.87;1.63
minstd_rand0;8.65;0.352266302;6.93;1.72
minstd_rand0;8.44;0.351638453;7.09;1.35
minstd_rand0;8.45;0.351913422;6.89;1.56
minstd_rand0;8.41;0.351979108;6.91;1.50
minstd_rand0;8.48;0.351988524;6.86;1.62
minstd_rand0;8.45;0.351896519;6.90;1.55
minstd_rand0;8.44;0.352096054;6.93;1.51
minstd_rand0;8.46;0.351954737;6.89;1.57
minstd_rand0;8.49;0.352093930;6.90;1.59
minstd_rand0;8.45;0.351906800;6.95;1.50
minstd_rand0;8.46;0.351931627;6.89;1.57
minstd_rand0;8.56;0.352044702;6.89;1.67
minstd_rand0;8.44;0.351899760;6.89;1.55
minstd_rand0;8.50;0.352342384;6.93;1.57
minstd_rand0;8.47;0.352133997;6.94;1.53
minstd_rand0;8.50;0.351775437;6.87;1.63
minstd_rand0;8.49;0.351822754;6.91;1.58
minstd_rand0;8.48;0.351742442;6.92;1.56
minstd_rand0;8.49;0.351867269;6.87;1.62
minstd_rand0;8.72;0.351769163;6.89;1.83
minstd_rand0;8.50;0.352008859;6.95;1.55
minstd_rand0;8.45;0.351886493;6.91;1.54
minstd_rand0;8.45;0.351783911;6.88;1.57
minstd_rand0;8.46;0.351923586;6.89;1.57
minstd_rand0;8.46;0.352004338;6.95;1.51
minstd_rand0;8.44;0.351915757;6.89;1.55
minstd_rand0;8.47;0.352012213;6.90;1.57
minstd_rand0;8.52;0.351821301;6.89;1.63
minstd_rand0;8.44;0.352114615;7.02;1.42
minstd_rand0;8.47;0.351925141;6.90;1.57
minstd_rand0;8.47;0.352152057;6.92;1.55
minstd_rand0;8.50;0.351606042;6.89;1.61
minstd_rand0;8.51;0.351737548;6.94;1.57
minstd_rand;8.45;0.351921286;6.90;1.55
minstd_rand;8.50;0.351755618;6.91;1.59
minstd_rand;8.51;0.351856941;6.89;1.62
minstd_rand;8.46;0.351939903;7.03;1.43
minstd_rand;8.48;0.352021325;6.92;1.56
minstd_rand;8.59;0.351790711;6.92;1.67
minstd_rand;8.49;0.351967101;6.88;1.61
minstd_rand;8.50;0.351968667;6.91;1.59
minstd_rand;8.47;0.352038851;6.91;1.56
minstd_rand;8.48;0.351851798;6.88;1.60
minstd_rand;8.46;0.352007821;6.92;1.54
minstd_rand;8.47;0.352043243;6.92;1.55
minstd_rand;8.50;0.351958801;6.91;1.59
minstd_rand;8.75;0.352120933;6.93;1.82
minstd_rand;8.46;0.351893542;6.92;1.54
minstd_rand;8.49;0.351865594;6.91;1.58
minstd_rand;8.44;0.351897588;6.93;1.51
minstd_rand;8.46;0.351907622;6.89;1.57
minstd_rand;8.53;0.352136992;6.88;1.65
minstd_rand;8.44;0.351774332;6.89;1.55
minstd_rand;8.52;0.351704830;6.93;1.59
minstd_rand;8.66;0.352175843;6.91;1.75
minstd_rand;8.47;0.351833504;7.00;1.47
minstd_rand;8.51;0.352134876;6.88;1.63
minstd_rand;8.42;0.352059996;6.91;1.51
minstd_rand;8.46;0.352062121;6.88;1.58
minstd_rand;8.49;0.352008630;6.98;1.51
minstd_rand;8.46;0.351920717;6.92;1.54
minstd_rand;8.48;0.352030473;6.89;1.59
minstd_rand;8.48;0.351789062;6.89;1.59
minstd_rand;8.49;0.351840602;7.03;1.46
minstd_rand;8.48;0.352024874;6.92;1.56
minstd_rand;8.54;0.352047734;6.88;1.66
minstd_rand;8.47;0.351997069;6.91;1.56
minstd_rand;8.47;0.351934357;6.90;1.57
minstd_rand;8.44;0.351752002;6.92;1.52
minstd_rand;8.47;0.351997347;6.95;1.52
minstd_rand;8.50;0.352007401;6.89;1.61
minstd_rand;8.44;0.351945089;6.96;1.48
minstd_rand;8.47;0.351837515;6.89;1.58
minstd_rand;8.69;0.351930044;6.88;1.81
minstd_rand;8.50;0.352076308;6.89;1.61
minstd_rand;8.47;0.352072029;6.88;1.59
minstd_rand;8.45;0.352050032;6.93;1.52
minstd_rand;8.47;0.352103738;6.90;1.57
minstd_rand;8.48;0.352040190;6.91;1.57
minstd_rand;8.44;0.351945784;6.95;1.49
minstd_rand;8.46;0.351981195;6.90;1.56
minstd_rand;8.70;0.352145236;6.92;1.78
minstd_rand;8.52;0.352172467;6.97;1.55
minstd_rand;8.48;0.352079980;6.97;1.51
minstd_rand;8.46;0.351731654;6.92;1.54
minstd_rand;8.42;0.352073962;6.86;1.56
minstd_rand;8.45;0.351948398;6.93;1.52
minstd_rand;8.45;0.351944946;6.92;1.53
minstd_rand;8.49;0.352002160;6.89;1.60
minstd_rand;8.57;0.352082515;6.87;1.70
