engine;pkg;cpu;sleep
knuth_b;3.96;0.830528780;3.15
knuth_b;3.23;0.670736740;2.52
knuth_b;3.94;0.838545451;3.19
knuth_b;3.95;0.838674523;3.18
knuth_b;3.92;0.838038828;3.12
knuth_b;4.03;0.838219228;2.93
knuth_b;3.72;0.837648746;3.20
knuth_b;4.00;0.837494426;3.16
knuth_b;4.04;0.837650239;3.26
knuth_b;3.97;0.838112858;3.23
knuth_b;3.79;0.837004255;3.20
knuth_b;3.98;0.837180296;3.23
knuth_b;3.84;0.837081019;3.16
knuth_b;3.90;0.837449171;3.18
knuth_b;4.01;0.837349554;3.23
knuth_b;3.97;0.837231092;3.19
knuth_b;3.96;0.836832422;3.25
knuth_b;3.58;0.837132156;3.23
knuth_b;3.95;0.837596477;3.18
knuth_b;3.99;0.836776217;3.17
knuth_b;3.99;0.837253524;3.14
knuth_b;3.98;0.837578414;3.20
knuth_b;3.95;0.838756066;3.16
knuth_b;4.00;0.837291545;3.19
knuth_b;3.91;0.837067805;3.22
knuth_b;4.00;0.837149739;3.17
knuth_b;3.96;0.837773240;3.19
knuth_b;3.93;0.837098522;3.31
knuth_b;3.95;0.837865313;3.25
knuth_b;3.91;0.807748148;3.07
knuth_b;3.53;0.837772731;3.24
knuth_b;4.05;0.838188952;3.20
knuth_b;4.05;0.837871306;3.17
knuth_b;3.97;0.837746622;3.31
knuth_b;3.99;0.837872929;3.24
knuth_b;4.00;0.837810712;3.07
knuth_b;4.03;0.837300915;3.17
knuth_b;3.82;0.837300303;3.28
knuth_b;4.01;0.838200263;3.23
knuth_b;3.92;0.837322575;3.26
knuth_b;3.92;0.837747534;3.12
knuth_b;4.03;0.837996881;3.25
knuth_b;4.02;0.837513634;3.18
knuth_b;4.03;0.837160852;3.18
knuth_b;4.02;0.837250731;3.31
knuth_b;3.90;0.838203970;3.18
knuth_b;3.93;0.836945487;3.21
knuth_b;3.92;0.837572985;3.15
knuth_b;3.68;0.836907906;3.20
knuth_b;4.03;0.837615385;3.13
knuth_b;4.03;0.837269234;3.18
knuth_b;4.00;0.837463810;3.23
knuth_b;4.01;0.837347452;3.25
knuth_b;3.97;0.837186480;3.20
knuth_b;3.98;0.836787781;3.14
knuth_b;3.99;0.836352754;3.16
knuth_b;4.01;0.837103444;3.19
knuth_b;3.95;0.837151233;3.18
knuth_b;3.49;0.838310300;3.21
knuth_b;3.94;0.836700207;3.26
knuth_b;3.88;0.836786048;3.19
knuth_b;3.74;0.836472800;3.12
knuth_b;3.98;0.836337816;3.17
knuth_b;3.81;0.790504372;3.05
knuth_b;4.01;0.837624291;3.17
knuth_b;3.97;0.837163717;3.22
knuth_b;3.94;0.837495540;3.20
knuth_b;4.02;0.837399550;3.18
knuth_b;4.03;0.836947581;3.11
knuth_b;3.92;0.836852092;3.20
knuth_b;4.04;0.837665930;3.21
knuth_b;4.00;0.837202379;3.19
knuth_b;3.80;0.837396845;3.20
knuth_b;4.01;0.837705034;3.19
