engine;pkg;cpu;sleep;diff
knuth_b;8.30;1.755200357;6.30;2.00
knuth_b;8.36;1.753928850;6.39;1.97
knuth_b;8.37;1.755089289;6.37;2.00
knuth_b;8.35;1.754188257;6.24;2.11
knuth_b;8.33;1.754959275;6.33;2.00
knuth_b;8.34;1.753656479;6.37;1.97
knuth_b;7.84;1.754635597;6.42;1.42
knuth_b;7.15;1.753928630;6.41;.74
knuth_b;7.88;1.753980507;6.40;1.48
knuth_b;8.32;1.755683043;6.34;1.98
knuth_b;8.21;1.753323294;6.33;1.88
knuth_b;8.25;1.754423569;6.41;1.84
knuth_b;8.33;1.753935353;6.43;1.90
knuth_b;8.37;1.754198316;6.54;1.83
knuth_b;8.44;1.753907360;6.09;2.35
knuth_b;7.81;1.753359191;6.39;1.42
knuth_b;8.28;1.753214490;6.31;1.97
knuth_b;8.33;1.753609421;6.34;1.99
knuth_b;8.34;1.753599892;6.37;1.97
knuth_b;6.72;1.753577771;6.34;.38
knuth_b;8.35;1.752698610;6.42;1.93
knuth_b;6.90;1.757137735;6.47;.43
knuth_b;8.36;1.753451995;6.19;2.17
knuth_b;8.33;1.753481862;6.31;2.02
knuth_b;8.32;1.753998851;6.27;2.05
knuth_b;7.11;1.753564055;6.28;.83
knuth_b;8.34;1.754683768;6.32;2.02
knuth_b;7.65;1.753779830;6.30;1.35
knuth_b;6.82;1.753124020;6.45;.37
knuth_b;8.22;1.753365072;6.40;1.82
knuth_b;8.20;1.753602678;6.36;1.84
knuth_b;8.23;1.754362404;6.22;2.01
knuth_b;7.49;1.753623878;6.42;1.07
knuth_b;8.37;1.754016515;6.07;2.30
knuth_b;7.88;1.753646370;6.44;1.44
knuth_b;8.11;1.753586057;6.22;1.89
knuth_b;8.32;1.753450753;6.24;2.08
knuth_b;8.23;1.754199959;6.33;1.90
knuth_b;7.81;1.753532537;6.35;1.46
knuth_b;7.42;1.753547615;6.39;1.03
knuth_b;7.55;1.754025381;6.37;1.18
knuth_b;8.08;1.753258822;6.47;1.61
knuth_b;8.34;1.753391662;6.09;2.25
knuth_b;7.38;1.752966984;6.35;1.03
knuth_b;8.10;1.753107207;6.30;1.80
knuth_b;7.45;1.753400178;6.19;1.26
knuth_b;8.38;1.752277500;6.18;2.20
knuth_b;7.58;1.752936388;6.32;1.26
knuth_b;7.95;1.752894309;6.41;1.54
knuth_b;8.21;1.754530400;6.23;1.98
knuth_b;8.29;1.753822630;6.25;2.04
knuth_b;7.28;1.754332818;6.36;.92
knuth_b;8.17;1.753911668;6.25;1.92
knuth_b;8.13;1.754429681;6.34;1.79
knuth_b;7.97;1.754052051;6.36;1.61
knuth_b;7.84;1.753839833;6.36;1.48
knuth_b;8.18;1.753284671;6.37;1.81
knuth_b;8.13;1.753683731;6.22;1.91
knuth_b;8.35;1.753999253;6.39;1.96
knuth_b;7.81;1.753520734;5.74;2.07
knuth_b;8.03;1.753599281;6.21;1.82
knuth_b;8.33;1.755832674;6.39;1.94
knuth_b;6.86;1.754486086;6.38;.48
knuth_b;8.29;1.754266544;6.33;1.96
knuth_b;8.12;1.754218934;6.42;1.70
knuth_b;7.97;1.753925033;6.13;1.84
knuth_b;7.79;1.754178439;6.33;1.46
knuth_b;7.63;1.753802122;6.37;1.26
knuth_b;8.29;1.753452897;6.30;1.99
knuth_b;8.08;1.753583722;6.33;1.75
knuth_b;8.35;1.753935733;6.31;2.04
knuth_b;8.05;1.753174304;6.25;1.80
knuth_b;7.42;1.753717193;6.31;1.11
knuth_b;7.53;1.753345485;5.95;1.58
knuth_b;6.54;1.754294928;6.35;.19
knuth_b;8.33;1.753823964;6.38;1.95
knuth_b;8.16;1.754108728;6.26;1.90
knuth_b;8.36;1.752987453;6.33;2.03
knuth_b;7.53;1.752929674;6.31;1.22
knuth_b;8.30;1.753040473;6.34;1.96
knuth_b;8.35;1.753587610;6.34;2.01
knuth_b;8.29;1.753839572;6.44;1.85
knuth_b;8.29;1.753587560;6.33;1.96
knuth_b;7.99;1.753603159;6.33;1.66
knuth_b;7.27;1.754043145;6.44;.83
knuth_b;7.60;1.754011366;6.29;1.31
knuth_b;6.87;1.754055098;6.19;.68
knuth_b;7.37;1.753015796;6.40;.97
knuth_b;8.25;1.753122026;6.42;1.83
knuth_b;6.94;1.753924643;6.36;.58
knuth_b;8.26;1.753275874;6.22;2.04
knuth_b;7.91;1.753281596;6.10;1.81
knuth_b;8.17;1.757217795;6.34;1.83
knuth_b;8.33;1.754177076;6.31;2.02
knuth_b;8.15;1.753395038;6.32;1.83
knuth_b;8.18;1.754311739;6.41;1.77
knuth_b;8.41;1.754587276;6.33;2.08
knuth_b;7.88;1.753558294;6.44;1.44
knuth_b;7.75;1.753754433;6.40;1.35
knuth_b;8.28;1.754119148;6.50;1.78
minstd_rand0;3.36;0.703098286;2.56;.80
minstd_rand0;3.32;0.703067619;2.59;.73
minstd_rand0;3.26;0.702832046;2.54;.72
minstd_rand0;3.18;0.703056248;2.61;.57
minstd_rand0;2.80;0.703225245;2.50;.30
minstd_rand0;3.36;0.702924610;2.47;.89
minstd_rand0;2.59;0.703128152;2.55;.04
minstd_rand0;3.23;0.702871200;2.49;.74
minstd_rand0;3.22;0.702903621;2.26;.96
minstd_rand0;3.00;0.702830834;2.47;.53
minstd_rand0;3.06;0.703383601;2.18;.88
minstd_rand0;3.34;0.703352754;2.44;.90
minstd_rand0;3.15;0.703069823;2.33;.82
minstd_rand0;2.79;0.703546408;2.49;.30
minstd_rand0;3.33;0.703231386;2.50;.83
minstd_rand0;3.17;0.703128163;2.55;.62
minstd_rand0;3.29;0.702974504;2.56;.73
minstd_rand0;3.18;0.702930591;2.56;.62
minstd_rand0;3.09;0.703137701;2.51;.58
minstd_rand0;2.97;0.703082217;2.60;.37
minstd_rand0;2.88;0.703280749;2.49;.39
minstd_rand0;2.91;0.703016372;2.03;.88
minstd_rand0;3.30;0.703176653;2.36;.94
minstd_rand0;2.98;0.703285798;2.56;.42
minstd_rand0;3.52;0.697283560;2.53;.99
minstd_rand0;3.23;0.704235882;2.60;.63
minstd_rand0;3.35;0.702882020;2.46;.89
minstd_rand0;3.01;0.703074782;2.17;.84
minstd_rand0;3.25;0.703220797;2.55;.70
minstd_rand0;3.30;0.703160864;2.44;.86
minstd_rand0;3.28;0.703367912;2.58;.70
minstd_rand0;3.32;0.703079311;2.42;.90
minstd_rand0;3.05;0.702674430;2.55;.50
minstd_rand0;3.36;0.703288984;2.54;.82
minstd_rand0;3.35;0.703319742;2.49;.86
minstd_rand0;2.93;0.703269527;2.58;.35
minstd_rand0;2.79;0.703080332;2.50;.29
minstd_rand0;3.13;0.703119756;2.48;.65
minstd_rand0;3.07;0.702928297;2.50;.57
minstd_rand0;3.21;0.703018106;2.40;.81
minstd_rand0;3.07;0.702775079;2.50;.57
minstd_rand0;3.16;0.702987869;2.54;.62
minstd_rand0;3.34;0.702890546;2.44;.90
minstd_rand0;3.31;0.703299193;2.56;.75
minstd_rand0;2.77;0.703152708;2.56;.21
minstd_rand0;2.79;0.703310505;2.49;.30
minstd_rand0;3.33;0.703368343;2.56;.77
minstd_rand0;3.35;0.702825103;2.59;.76
