engine;pkg;cpu;sleep;diff
knuth_b;25.19;0.977718244;20.39;4.80
knuth_b;24.85;0.977725604;19.97;4.88
knuth_b;24.91;0.977707313;21.45;3.46
knuth_b;24.96;0.978991313;20.16;4.80
knuth_b;25.12;0.977768183;20.52;4.60
knuth_b;24.76;0.977491404;20.23;4.53
knuth_b;24.75;0.977499943;20.43;4.32
knuth_b;24.83;0.977553763;20.03;4.80
knuth_b;24.79;0.977647484;20.08;4.71
knuth_b;24.83;0.977687293;19.71;5.12
knuth_b;24.88;0.977705754;20.20;4.68
knuth_b;24.73;0.977285305;20.42;4.31
knuth_b;25.68;0.977582943;20.78;4.90
knuth_b;26.84;0.980055602;23.64;3.20
knuth_b;24.94;0.977595904;19.96;4.98
knuth_b;24.77;0.977525542;19.04;5.73
knuth_b;24.82;0.978661152;17.93;6.89
knuth_b;24.77;0.977415513;19.46;5.31
knuth_b;24.73;0.977350164;19.69;5.04
knuth_b;24.85;0.977580253;20.13;4.72
knuth_b;24.76;0.977373254;19.93;4.83
knuth_b;24.74;0.977393163;19.54;5.20
knuth_b;24.80;0.977585645;20.26;4.54
knuth_b;24.76;0.977406574;18.55;6.21
knuth_b;24.94;0.977875293;19.77;5.17
knuth_b;24.81;0.977532624;19.90;4.91
knuth_b;24.74;0.977396115;19.67;5.07
knuth_b;24.82;0.977504583;20.48;4.34
knuth_b;24.76;0.977500894;15.97;8.79
knuth_b;25.41;0.977763134;15.91;9.50
knuth_b;24.83;0.977741683;13.34;11.49
knuth_b;24.78;0.977320832;19.83;4.95
knuth_b;24.84;0.977529205;19.62;5.22
knuth_b;24.97;0.977803825;18.40;6.57
knuth_b;25.03;0.977582805;17.70;7.33
knuth_b;24.81;0.977583015;19.66;5.15
knuth_b;25.04;0.978172264;19.91;5.13
knuth_b;24.91;0.978000463;20.17;4.74
knuth_b;24.91;0.977761954;19.90;5.01
knuth_b;25.08;0.978157914;20.94;4.14
knuth_b;24.84;0.977801444;19.96;4.88
knuth_b;25.10;0.978183244;19.98;5.12
knuth_b;26.30;0.978631572;25.10;1.20
knuth_b;25.04;0.977849014;20.68;4.36
knuth_b;25.39;0.978042404;20.00;5.39
knuth_b;24.92;0.978081313;18.12;6.80
knuth_b;24.80;0.977866954;18.96;5.84
knuth_b;24.88;0.978055455;18.47;6.41
knuth_b;24.85;0.978347092;20.23;4.62
knuth_b;24.77;0.977910214;20.06;4.71
knuth_b;24.90;0.978167824;19.81;5.09
knuth_b;24.77;0.977941193;20.10;4.67
knuth_b;24.77;0.977863812;19.88;4.89
knuth_b;24.97;0.977714033;19.55;5.42
knuth_b;24.78;0.977801192;20.67;4.11
knuth_b;24.82;0.977904554;20.75;4.07
knuth_b;24.80;0.978126322;18.15;6.65
knuth_b;24.81;0.977756793;21.87;2.94
knuth_b;24.73;0.977648984;19.78;4.95
knuth_b;24.85;0.977978933;20.60;4.25
knuth_b;24.83;0.977893713;18.63;6.20
knuth_b;24.76;0.977860934;19.76;5.00
knuth_b;25.15;0.977916923;20.08;5.07
knuth_b;24.79;0.977680235;18.54;6.25
knuth_b;24.94;0.977677094;18.40;6.54
knuth_b;24.83;0.977954413;16.77;8.06
knuth_b;25.05;0.977925102;19.09;5.96
knuth_b;24.88;0.977750533;19.77;5.11
knuth_b;24.98;0.979573323;24.81;.17
knuth_b;24.85;0.977924875;20.75;4.10
knuth_b;24.75;0.977675262;19.70;5.05
knuth_b;24.89;0.978061512;19.74;5.15
knuth_b;25.95;0.977770683;18.57;7.38
knuth_b;24.85;0.977854772;20.22;4.63
knuth_b;24.95;0.977872202;18.22;6.73
knuth_b;24.85;0.978028064;19.95;4.90
knuth_b;24.88;0.977857084;20.06;4.82
knuth_b;24.93;0.977754084;20.89;4.04
knuth_b;24.84;0.978077793;20.04;4.80
knuth_b;24.81;0.977666204;19.86;4.95
knuth_b;24.83;0.977738452;19.58;5.25
knuth_b;24.89;0.977678943;16.24;8.65
knuth_b;24.73;0.977487434;19.90;4.83
knuth_b;24.81;0.977540745;19.91;4.90
knuth_b;24.89;0.977786994;21.43;3.46
knuth_b;24.84;0.977459234;20.00;4.84
knuth_b;24.77;0.977629423;21.12;3.65
knuth_b;24.83;0.977808884;19.87;4.96
knuth_b;24.74;0.977508555;20.40;4.34
knuth_b;24.92;0.977576423;20.22;4.70
knuth_b;24.91;0.977633573;19.92;4.99
knuth_b;24.93;0.977388865;20.05;4.88
knuth_b;24.91;0.977470884;19.86;5.05
knuth_b;25.10;0.977788325;21.00;4.10
knuth_b;24.89;0.977409852;19.82;5.07
knuth_b;24.86;0.977719613;20.05;4.81
knuth_b;24.86;0.977673973;20.43;4.43
knuth_b;24.82;0.977474255;19.97;4.85
knuth_b;24.82;0.977679634;20.26;4.56
knuth_b;25.05;0.977715783;20.16;4.89
minstd_rand0;10.08;0.398495380;9.05;1.03
minstd_rand0;10.15;0.398561290;9.15;1.00
minstd_rand0;10.17;0.398177481;9.36;.81
minstd_rand0;10.16;0.398415790;9.64;.52
minstd_rand0;10.08;0.398437890;9.26;.82
minstd_rand0;10.63;0.398807209;9.36;1.27
minstd_rand0;10.17;0.398601701;9.10;1.07
minstd_rand0;10.11;0.398444761;9.15;.96
minstd_rand0;10.30;0.398796952;8.33;1.97
minstd_rand0;10.25;0.398755481;9.18;1.07
minstd_rand0;10.21;0.398536111;8.76;1.45
minstd_rand0;10.08;0.398512861;9.13;.95
minstd_rand0;10.13;0.398108461;9.62;.51
minstd_rand0;10.08;0.398269851;7.42;2.66
minstd_rand0;10.13;0.398109380;9.12;1.01
minstd_rand0;10.09;0.398379462;8.13;1.96
minstd_rand0;10.17;0.398754831;8.41;1.76
minstd_rand0;10.10;0.398325991;7.39;2.71
minstd_rand0;10.11;0.398568560;9.16;.95
minstd_rand0;10.08;0.398377951;8.89;1.19
minstd_rand0;10.36;0.398889971;9.17;1.19
minstd_rand0;10.13;0.398469530;8.97;1.16
minstd_rand0;10.11;0.398471611;8.73;1.38
minstd_rand0;10.25;0.398756751;9.00;1.25
minstd_rand0;10.14;0.398609611;9.37;.77
minstd_rand0;10.27;0.398251371;7.87;2.40
minstd_rand0;10.17;0.398414139;8.02;2.15
minstd_rand0;10.15;0.398611361;9.39;.76
minstd_rand0;10.14;0.398158891;9.21;.93
minstd_rand0;10.15;0.398374009;9.19;.96
minstd_rand0;10.11;0.398745841;9.18;.93
minstd_rand0;10.15;0.398857570;9.07;1.08
minstd_rand0;10.30;0.398435061;9.32;.98
minstd_rand0;10.34;0.398749240;7.10;3.24
minstd_rand0;10.08;0.398419780;9.96;.12
minstd_rand0;10.17;0.398283141;9.85;.32
minstd_rand0;10.55;0.398542391;7.47;3.08
minstd_rand0;10.08;0.398391731;9.19;.89
minstd_rand0;10.13;0.398375020;9.27;.86
minstd_rand0;10.08;0.398312241;8.62;1.46
minstd_rand0;10.44;0.398790990;9.37;1.07
minstd_rand0;10.11;0.398505740;9.13;.98
minstd_rand0;10.24;0.398608130;7.65;2.59
minstd_rand0;10.08;0.398359001;9.16;.92
minstd_rand0;10.12;0.398697909;9.31;.81
minstd_rand0;10.11;0.398485851;8.97;1.14
minstd_rand0;10.17;0.398374801;9.12;1.05
minstd_rand0;10.20;0.398610708;7.29;2.91
minstd_rand0;10.08;0.398746551;8.53;1.55
minstd_rand0;10.18;0.398640020;7.53;2.65
minstd_rand0;10.09;0.398448580;9.28;.81
minstd_rand0;10.13;0.398190131;9.14;.99
minstd_rand0;10.08;0.398329160;8.85;1.23
minstd_rand0;10.19;0.398704590;9.16;1.03
minstd_rand0;10.16;0.398718981;9.40;.76
minstd_rand0;10.14;0.398489641;7.55;2.59
minstd_rand0;10.29;0.398395040;8.95;1.34
minstd_rand0;10.09;0.398433151;9.17;.92
minstd_rand0;10.08;0.398700751;7.94;2.14
minstd_rand0;10.16;0.398337660;10.09;.07
minstd_rand0;10.11;0.398438042;9.43;.68
minstd_rand0;10.15;0.398735571;9.20;.95
minstd_rand0;10.32;0.398836380;9.17;1.15
minstd_rand0;10.28;0.398928151;7.85;2.43
minstd_rand0;10.09;0.398467880;9.22;.87
minstd_rand0;10.09;0.398430591;9.31;.78
minstd_rand0;10.11;0.398964231;9.16;.95
minstd_rand0;10.10;0.398483511;9.41;.69
minstd_rand0;10.19;0.398406241;7.67;2.52
minstd_rand0;10.11;0.398746549;9.28;.83
minstd_rand0;10.11;0.398358629;9.43;.68
minstd_rand0;10.09;0.398288711;8.57;1.52
minstd_rand0;10.47;0.398592390;7.47;3.00
minstd_rand0;10.08;0.398394891;9.03;1.05
minstd_rand0;10.12;0.398560331;9.11;1.01
minstd_rand0;10.12;0.398432801;9.11;1.01
minstd_rand0;10.13;0.398472590;7.69;2.44
minstd_rand0;10.26;0.398618951;7.63;2.63
minstd_rand0;10.14;0.398285131;9.67;.47
minstd_rand0;10.11;0.398637201;9.12;.99
minstd_rand0;10.10;0.398692501;8.70;1.40
minstd_rand0;10.09;0.398814289;9.62;.47
minstd_rand0;10.13;0.398957761;6.99;3.14
minstd_rand0;10.09;0.398474721;9.20;.89
minstd_rand0;10.22;0.398572801;9.21;1.01
minstd_rand0;10.08;0.398449259;9.21;.87
minstd_rand0;10.09;0.398435070;8.66;1.43
minstd_rand0;10.08;0.398282940;9.23;.85
minstd_rand0;10.13;0.398826771;9.23;.90
minstd_rand0;10.18;0.398671241;9.16;1.02
minstd_rand0;10.11;0.398357411;9.17;.94
minstd_rand0;10.20;0.398589891;9.71;.49
minstd_rand0;10.20;0.398421230;9.30;.90
minstd_rand0;10.17;0.398482341;8.98;1.19
minstd_rand0;10.11;0.398681371;6.98;3.13
minstd_rand0;10.18;0.398871569;9.19;.99
minstd_rand0;10.12;0.398860641;9.36;.76
minstd_rand0;10.13;0.398546069;7.44;2.69
minstd_rand0;10.11;0.398230611;9.17;.94
minstd_rand0;10.24;0.398633489;7.65;2.59
minstd_rand;10.27;0.398536679;9.24;1.03
minstd_rand;10.24;0.398449961;7.18;3.06
minstd_rand;10.17;0.398373300;9.60;.57
minstd_rand;10.34;0.398741931;9.52;.82
minstd_rand;10.42;0.398508310;7.48;2.94
minstd_rand;10.28;0.398734949;9.51;.77
minstd_rand;10.24;0.398372601;8.85;1.39
minstd_rand;10.20;0.398608921;7.90;2.30
minstd_rand;10.17;0.398509079;9.20;.97
minstd_rand;10.16;0.398634599;9.23;.93
minstd_rand;10.21;0.398664658;9.30;.91
minstd_rand;10.26;0.398441051;9.14;1.12
minstd_rand;10.15;0.398641161;7.98;2.17
minstd_rand;10.20;0.398575140;9.99;.21
minstd_rand;10.13;0.398349772;9.18;.95
minstd_rand;10.15;0.398528709;9.32;.83
minstd_rand;10.99;0.398506031;10.68;.31
minstd_rand;10.93;0.398843720;10.77;.16
minstd_rand;12.21;0.399993870;10.31;1.90
minstd_rand;11.07;0.398794821;10.43;.64
minstd_rand;10.57;0.399131751;10.33;.24
minstd_rand;10.73;0.398452221;10.44;.29
minstd_rand;10.97;0.398545531;10.59;.38
minstd_rand;11.27;0.398632450;11.06;.21
minstd_rand;11.36;0.399297960;11.06;.30
minstd_rand;11.48;0.398987270;11.19;.29
minstd_rand;11.63;0.398530731;11.29;.34
minstd_rand;11.78;0.398403031;11.19;.59
minstd_rand;10.54;0.398501341;9.01;1.53
minstd_rand;10.44;0.398450239;9.22;1.22
minstd_rand;10.59;0.398998818;9.26;1.33
minstd_rand;10.19;0.398535188;9.17;1.02
minstd_rand;10.11;0.398430338;9.31;.80
minstd_rand;10.18;0.398166248;7.70;2.48
minstd_rand;10.14;0.398456288;9.14;1.00
minstd_rand;10.13;0.398582010;9.09;1.04
minstd_rand;10.16;0.398281891;9.03;1.13
minstd_rand;10.09;0.398262571;8.45;1.64
minstd_rand;10.13;0.398330368;9.65;.48
minstd_rand;10.09;0.398323559;9.17;.92
minstd_rand;10.22;0.398370111;8.41;1.81
minstd_rand;10.09;0.398581728;9.05;1.04
minstd_rand;10.17;0.398443888;9.24;.93
minstd_rand;10.08;0.398348809;9.29;.79
minstd_rand;10.20;0.398233679;9.08;1.12
minstd_rand;10.48;0.398488820;8.98;1.50
minstd_rand;10.20;0.398689850;7.84;2.36
minstd_rand;11.09;0.398731020;9.50;1.59
minstd_rand;10.22;0.398429928;10.02;.20
minstd_rand;10.28;0.398451011;9.15;1.13
minstd_rand;10.12;0.398354048;7.00;3.12
minstd_rand;10.18;0.398426218;9.13;1.05
minstd_rand;10.11;0.398505408;7.30;2.81
minstd_rand;10.15;0.398282908;7.15;3.00
minstd_rand;10.08;0.398573360;9.16;.92
minstd_rand;10.28;0.398415610;7.13;3.15
minstd_rand;10.19;0.398730188;9.08;1.11
minstd_rand;10.17;0.398335758;9.10;1.07
minstd_rand;10.10;0.398530259;8.57;1.53
minstd_rand;10.10;0.398564428;8.13;1.97
minstd_rand;10.12;0.398417811;7.51;2.61
minstd_rand;10.09;0.398564830;9.11;.98
minstd_rand;10.20;0.398450898;8.83;1.37
minstd_rand;10.14;0.398204178;9.30;.84
minstd_rand;10.14;0.398229718;9.78;.36
minstd_rand;10.08;0.398171161;7.12;2.96
minstd_rand;10.16;0.398649288;7.61;2.55
minstd_rand;10.18;0.398302848;7.70;2.48
minstd_rand;10.10;0.398526861;7.40;2.70
minstd_rand;10.08;0.398536218;9.57;.51
minstd_rand;10.16;0.398248159;9.24;.92
minstd_rand;10.20;0.398579620;8.87;1.33
minstd_rand;10.17;0.398210891;8.58;1.59
minstd_rand;10.09;0.398650437;9.27;.82
minstd_rand;10.18;0.398434991;7.26;2.92
minstd_rand;10.08;0.398333940;8.19;1.89
minstd_rand;10.09;0.398288878;8.88;1.21
minstd_rand;10.16;0.398369371;8.13;2.03
minstd_rand;10.31;0.398849061;8.95;1.36
minstd_rand;10.11;0.398458259;8.35;1.76
minstd_rand;10.14;0.398322521;9.74;.40
minstd_rand;10.09;0.398438900;9.08;1.01
minstd_rand;10.11;0.398731911;9.31;.80
minstd_rand;10.10;0.398309979;7.62;2.48
minstd_rand;10.10;0.398562599;8.26;1.84
minstd_rand;10.38;0.398168038;8.75;1.63
minstd_rand;10.15;0.398205108;9.82;.33
minstd_rand;10.28;0.398612781;9.09;1.19
minstd_rand;10.09;0.398528120;9.09;1.00
minstd_rand;10.11;0.398452721;6.93;3.18
minstd_rand;10.08;0.398499648;9.25;.83
minstd_rand;10.08;0.398330868;9.03;1.05
minstd_rand;10.21;0.398507890;8.84;1.37
minstd_rand;10.09;0.398685669;9.07;1.02
minstd_rand;10.11;0.398498520;9.20;.91
minstd_rand;10.27;0.398525798;9.45;.82
minstd_rand;10.22;0.398470261;8.14;2.08
minstd_rand;10.12;0.398580560;7.23;2.89
minstd_rand;10.17;0.398350161;8.62;1.55
minstd_rand;10.17;0.398666691;9.36;.81
mt19937;5.06;0.189318740;4.69;.37
mt19937;5.07;0.189204588;4.68;.39
mt19937;5.08;0.189211299;4.69;.39
mt19937;5.08;0.189140758;4.69;.39
mt19937;5.27;0.189005967;4.77;.50
mt19937;5.32;0.189224819;4.74;.58
mt19937;5.08;0.189205067;4.69;.39
mt19937;5.11;0.189218468;4.68;.43
mt19937;5.08;0.189138570;4.68;.40
mt19937;5.14;0.188786179;4.69;.45
mt19937;5.19;0.188702128;4.72;.47
mt19937;5.15;0.189231517;4.80;.35
mt19937;5.13;0.189271498;4.70;.43
mt19937;5.06;0.189132618;4.76;.30
mt19937;5.14;0.189411408;4.69;.45
mt19937;5.08;0.189120768;4.69;.39
mt19937;5.16;0.189232550;4.74;.42
mt19937;5.10;0.189192608;4.72;.38
mt19937;5.06;0.189154739;4.69;.37
mt19937;5.21;0.189239708;4.74;.47
mt19937;5.09;0.189216978;4.71;.38
mt19937;5.08;0.189315800;4.69;.39
mt19937;5.06;0.189146338;4.69;.37
mt19937;5.09;0.189095058;4.69;.40
mt19937;5.11;0.189164059;4.72;.39
mt19937;5.06;0.189174018;4.68;.38
mt19937;5.20;0.193643177;4.88;.32
mt19937;5.09;0.189134048;4.69;.40
mt19937;5.11;0.189164428;4.79;.32
mt19937;5.30;0.188819448;4.74;.56
mt19937;5.20;0.189189407;4.69;.51
mt19937;5.08;0.189199840;4.70;.38
mt19937;5.06;0.189322148;4.69;.37
mt19937;5.26;0.189333787;4.76;.50
mt19937;5.50;0.188674658;4.83;.67
mt19937;5.07;0.189155057;4.76;.31
mt19937;5.09;0.189172718;4.70;.39
mt19937;5.08;0.189164557;4.79;.29
mt19937;5.15;0.188758710;4.80;.35
mt19937;5.17;0.189141799;4.84;.33
mt19937;5.35;0.189785048;4.93;.42
mt19937;5.28;0.193756896;4.87;.41
mt19937;5.19;0.188966028;4.80;.39
mt19937;5.32;0.189231658;4.78;.54
mt19937;5.12;0.189084648;4.74;.38
mt19937;5.15;0.189197137;4.75;.40
mt19937;5.13;0.189156618;4.76;.37
mt19937;5.15;0.189146799;4.86;.29
mt19937;5.26;0.189267598;4.79;.47
mt19937;5.23;0.188757808;4.77;.46
mt19937;5.13;0.188729138;4.73;.40
mt19937;5.12;0.188757698;4.74;.38
mt19937;5.09;0.188672418;4.74;.35
mt19937;5.13;0.188717708;4.73;.40
mt19937;5.09;0.188636508;4.76;.33
mt19937;5.15;0.188885598;4.77;.38
mt19937;5.20;0.189127748;4.80;.40
mt19937;5.11;0.188613798;4.82;.29
mt19937;5.15;0.188751930;4.73;.42
mt19937;5.19;0.188766458;4.70;.49
mt19937;5.24;0.188760328;4.79;.45
mt19937;5.22;0.189249808;4.71;.51
mt19937;5.23;0.188649658;4.86;.37
mt19937;5.29;0.188681750;4.75;.54
mt19937;5.19;0.189156059;4.77;.42
mt19937;5.11;0.188938609;4.72;.39
mt19937;5.11;0.188587658;4.72;.39
mt19937;5.10;0.188742228;4.73;.37
mt19937;5.17;0.188612059;4.69;.48
mt19937;5.15;0.188725658;4.73;.42
mt19937;5.29;0.189129189;4.78;.51
mt19937;5.11;0.188689969;4.76;.35
mt19937;5.10;0.189155399;4.83;.27
mt19937;5.15;0.188888047;4.69;.46
