engine;pkg;cpu;sleep;diff
knuth_b;22.80;0.946856348;18.54;4.26
knuth_b;22.80;0.946727578;18.52;4.28
knuth_b;22.85;0.947322158;18.56;4.29
knuth_b;22.69;0.946645208;18.51;4.18
knuth_b;22.75;0.946643881;18.54;4.21
knuth_b;22.80;0.947116954;18.54;4.26
knuth_b;22.80;0.947058355;18.40;4.40
knuth_b;22.81;0.946930185;18.48;4.33
knuth_b;22.70;0.947108589;18.53;4.17
knuth_b;22.73;0.946795830;18.46;4.27
knuth_b;22.68;0.946583736;18.48;4.20
knuth_b;22.70;0.947073834;18.52;4.18
knuth_b;22.72;0.946445265;18.52;4.20
knuth_b;22.65;0.946664669;18.62;4.03
knuth_b;22.75;0.946620934;18.53;4.22
knuth_b;22.78;0.947254471;18.51;4.27
knuth_b;22.82;0.946749618;18.60;4.22
knuth_b;22.72;0.946681941;18.53;4.19
knuth_b;22.70;0.946567553;18.63;4.07
knuth_b;22.66;0.946541821;18.48;4.18
knuth_b;22.73;0.946474669;18.48;4.25
knuth_b;22.97;0.946664821;18.63;4.34
knuth_b;22.72;0.946650481;18.53;4.19
knuth_b;22.75;0.947105192;18.63;4.12
knuth_b;22.83;0.947165100;18.53;4.30
knuth_b;22.73;0.946628573;18.49;4.24
knuth_b;22.91;0.946683165;18.52;4.39
knuth_b;22.77;0.946762658;18.52;4.25
knuth_b;22.73;0.946794784;18.60;4.13
knuth_b;22.77;0.947077379;18.51;4.26
knuth_b;22.79;0.947142434;18.51;4.28
knuth_b;22.81;0.946667782;18.48;4.33
knuth_b;22.86;0.947247156;18.50;4.36
knuth_b;22.75;0.947069713;18.58;4.17
knuth_b;22.74;0.946920946;18.53;4.21
knuth_b;22.71;0.946576815;18.49;4.22
knuth_b;22.69;0.946854084;18.49;4.20
knuth_b;22.79;0.947068557;18.50;4.29
knuth_b;22.53;0.946834156;18.46;4.07
knuth_b;22.72;0.946681886;18.53;4.19
knuth_b;22.77;0.947174903;18.57;4.20
knuth_b;22.76;0.946698363;18.47;4.29
knuth_b;22.74;0.946917529;18.53;4.21
knuth_b;22.66;0.946656553;18.40;4.26
knuth_b;22.67;0.946754884;18.49;4.18
knuth_b;22.68;0.947269309;18.45;4.23
knuth_b;22.68;0.946586921;18.59;4.09
knuth_b;22.62;0.946648180;18.46;4.16
knuth_b;22.75;0.947090071;18.46;4.29
knuth_b;22.75;0.947239803;18.47;4.28
knuth_b;22.69;0.947156580;18.50;4.19
knuth_b;22.69;0.946659727;18.51;4.18
knuth_b;22.75;0.946660538;18.48;4.27
knuth_b;22.77;0.947213434;18.57;4.20
knuth_b;22.83;0.947350320;18.54;4.29
knuth_b;22.72;0.946771336;18.55;4.17
knuth_b;22.62;0.946690439;18.51;4.11
knuth_b;22.75;0.947118577;18.52;4.23
knuth_b;22.70;0.947127599;18.46;4.24
knuth_b;22.95;0.947099272;18.52;4.43
knuth_b;22.61;0.946506384;18.49;4.12
knuth_b;22.68;0.946455498;18.53;4.15
knuth_b;22.86;0.947541468;18.54;4.32
knuth_b;22.80;0.947152487;18.54;4.26
knuth_b;22.93;0.946439116;18.43;4.50
knuth_b;22.71;0.947165666;18.52;4.19
knuth_b;22.64;0.946472426;18.62;4.02
knuth_b;22.70;0.946768339;18.50;4.20
knuth_b;22.66;0.946644663;18.46;4.20
knuth_b;22.92;0.946802698;18.49;4.43
knuth_b;22.69;0.946466619;18.53;4.16
knuth_b;22.72;0.946986971;18.69;4.03
knuth_b;22.53;0.946907383;18.47;4.06
knuth_b;22.69;0.946707952;18.42;4.27
knuth_b;22.89;0.946799552;18.41;4.48
knuth_b;22.77;0.947125149;18.46;4.31
knuth_b;22.72;0.946819616;18.60;4.12
knuth_b;22.81;0.947254441;18.61;4.20
knuth_b;22.78;0.946714573;18.54;4.24
knuth_b;22.75;0.946730220;18.51;4.24
knuth_b;22.77;0.947264200;18.47;4.30
knuth_b;22.45;0.946642150;18.55;3.90
knuth_b;22.70;0.946809941;18.50;4.20
knuth_b;22.67;0.946540383;18.47;4.20
knuth_b;22.54;0.947030684;18.49;4.05
knuth_b;22.62;0.946622740;18.44;4.18
knuth_b;22.73;0.947100755;18.49;4.24
knuth_b;22.74;0.946734258;18.49;4.25
knuth_b;22.67;0.946749900;18.48;4.19
knuth_b;22.69;0.946833916;18.58;4.11
knuth_b;22.73;0.947122841;18.54;4.19
knuth_b;22.47;0.946584431;18.46;4.01
knuth_b;22.68;0.946451925;18.40;4.28
knuth_b;22.70;0.946670920;18.48;4.22
knuth_b;22.61;0.946355907;18.48;4.13
knuth_b;22.61;0.946917122;18.47;4.14
knuth_b;22.40;0.947119500;18.52;3.88
knuth_b;22.65;0.946495735;18.46;4.19
knuth_b;22.70;0.947055727;18.50;4.20
knuth_b;22.60;0.946602424;18.45;4.15
minstd_rand0;8.49;0.352065214;6.89;1.60
minstd_rand0;8.45;0.352189745;6.91;1.54
minstd_rand0;8.45;0.352245963;6.84;1.61
minstd_rand0;8.44;0.352173971;6.88;1.56
minstd_rand0;8.45;0.352242473;6.91;1.54
minstd_rand0;8.45;0.352244051;6.89;1.56
minstd_rand0;8.83;0.352967730;6.89;1.94
minstd_rand0;8.45;0.352212844;7.06;1.39
minstd_rand0;8.49;0.352346859;6.90;1.59
minstd_rand0;8.49;0.352376549;6.89;1.60
minstd_rand0;8.46;0.352228753;6.85;1.61
minstd_rand0;8.46;0.352310871;6.92;1.54
minstd_rand0;8.44;0.352353400;6.89;1.55
minstd_rand0;8.46;0.352315773;6.87;1.59
minstd_rand0;8.47;0.352331317;6.89;1.58
minstd_rand0;8.44;0.352365279;7.03;1.41
minstd_rand0;8.50;0.352278264;6.87;1.63
minstd_rand0;8.54;0.352213117;6.90;1.64
minstd_rand0;8.42;0.352113301;6.86;1.56
minstd_rand0;8.51;0.352200563;6.90;1.61
minstd_rand0;8.45;0.352075671;6.90;1.55
minstd_rand0;8.51;0.352373017;6.88;1.63
minstd_rand0;8.49;0.352248172;6.91;1.58
minstd_rand0;8.47;0.352118115;6.93;1.54
minstd_rand0;8.58;0.354041592;6.94;1.64
minstd_rand0;8.56;0.352218881;6.87;1.69
minstd_rand0;8.49;0.352413752;6.90;1.59
minstd_rand0;8.52;0.352282658;6.91;1.61
minstd_rand0;8.44;0.352009150;6.88;1.56
minstd_rand0;8.48;0.352402241;6.91;1.57
minstd_rand0;8.43;0.352116813;6.93;1.50
minstd_rand0;8.46;0.352409086;6.92;1.54
minstd_rand0;8.51;0.352053244;6.88;1.63
minstd_rand0;8.70;0.352149542;6.94;1.76
minstd_rand0;8.49;0.352106377;6.95;1.54
minstd_rand0;8.46;0.352293195;6.90;1.56
minstd_rand0;8.46;0.352225309;6.90;1.56
minstd_rand0;8.48;0.352270856;6.88;1.60
minstd_rand0;8.47;0.352337770;6.88;1.59
minstd_rand0;8.47;0.352260338;6.88;1.59
minstd_rand0;8.46;0.352291304;6.88;1.58
minstd_rand0;8.68;0.352108984;6.92;1.76
minstd_rand0;8.45;0.352196630;7.03;1.42
minstd_rand0;8.52;0.352409968;6.91;1.61
minstd_rand0;8.46;0.352283338;6.89;1.57
minstd_rand0;8.44;0.352332869;6.88;1.56
minstd_rand0;8.63;0.354208633;6.93;1.70
minstd_rand0;8.43;0.352170328;6.90;1.53
minstd_rand0;8.48;0.352114404;6.85;1.63
minstd_rand0;8.51;0.351922208;6.90;1.61
minstd_rand0;8.48;0.352166523;7.06;1.42
minstd_rand0;8.42;0.352417780;6.91;1.51
minstd_rand0;8.46;0.352138868;6.91;1.55
minstd_rand0;8.49;0.352333653;6.88;1.61
minstd_rand0;8.44;0.352250724;6.87;1.57
minstd_rand0;8.43;0.352259577;6.93;1.50
minstd_rand0;8.51;0.352262230;6.90;1.61
minstd_rand0;8.45;0.352414631;6.89;1.56
minstd_rand0;8.43;0.352255166;7.00;1.43
minstd_rand0;8.44;0.352137880;6.88;1.56
minstd_rand0;8.58;0.352302024;6.87;1.71
minstd_rand0;8.46;0.352168153;6.85;1.61
minstd_rand0;8.50;0.352321801;6.90;1.60
minstd_rand0;8.50;0.352122919;6.89;1.61
minstd_rand0;8.49;0.352159188;6.90;1.59
minstd_rand0;8.49;0.352231143;6.91;1.58
minstd_rand0;8.49;0.352160173;6.96;1.53
minstd_rand0;8.48;0.352346753;6.89;1.59
minstd_rand0;8.72;0.352483543;6.89;1.83
