engine;pkg;cpu;sleep
knuth_b;8.97;0.280542707;6.22
knuth_b;8.28;0.278420839;6.04
knuth_b;7.99;0.272786407;6.05
knuth_b;7.82;0.271417747;6.04
knuth_b;7.97;0.272485073;5.94
knuth_b;8.36;0.279197812;6.13
knuth_b;8.13;0.278656339;6.17
knuth_b;8.16;0.278784989;6.11
knuth_b;8.38;0.277844518;6.18
knuth_b;8.19;0.277804394;6.12
knuth_b;8.26;0.272328890;5.98
knuth_b;8.26;0.277686655;6.16
knuth_b;8.16;0.279025018;6.20
knuth_b;8.26;0.279067278;6.15
knuth_b;8.17;0.278979493;6.12
knuth_b;8.66;0.275413090;6.08
knuth_b;8.24;0.278049953;6.18
knuth_b;8.28;0.277774548;6.16
knuth_b;8.56;0.278624909;6.23
knuth_b;8.39;0.272936367;6.00
knuth_b;8.26;0.277706400;6.03
knuth_b;8.12;0.278428794;6.08
knuth_b;8.29;0.278050717;6.20
knuth_b;8.27;0.277748140;6.19
knuth_b;8.28;0.273882998;6.00
knuth_b;8.05;0.273564281;6.02
knuth_b;8.33;0.279699009;6.18
knuth_b;8.00;0.277856591;6.16
knuth_b;8.21;0.278401621;6.23
knuth_b;8.19;0.277876882;6.16
knuth_b;8.19;0.278288070;6.04
knuth_b;8.01;0.277490937;6.05
knuth_b;8.19;0.279046759;6.26
knuth_b;8.14;0.278353912;6.10
knuth_b;8.18;0.278444300;6.10
knuth_b;8.04;0.277724474;6.10
knuth_b;8.10;0.277800988;6.14
knuth_b;8.20;0.278369973;6.19
knuth_b;8.21;0.279048992;6.09
knuth_b;8.09;0.278405388;6.20
knuth_b;8.16;0.279773127;6.19
knuth_b;8.01;0.278351158;6.29
knuth_b;8.33;0.279046708;6.20
knuth_b;8.53;0.279842307;6.15
knuth_b;8.42;0.274083123;6.04
knuth_b;8.62;0.278415569;6.13
knuth_b;8.18;0.278242735;6.15
knuth_b;8.38;0.277729788;6.16
knuth_b;8.16;0.278508459;6.05
knuth_b;8.41;0.275911200;6.36
knuth_b;8.64;0.278732987;6.16
knuth_b;8.38;0.279106664;6.34
knuth_b;8.59;0.274825467;6.07
knuth_b;8.50;0.279363662;6.24
knuth_b;8.54;0.274821909;6.05
knuth_b;8.49;0.278761280;6.16
knuth_b;8.53;0.274420973;6.04
knuth_b;8.70;0.278817976;6.20
knuth_b;8.09;0.277445478;6.09
knuth_b;8.30;0.273387647;6.06
knuth_b;8.31;0.277957923;6.21
knuth_b;8.27;0.277973462;6.26
knuth_b;8.09;0.277780873;6.27
knuth_b;8.34;0.274443655;6.10
knuth_b;8.30;0.278562860;6.21
knuth_b;8.52;0.274587413;6.03
knuth_b;8.01;0.273008150;6.00
knuth_b;8.41;0.278606251;6.17
knuth_b;8.28;0.277499399;6.07
knuth_b;8.28;0.277910014;6.13
knuth_b;8.40;0.278704003;6.17
knuth_b;8.37;0.274168953;6.06
knuth_b;8.39;0.278752443;6.38
knuth_b;8.37;0.277826488;6.16
knuth_b;8.27;0.277620624;6.16
knuth_b;8.44;0.273483065;6.12
knuth_b;8.14;0.273827026;6.04
knuth_b;8.40;0.274318171;6.03
knuth_b;8.64;0.273995460;5.97
knuth_b;8.45;0.277864760;6.20
