engine;pkg;cpu;sleep;diff
knuth_b;2.34;0.099311957;2.22;.12
knuth_b;2.45;0.099272995;2.23;.22
knuth_b;2.39;0.099183790;2.26;.13
knuth_b;2.35;0.099231828;2.28;.07
knuth_b;2.39;0.099417565;2.27;.12
knuth_b;2.35;0.099260502;2.26;.09
knuth_b;2.36;0.099408809;2.24;.12
knuth_b;2.30;0.099224837;2.23;.07
knuth_b;2.40;0.099238220;2.24;.16
knuth_b;2.37;0.099213894;2.28;.09
knuth_b;2.40;0.099231177;2.37;.03
knuth_b;2.42;0.099244000;2.33;.09
knuth_b;2.40;0.099379334;2.30;.10
knuth_b;2.53;0.099229904;2.31;.22
knuth_b;2.45;0.099290969;2.30;.15
knuth_b;2.41;0.099189269;2.28;.13
knuth_b;2.39;0.099246907;2.36;.03
knuth_b;2.37;0.099220930;2.26;.11
knuth_b;2.36;0.099433685;2.30;.06
knuth_b;2.46;0.099201743;2.25;.21
knuth_b;2.36;0.099224955;2.20;.16
knuth_b;2.36;0.099309263;2.27;.09
knuth_b;2.38;0.099293423;2.31;.07
knuth_b;2.37;0.099420412;2.24;.13
knuth_b;2.35;0.099194367;2.18;.17
knuth_b;2.29;0.099214847;2.16;.13
knuth_b;2.39;0.099450038;2.30;.09
knuth_b;2.41;0.099417435;2.27;.14
knuth_b;2.30;0.099217592;2.23;.07
knuth_b;2.41;0.099591302;2.34;.07
knuth_b;2.48;0.099271792;2.29;.19
knuth_b;2.37;0.099458792;2.28;.09
knuth_b;2.35;0.099232290;2.18;.17
knuth_b;2.30;0.099191963;2.20;.10
knuth_b;2.32;0.099199148;2.27;.05
knuth_b;2.35;0.099528103;2.29;.06
knuth_b;2.36;0.099405012;2.22;.14
knuth_b;2.43;0.099240855;2.23;.20
knuth_b;2.36;0.099364045;2.27;.09
knuth_b;2.42;0.099294585;2.35;.07
knuth_b;2.40;0.099212070;2.28;.12
knuth_b;2.42;0.099200200;2.33;.09
knuth_b;2.44;0.099536126;2.31;.13
knuth_b;2.38;0.099405652;2.28;.10
knuth_b;2.41;0.099228041;2.24;.17
knuth_b;2.48;0.099248148;2.35;.13
knuth_b;2.41;0.099206931;2.28;.13
knuth_b;2.35;0.099228291;2.23;.12
knuth_b;2.46;0.099259161;2.27;.19
knuth_b;2.45;0.099221618;2.31;.14
knuth_b;2.53;0.099222150;2.43;.10
knuth_b;2.36;0.099268999;2.31;.05
knuth_b;2.37;0.099258768;2.26;.11
knuth_b;2.41;0.099231940;2.29;.12
knuth_b;2.40;0.099163199;2.33;.07
knuth_b;2.50;0.099232298;2.28;.22
knuth_b;2.46;0.099248468;2.34;.12
knuth_b;2.37;0.099399100;2.30;.07
knuth_b;2.44;0.099239592;2.22;.22
knuth_b;2.35;0.099208325;2.21;.14
knuth_b;2.39;0.099255073;2.27;.12
knuth_b;2.38;0.099222180;2.28;.10
knuth_b;2.40;0.099237710;2.24;.16
knuth_b;2.33;0.099248850;2.23;.10
knuth_b;2.34;0.099253298;2.27;.07
knuth_b;2.51;0.099187806;2.29;.22
knuth_b;2.36;0.099224273;2.23;.13
knuth_b;2.41;0.099385185;2.34;.07
knuth_b;2.36;0.099232629;2.25;.11
knuth_b;2.32;0.099228734;2.22;.10
knuth_b;2.37;0.099257857;2.27;.10
knuth_b;2.40;0.099418938;2.29;.11
knuth_b;2.44;0.099263637;2.26;.18
knuth_b;2.32;0.099205970;2.19;.13
knuth_b;2.37;0.099383251;2.34;.03
knuth_b;2.33;0.099431693;2.24;.09
knuth_b;2.37;0.099368523;2.25;.12
knuth_b;2.45;0.099441790;2.23;.22
knuth_b;2.35;0.099376378;2.24;.11
knuth_b;2.36;0.099408288;2.30;.06
knuth_b;2.34;0.099234062;2.24;.10
knuth_b;2.36;0.099271844;2.25;.11
knuth_b;2.37;0.099362664;2.28;.09
knuth_b;2.39;0.099237037;2.30;.09
knuth_b;2.45;0.099266853;2.28;.17
knuth_b;2.36;0.099364909;2.25;.11
knuth_b;2.35;0.099362492;2.26;.09
knuth_b;2.40;0.099222450;2.27;.13
knuth_b;2.41;0.099169734;2.25;.16
knuth_b;2.43;0.099322640;2.30;.13
knuth_b;2.42;0.099200098;2.26;.16
knuth_b;2.37;0.099199488;2.22;.15
knuth_b;2.38;0.099221548;2.26;.12
knuth_b;2.40;0.099399061;2.32;.08
knuth_b;2.42;0.099212541;2.22;.20
knuth_b;2.51;0.099228181;2.20;.31
knuth_b;2.33;0.099216279;2.24;.09
knuth_b;2.37;0.099398299;2.32;.05
knuth_b;2.40;0.099221850;2.26;.14
knuth_b;2.38;0.099216791;2.28;.10
minstd_rand0;1.02;0.041171014;0.99;.03
minstd_rand0;1.05;0.041178980;0.99;.06
minstd_rand0;1.05;0.041317829;1.01;.04
minstd_rand0;1.06;0.041171886;1.04;.02
minstd_rand0;1.06;0.041147651;1.02;.04
minstd_rand0;1.07;0.041222842;1.04;.03
minstd_rand0;1.08;0.041184640;1.06;.02
minstd_rand0;1.11;0.041191834;1.06;.05
minstd_rand0;1.05;0.041160374;1.02;.03
minstd_rand0;1.05;0.041207523;1.04;.01
minstd_rand0;1.06;0.041175693;1.01;.05
minstd_rand0;1.07;0.041174522;1.05;.02
minstd_rand0;1.06;0.041297351;1.03;.03
minstd_rand0;1.07;0.041220477;1.05;.02
minstd_rand0;1.07;0.041243180;1.05;.02
minstd_rand0;1.07;0.041196853;1.02;.05
minstd_rand0;1.07;0.041227610;1.03;.04
minstd_rand0;1.06;0.041245895;1.04;.02
minstd_rand0;1.06;0.041196222;1.04;.02
minstd_rand0;1.07;0.041171035;1.05;.02
minstd_rand0;1.08;0.041197063;1.07;.01
minstd_rand0;1.11;0.041247708;1.05;.06
minstd_rand0;1.07;0.041188818;1.05;.02
minstd_rand0;1.08;0.041210097;1.04;.04
minstd_rand0;1.10;0.041226599;1.06;.04
minstd_rand0;1.06;0.041222922;1.04;.02
minstd_rand0;1.10;0.041293925;1.04;.06
minstd_rand0;1.09;0.041174331;1.04;.05
minstd_rand0;1.06;0.041279599;1.04;.02
minstd_rand0;1.07;0.041307089;1.04;.03
minstd_rand0;1.07;0.041279157;1.06;.01
minstd_rand0;1.10;0.041252917;1.06;.04
minstd_rand0;1.05;0.041123596;1.02;.03
minstd_rand0;1.05;0.041144876;1.03;.02
minstd_rand0;1.07;0.041228682;1.06;.01
minstd_rand0;1.06;0.041165624;1.05;.01
minstd_rand0;1.07;0.041182026;1.03;.04
minstd_rand0;1.05;0.041215508;1.04;.01
minstd_rand0;1.05;0.041258397;1.02;.03
minstd_rand0;1.05;0.041275700;1.04;.01
minstd_rand0;1.08;0.041198186;1.02;.06
minstd_rand0;1.05;0.041175483;1.01;.04
minstd_rand0;1.09;0.041197675;1.04;.05
minstd_rand0;1.06;0.041276873;1.05;.01
minstd_rand0;1.07;0.041187466;1.01;.06
minstd_rand0;1.06;0.041191112;1.03;.03
minstd_rand0;1.06;0.041281702;1.03;.03
minstd_rand0;1.06;0.041216088;1.05;.01
minstd_rand0;1.08;0.041207573;1.03;.05
minstd_rand0;1.07;0.041357313;1.06;.01
minstd_rand0;1.07;0.041258739;1.05;.02
minstd_rand0;1.07;0.041177146;1.03;.04
minstd_rand0;1.09;0.041156407;1.01;.08
minstd_rand0;1.07;0.041221760;1.03;.04
minstd_rand0;1.10;0.041287052;1.06;.04
minstd_rand0;1.08;0.041271282;1.06;.02
minstd_rand0;1.06;0.041203356;1.04;.02
minstd_rand0;1.05;0.041347916;1.03;.02
minstd_rand0;1.07;0.041324862;1.03;.04
minstd_rand0;1.06;0.041199217;1.00;.06
minstd_rand0;1.07;0.041206992;1.04;.03
minstd_rand0;1.07;0.041268196;1.04;.03
minstd_rand0;1.07;0.041181515;1.04;.03
minstd_rand0;1.06;0.041329812;1.04;.02
minstd_rand0;1.08;0.041176285;1.02;.06
minstd_rand0;1.04;0.041309214;1.01;.03
minstd_rand0;1.05;0.041370669;1.02;.03
minstd_rand0;1.07;0.041280228;1.03;.04
minstd_rand0;1.06;0.041148393;1.02;.04
minstd_rand0;1.07;0.041205138;1.04;.03
minstd_rand0;1.07;0.041236597;1.05;.02
minstd_rand0;1.05;0.041229745;1.01;.04
minstd_rand0;1.04;0.041286090;1.02;.02
minstd_rand0;1.05;0.041227971;1.02;.03
minstd_rand0;1.05;0.041275531;1.02;.03
minstd_rand0;1.07;0.041201472;1.06;.01
minstd_rand0;1.09;0.041350531;1.03;.06
minstd_rand0;1.06;0.041210278;1.02;.04
minstd_rand0;1.05;0.041132212;1.00;.05
minstd_rand0;1.06;0.041197133;1.04;.02
minstd_rand0;1.07;0.041199569;1.05;.02
minstd_rand0;1.05;0.041245263;1.04;.01
minstd_rand0;1.06;0.041242950;1.05;.01
minstd_rand0;1.06;0.041184440;1.04;.02
minstd_rand0;1.07;0.041243761;1.03;.04
minstd_rand0;1.10;0.041139526;1.05;.05
minstd_rand0;1.07;0.041192475;1.04;.03
minstd_rand0;1.07;0.041158221;1.04;.03
minstd_rand0;1.07;0.041178368;1.03;.04
minstd_rand0;1.07;0.041175243;1.04;.03
minstd_rand0;1.07;0.041150837;1.04;.03
minstd_rand0;1.07;0.041183779;1.01;.06
minstd_rand0;1.06;0.041216219;1.01;.05
minstd_rand0;1.05;0.041250493;1.01;.04
minstd_rand0;1.10;0.041189950;1.02;.08
minstd_rand0;1.06;0.041224985;1.02;.04
minstd_rand0;1.08;0.041168299;1.04;.04
minstd_rand0;1.07;0.041311277;1.04;.03
minstd_rand0;1.10;0.041170233;1.04;.06
minstd_rand0;1.06;0.041214888;1.05;.01
