engine,pkg,cpu
knuth_b,0.29,0.010901934
knuth_b,0.29,0.010976172
knuth_b,0.29,0.010869563
knuth_b,0.30,0.010977466
knuth_b,0.28,0.010950625
knuth_b,0.28,0.010871197
knuth_b,0.28,0.010940756
knuth_b,0.28,0.010859645
knuth_b,0.38,0.010968628
knuth_b,0.33,0.010858473
knuth_b,0.28,0.010922873
knuth_b,0.28,0.010868081
knuth_b,0.29,0.010922492
knuth_b,0.29,0.010943121
knuth_b,0.25,0.010880474
knuth_b,0.25,0.010943752
knuth_b,0.28,0.010857631
knuth_b,0.28,0.010889411
knuth_b,0.28,0.011027398
knuth_b,0.28,0.011027909
knuth_b,0.29,0.010923384
knuth_b,0.29,0.010951125
knuth_b,0.26,0.010868651
knuth_b,0.28,0.010947589
knuth_b,0.28,0.010885914
knuth_b,0.28,0.010952248
knuth_b,0.29,0.010868291
knuth_b,0.29,0.010959451
knuth_b,0.29,0.010872820
knuth_b,0.28,0.011003825
knuth_b,0.28,0.010857671
knuth_b,0.28,0.010902625
knuth_b,0.38,0.010963358
knuth_b,0.34,0.010912073
knuth_b,0.28,0.010870475
knuth_b,0.27,0.010877048
knuth_b,0.28,0.010934655
knuth_b,0.29,0.010874002
knuth_b,0.29,0.010986231
knuth_b,0.28,0.010861017
knuth_b,0.28,0.010907875
knuth_b,0.28,0.010878530
knuth_b,0.28,0.010914418
knuth_b,0.28,0.010946778
knuth_b,0.29,0.010933733
knuth_b,0.26,0.010951135
knuth_b,0.28,0.010952188
knuth_b,0.28,0.010968328
knuth_b,0.28,0.010940526
knuth_b,0.29,0.010872419
knuth_b,0.26,0.010971824
knuth_b,0.28,0.010859074
knuth_b,0.28,0.010962397
knuth_b,0.29,0.010869624
knuth_b,0.29,0.010939604
knuth_b,0.29,0.010924956
knuth_b,0.38,0.010998414
knuth_b,0.34,0.010916872
knuth_b,0.28,0.011023261
knuth_b,0.27,0.010950344
knuth_b,0.29,0.010941107
knuth_b,0.28,0.010954212
knuth_b,0.25,0.010909778
knuth_b,0.28,0.010941337
knuth_b,0.27,0.010907555
knuth_b,0.28,0.010862200
knuth_b,0.28,0.010952959
knuth_b,0.28,0.010898498
knuth_b,0.28,0.010975762
knuth_b,0.29,0.010925117
knuth_b,0.28,0.010961375
knuth_b,0.28,0.011004295
knuth_b,0.28,0.010940886
knuth_b,0.30,0.010855757
knuth_b,0.29,0.010931008
knuth_b,0.29,0.010943421
knuth_b,0.28,0.010941177
knuth_b,0.28,0.010990680
knuth_b,0.28,0.010955413
knuth_b,0.29,0.010901673
