engine;pkg;cpu;avg
knuth_b;0.29;0.011033900;0.26
knuth_b;0.29;0.010905239;0.24
knuth_b;0.29;0.011007420;0.26
knuth_b;0.28;0.010888719;0.26
knuth_b;0.36;0.010958710;0.30
knuth_b;0.28;0.011014894;0.25
knuth_b;0.29;0.010980119;0.25
knuth_b;0.28;0.011057424;0.26
knuth_b;0.28;0.010996200;0.27
knuth_b;0.29;0.010980730;0.23
knuth_b;0.29;0.011016978;0.26
knuth_b;0.28;0.010994116;0.23
knuth_b;0.29;0.010971243;0.25
knuth_b;0.33;0.010987494;0.31
knuth_b;0.28;0.011013011;0.22
knuth_b;0.29;0.010942629;0.26
knuth_b;0.28;0.010899810;0.25
knuth_b;0.28;0.010936448;0.24
knuth_b;0.29;0.010964310;0.23
knuth_b;0.28;0.011014684;0.26
knuth_b;0.29;0.010988856;0.26
knuth_b;0.28;0.010961865;0.26
knuth_b;0.30;0.010969681;0.29
knuth_b;0.28;0.011036996;0.25
knuth_b;0.28;0.011000898;0.25
knuth_b;0.28;0.010965592;0.26
knuth_b;0.28;0.010965383;0.26
knuth_b;0.28;0.011022689;0.24
knuth_b;0.28;0.011010487;0.26
knuth_b;0.28;0.010963980;0.24
knuth_b;0.29;0.010960854;0.23
knuth_b;0.29;0.010976773;0.24
knuth_b;0.27;0.010979919;0.26
knuth_b;0.28;0.010994707;0.26
knuth_b;0.29;0.010980571;0.24
knuth_b;0.28;0.010983035;0.26
knuth_b;0.28;0.010990299;0.25
knuth_b;0.28;0.011002342;0.26
knuth_b;0.29;0.010988375;0.25
knuth_b;0.30;0.010980871;0.23
knuth_b;0.27;0.011009064;0.25
knuth_b;0.28;0.010880524;0.26
knuth_b;0.28;0.010993154;0.23
knuth_b;0.28;0.010914136;0.26
knuth_b;0.29;0.010995248;0.25
knuth_b;0.32;0.010998684;0.26
knuth_b;0.29;0.010983195;0.26
knuth_b;0.34;0.010873681;0.25
knuth_b;0.27;0.010893628;0.26
knuth_b;0.28;0.010890002;0.26
knuth_b;0.29;0.010992803;0.23
knuth_b;0.28;0.010990509;0.26
