engine,pkg,cpu
knuth_b,0.35,0.010709879
knuth_b,0.32,0.010644509
knuth_b,0.35,0.010611159
knuth_b,0.37,0.010802839
knuth_b,0.34,0.010557249
knuth_b,0.32,0.010465919
knuth_b,0.36,0.010572349
knuth_b,0.42,0.013722468
knuth_b,0.32,0.010652109
knuth_b,0.38,0.010507709
knuth_b,0.35,0.010563429
knuth_b,0.32,0.010635009
knuth_b,0.32,0.010583309
knuth_b,0.38,0.010620608
knuth_b,0.38,0.012603309
minstd_rand0,0.17,0.005235610
minstd_rand0,0.17,0.005110060
minstd_rand0,0.20,0.005180430
minstd_rand0,0.17,0.005229720
minstd_rand0,0.17,0.005220929
minstd_rand0,0.16,0.005093999
minstd_rand0,0.16,0.005206040
minstd_rand0,0.19,0.005197570
minstd_rand0,0.16,0.005106110
minstd_rand0,0.16,0.005197940
minstd_rand0,0.16,0.005192120
minstd_rand0,0.19,0.005211800
minstd_rand0,0.16,0.005328350
minstd_rand0,0.16,0.005113280
minstd_rand0,0.25,0.007988510
minstd_rand,0.25,0.008068579
minstd_rand,0.25,0.007728999
minstd_rand,0.17,0.005209150
minstd_rand,0.18,0.005204799
minstd_rand,0.20,0.005109779
minstd_rand,0.19,0.005264019
minstd_rand,0.16,0.005214259
minstd_rand,0.19,0.005226139
minstd_rand,0.16,0.005171329
minstd_rand,0.19,0.005186309
minstd_rand,0.29,0.007745509
minstd_rand,0.20,0.005323449
minstd_rand,0.19,0.005180549
minstd_rand,0.25,0.007704659
minstd_rand,0.23,0.007507959
mt19937,0.16,0.004822400
mt19937,0.13,0.004359380
mt19937,0.11,0.003252180
mt19937,0.10,0.003178210
mt19937,0.10,0.003230250
mt19937,0.13,0.003257820
mt19937,0.13,0.003264590
mt19937,0.11,0.003294539
mt19937,0.15,0.003283939
mt19937,0.11,0.003260370
mt19937,0.10,0.003263110
mt19937,0.10,0.003256370
mt19937,0.10,0.003155549
mt19937,0.10,0.003241159
mt19937,0.14,0.003301450
mt19937_64,0.16,0.004537140
mt19937_64,0.11,0.003176330
mt19937_64,0.16,0.004747660
mt19937_64,0.13,0.004651340
mt19937_64,0.16,0.004619160
mt19937_64,0.13,0.004655490
mt19937_64,0.13,0.003963550
mt19937_64,0.14,0.003215880
mt19937_64,0.10,0.003126030
mt19937_64,0.10,0.003166169
mt19937_64,0.10,0.003078709
mt19937_64,0.10,0.003158370
mt19937_64,0.11,0.003104110
