engine;pkg;cpu;avg
knuth_b;0.43;0.010633938;0.34
knuth_b;0.39;0.009619780;0.32
knuth_b;0.39;0.009615533;0.33
knuth_b;0.40;0.009600885;0.32
knuth_b;0.39;0.009583552;0.33
knuth_b;0.40;0.009623106;0.33
knuth_b;0.41;0.009430967;0.30
knuth_b;0.43;0.010828001;0.37
knuth_b;0.36;0.009595264;0.34
knuth_b;0.40;0.009553155;0.31
knuth_b;0.35;0.009427841;0.31
knuth_b;0.40;0.009583482;0.35
knuth_b;0.39;0.009582721;0.33
knuth_b;0.36;0.009474418;0.30
knuth_b;0.40;0.009579365;0.32
knuth_b;0.43;0.009609381;0.32
knuth_b;0.39;0.009495608;0.35
knuth_b;0.37;0.009682728;0.31
knuth_b;0.35;0.009601095;0.33
knuth_b;0.44;0.009464029;0.32
knuth_b;0.39;0.009569677;0.33
knuth_b;0.35;0.009609801;0.33
knuth_b;0.36;0.009573474;0.31
knuth_b;0.36;0.009560900;0.32
knuth_b;0.37;0.009565900;0.36
knuth_b;0.36;0.009571480;0.32
knuth_b;0.40;0.009689731;0.34
knuth_b;0.40;0.009646260;0.32
knuth_b;0.36;0.009578523;0.34
knuth_b;0.39;0.009523650;0.30
knuth_b;0.40;0.009593822;0.32
knuth_b;0.40;0.009787755;0.33
knuth_b;0.36;0.009655687;0.32
knuth_b;0.40;0.009789778;0.37
knuth_b;0.43;0.009830364;0.33
knuth_b;0.40;0.009812721;0.30
knuth_b;0.40;0.009905545;0.34
knuth_b;0.41;0.009780291;0.32
knuth_b;0.41;0.009774430;0.34
knuth_b;0.44;0.010773749;0.35
knuth_b;0.41;0.009675154;0.32
knuth_b;0.45;0.009782695;0.33
knuth_b;0.42;0.009787604;0.36
knuth_b;0.39;0.010276609;0.32
knuth_b;0.42;0.009856393;0.34
knuth_b;0.43;0.011039807;0.36
knuth_b;0.41;0.009845863;0.36
knuth_b;0.41;0.009856563;0.32
knuth_b;0.48;0.010462396;0.35
knuth_b;0.41;0.009543057;0.30
knuth_b;0.36;0.009590265;0.34
knuth_b;0.39;0.010523782;0.33
knuth_b;0.40;0.009932545;0.33
knuth_b;0.40;0.010065033;0.34
knuth_b;0.39;0.009826447;0.34
knuth_b;0.36;0.009582571;0.32
knuth_b;0.44;0.009763710;0.34
knuth_b;0.36;0.009850511;0.29
knuth_b;0.41;0.009859198;0.35
knuth_b;0.39;0.009791952;0.33
knuth_b;0.39;0.009820135;0.34
knuth_b;0.41;0.009906005;0.31
knuth_b;0.37;0.009869688;0.32
knuth_b;0.43;0.009712393;0.36
knuth_b;0.41;0.009832007;0.35
knuth_b;0.45;0.010529793;0.34
knuth_b;0.39;0.009972430;0.33
knuth_b;0.40;0.009811429;0.33
knuth_b;0.36;0.009688659;0.35
knuth_b;0.42;0.009850101;0.33
knuth_b;0.43;0.009953355;0.38
knuth_b;0.50;0.009781593;0.42
knuth_b;0.43;0.009903721;0.42
knuth_b;0.46;0.009997808;0.40
knuth_b;0.44;0.009717984;0.36
knuth_b;0.48;0.009819243;0.46
knuth_b;0.44;0.009706432;0.34
knuth_b;0.45;0.010828441;0.41
knuth_b;0.37;0.009658413;0.32
knuth_b;0.40;0.009662100;0.34
knuth_b;0.36;0.009493424;0.31
knuth_b;0.41;0.009459580;0.32
knuth_b;0.44;0.009595054;0.36
knuth_b;0.48;0.011449283;0.38
knuth_b;0.39;0.009598260;0.38
knuth_b;0.49;0.009618317;0.44
knuth_b;0.48;0.009666888;0.45
knuth_b;0.52;0.009643354;0.50
knuth_b;0.48;0.009705250;0.44
knuth_b;0.47;0.009736058;0.46
knuth_b;0.46;0.009769040;0.44
knuth_b;0.34;0.009608779;0.31
knuth_b;0.35;0.009613529;0.32
knuth_b;0.40;0.009706132;0.32
knuth_b;0.39;0.009613839;0.34
knuth_b;0.41;0.009572232;0.32
knuth_b;0.40;0.009697586;0.34
knuth_b;0.40;0.010595887;0.36
knuth_b;0.41;0.009577681;0.32
knuth_b;0.39;0.009519383;0.33
minstd_rand0;0.21;0.004614544;0.20
minstd_rand0;0.20;0.004656574;0.19
minstd_rand0;0.19;0.004643038;0.18
minstd_rand0;0.20;0.004721004;0.16
minstd_rand0;0.20;0.004793950;0.18
minstd_rand0;0.18;0.004646013;0.17
minstd_rand0;0.30;0.005155447;0.29
minstd_rand0;0.24;0.004674266;0.20
minstd_rand0;0.21;0.004818546;0.20
minstd_rand0;0.21;0.004595820;0.16
minstd_rand0;0.20;0.004744308;0.19
minstd_rand0;0.20;0.004827684;0.18
minstd_rand0;0.25;0.005815141;0.23
minstd_rand0;0.22;0.004644631;0.18
minstd_rand0;0.21;0.004583757;0.18
minstd_rand0;0.20;0.004923493;0.18
minstd_rand0;0.21;0.004661623;0.18
minstd_rand0;0.20;0.004739739;0.19
minstd_rand0;0.22;0.004970661;0.19
minstd_rand0;0.20;0.004743435;0.17
minstd_rand0;0.25;0.005033438;0.20
minstd_rand0;0.29;0.004867218;0.27
minstd_rand0;0.31;0.005176677;0.30
minstd_rand0;0.25;0.004779824;0.24
minstd_rand0;0.27;0.004870874;0.23
minstd_rand0;0.20;0.004843713;0.19
minstd_rand0;0.21;0.004660471;0.18
minstd_rand0;0.20;0.004789863;0.18
minstd_rand0;0.20;0.004895660;0.16
minstd_rand0;0.21;0.004661853;0.17
minstd_rand0;0.20;0.004795643;0.19
minstd_rand0;0.21;0.004875754;0.19
minstd_rand0;0.20;0.004699273;0.19
minstd_rand0;0.20;0.004737324;0.19
minstd_rand0;0.24;0.004642437;0.19
minstd_rand0;0.20;0.004770356;0.15
minstd_rand0;0.22;0.004741612;0.16
minstd_rand0;0.19;0.004640784;0.17
minstd_rand0;0.19;0.004644400;0.18
minstd_rand0;0.21;0.004720763;0.20
minstd_rand0;0.20;0.004791115;0.19
minstd_rand0;0.21;0.004713890;0.17
minstd_rand0;0.20;0.004695166;0.18
minstd_rand0;0.21;0.004616097;0.19
minstd_rand0;0.23;0.004765326;0.22
minstd_rand0;0.21;0.004853602;0.19
